"day","R0","cases.estimated","cases.reported","cases.reported2","R0.sd","cases.estimated.sd","cases.reported.sd","cases.estimated.l95","cases.estimated.u95","cases.reported.l95","cases.reported.u95","R0.l95","R0.u95","days.to.today","date","cases.observed","new.cases.estimated","new.cases.reported"
51,1.3,332.128906057608,84.6567194732464,7166.82491286428,0,2.50761761408693,0.254481614924461,327.213975533998,337.043836581219,84.1579355079945,85.1555034384984,1.3,1.3,-158,2014-05-11,NA,NA,NA
52,1.3,342.942186940477,91.9120821301391,8447.89183712833,0,2.51880843430483,0.246972935557938,338.00532240924,347.879051471715,91.4280151764455,92.3961490838327,1.3,1.3,-157,2014-05-12,248,10.8132808828689,7.25536265689267
53,1.3,353.935970512501,99.2412711781546,9848.88684287508,0,2.53134313485574,0.238616468526607,348.974537968183,358.897403056818,98.7735828998425,99.7089594564668,1.3,1.3,-156,2014-05-13,NA,10.9937835720233,7.32918904801555
54,1.3,365.109941062038,106.643137019886,11372.8113797743,0,2.54498684525194,0.229578596671463,360.121766845344,370.098115278731,106.19316297041,107.093111069362,1.3,1.3,-155,2014-05-14,NA,11.1739705495369,7.40186584173151
55,1.3,376.464449652615,114.116990775709,13022.7359786906,0,2.55955625213843,0.219988607324032,371.447719398423,381.481179906806,113.685813105354,114.548168446064,1.3,1.3,-154,2014-05-15,NA,11.3545085905773,7.47385375582299
56,1.3,388.000378029591,121.662503676373,14801.808878289,0,2.57490926119509,0.20994638755838,382.953555877648,393.047200181533,121.251008756758,122.073998595987,1.3,1.3,-153,2014-05-16,NA,11.5359283769758,7.54551290066344
57,1.3,399.719034128608,129.279630140734,16713.262581239,0,2.59093565551325,0.199529231262545,394.640800243802,404.797268013414,128.888552847459,129.670707434008,1.3,1.3,-152,2014-05-17,NA,11.7186560990172,7.61712646436115
58,1.3,411.622067603241,136.968546174037,18760.4182853169,0,2.60755005552227,0.188796948010765,406.511269494417,416.732865712064,136.598504155936,137.338588192138,1.3,1.3,-151,2014-05-18,253,11.9030334746329,7.68891603330326
59,1.3,423.711404811743,144.729602159742,20946.689352612,0,2.62468668575691,0.177795654539218,418.56701890766,428.855790715827,144.381122676845,145.078081642639,1.3,1.3,-150,2014-05-19,NA,12.0893372085024,7.76105598570524
60,1.3,435.989198486957,152.563286467854,23275.5841203982,0,2.64229503888231,0.166560877090885,430.810300210747,441.168096763166,152.236827148756,152.889745786952,1.3,1.3,-149,2014-05-20,NA,12.2777936752134,7.83368430811166
61,1.3,448.457788110928,160.470196961104,25750.7081749205,0,2.66033657174017,0.15511990503177,443.243528430317,453.672047791539,160.166161947242,160.774231974966,1.3,1.3,-148,2014-05-21,NA,12.4685896239715,7.90691049325017
62,1.3,461.119669274761,168.451019028005,28375.7664019906,0,2.67878212955964,0.143493614035528,455.869256300825,466.370082248698,168.169771544495,168.732266511515,1.3,1.3,-147,2014-05-22,NA,12.6618811638334,7.98082206690106
63,1.3,473.977469841835,176.506508539906,31154.5649012878,0,2.697609886429,0.13169791094421,468.690154464434,479.264785219236,176.248380634456,176.764636445357,1.3,1.3,-146,2014-05-23,258,12.8578005670734,8.05548951190136
64,1.3,487.033931420398,184.63747862476,34091.012851725,0,2.71680382981617,0.119744796507183,481.708995913958,492.358866926837,184.402778823606,184.872178425914,1.3,1.3,-145,2014-05-24,NA,13.056461578563,8.1309700848536
65,1.3,500.291895055374,192.844789446412,37189.1244037133,0,2.7363523836319,0.107643310788162,494.928644383455,505.655145727292,192.633808557267,193.055770335557,1.3,1.3,-144,2014-05-25,NA,13.257963634976,8.20731082165179
