"date";"days.to.today";"cases.reported";"new.cases.reported";"cases.estimated";"new.cases.estimated";"incubation.estimated";"infectious.estimated"
2014-12-15;56;"5591 (1976, 9205)";144;"17451 (5292, 29610)";514;"5961 ( 39, 11882)";"2982 (144, 5820)"
2014-12-14;55;"5447 (1974, 8920)";140;"16936 (5286, 28587)";498;"5771 ( 79, 11463)";"2886 (160, 5613)"
2014-12-13;54;"5307 (1972, 8643)";136;"16438 (5277, 27600)";482;"5587 (116, 11058)";"2794 (176, 5412)"
2014-12-12;53;"5172 (1968, 8375)";132;"15956 (5264, 26648)";467;"5409 (151, 10666)";"2705 (190, 5219)"
2014-12-11;52;"5040 (1964, 8117)";128;"15489 (5249, 25730)";452;"5236 (184, 10288)";"2618 (203, 5032)"
2014-12-10;51;"4912 (1959, 7866)";124;"15037 (5231, 24844)";437;"5069 (215,  9922)";"2534 (216, 4852)"
2014-12-09;50;"4789 (1953, 7624)";120;"14600 (5210, 23990)";423;"4906 (244,  9569)";"2453 (227, 4678)"
2014-12-08;49;"4668 (1946, 7390)";117;"14176 (5187, 23166)";410;"4749 (271,  9227)";"2374 (238, 4510)"
2014-12-07;48;"4551 (1939, 7164)";113;"13766 (5161, 22372)";397;"4597 (297,  8898)";"2298 (248, 4347)"
2014-12-06;47;"4438 (1931, 6945)";110;"13370 (5133, 21606)";384;"4450 (320,  8580)";"2224 (257, 4191)"
2014-12-05;46;"4328 (1922, 6734)";107;"12986 (5104, 20867)";372;"4307 (342,  8272)";"2152 (265, 4040)"
2014-12-04;45;"4221 (1913, 6529)";104;"12614 (5072, 20155)";360;"4169 (362,  7975)";"2083 (272, 3894)"
2014-12-03;44;"4118 (1904, 6331)";101;"12254 (5039, 19469)";348;"4035 (381,  7689)";"2016 (279, 3753)"
2014-12-02;43;"4017 (1894, 6140)";98;"11906 (5005, 18807)";337;"3905 (398,  7412)";"1951 (285, 3617)"
2014-12-01;42;"3919 (1883, 5955)";95;"11569 (4968, 18169)";326;"3780 (414,  7145)";"1888 (290, 3486)"
2014-11-30;41;"3825 (1872, 5777)";92;"11243 (4931, 17554)";316;"3658 (429,  6888)";"1827 (295, 3360)"
2014-11-29;40;"3733 (1861, 5604)";89;"10927 (4892, 16962)";306;"3541 (442,  6639)";"1769 (300, 3238)"
2014-11-28;39;"3643 (1850, 5437)";87;"10621 (4853, 16390)";296;"3427 (454,  6399)";"1712 (303, 3120)"
2014-11-27;38;"3557 (1838, 5276)";84;"10326 (4812, 15839)";286;"3316 (465,  6167)";"1656 (306, 3007)"
2014-11-26;37;"3473 (1825, 5120)";82;"10039 (4770, 15309)";277;"3210 (475,  5944)";"1603 (309, 2897)"
2014-11-25;36;"3391 (1813, 4969)";79;" 9762 (4728, 14797)";268;"3106 (484,  5728)";"1551 (311, 2791)"
2014-11-24;35;"3312 (1800, 4824)";77;" 9494 (4685, 14304)";259;"3006 (492,  5520)";"1501 (313, 2690)"
2014-11-23;34;"3235 (1787, 4683)";75;" 9235 (4641, 13829)";251;"2909 (499,  5320)";"1453 (315, 2591)"
2014-11-22;33;"3160 (1774, 4547)";72;" 8984 (4597, 13371)";243;"2815 (505,  5126)";"1406 (315, 2497)"
2014-11-21;32;"3088 (1761, 4415)";70;" 8741 (4552, 12930)";235;"2725 (510,  4940)";"1361 (316, 2406)"
2014-11-20;31;"3018 (1747, 4288)";68;" 8506 (4507, 12505)";228;"2637 (514,  4760)";"1317 (316, 2317)"
2014-11-19;30;"2949 (1733, 4166)";66;" 8278 (4461, 12096)";220;"2552 (517,  4586)";"1274 (316, 2233)"
2014-11-18;29;"2883 (1720, 4047)";64;" 8058 (4415, 11701)";213;"2469 (520,  4419)";"1233 (316, 2151)"
2014-11-17;28;"2819 (1706, 3932)";62;" 7845 (4369, 11321)";206;"2390 (522,  4257)";"1194 (315, 2072)"
2014-11-16;27;"2757 (1692, 3822)";61;" 7639 (4323, 10954)";200;"2313 (524,  4102)";"1155 (314, 1996)"
2014-11-15;26;"2696 (1678, 3715)";59;" 7439 (4277, 10602)";193;"2238 (525,  3952)";"1118 (313, 1923)"
2014-11-14;25;"2637 (1664, 3611)";57;" 7246 (4231, 10261)";187;"2166 (525,  3807)";"1082 (312, 1852)"
2014-11-13;24;"2580 (1650, 3511)";55;" 7059 (4184,  9934)";181;"2096 (525,  3667)";"1047 (310, 1784)"
2014-11-12;23;"2525 (1635, 3415)";54;" 6878 (4138,  9618)";175;"2028 (524,  3533)";"1013 (308, 1718)"
2014-11-11;22;"2471 (1621, 3322)";52;" 6703 (4092,  9314)";169;"1963 (523,  3403)";" 981 (306, 1655)"
2014-11-10;21;"2419 (1607, 3231)";51;" 6534 (4046,  9021)";164;"1900 (521,  3278)";" 949 (304, 1594)"
2014-11-09;20;"2369 (1593, 3144)";49;" 6370 (4000,  8739)";159;"1839 (519,  3158)";" 918 (302, 1535)"
2014-11-08;19;"2320 (1579, 3060)";48;" 6211 (3955,  8468)";154;"1779 (517,  3042)";" 889 (299, 1479)"
2014-11-07;18;"2272 (1565, 2979)";46;" 6058 (3909,  8206)";149;"1722 (514,  2930)";" 860 (296, 1424)"
2014-11-06;17;"2226 (1551, 2901)";45;" 5909 (3864,  7954)";144;"1666 (511,  2822)";" 833 (294, 1371)"
2014-11-05;16;"2181 (1537, 2825)";44;" 5765 (3819,  7711)";139;"1613 (507,  2718)";" 806 (291, 1321)"
2014-11-04;15;"2137 (1523, 2751)";42;" 5626 (3775,  7477)";135;"1561 (503,  2618)";" 780 (288, 1272)"
2014-11-03;14;"2095 (1509, 2681)";41;" 5491 (3731,  7252)";130;"1510 (499,  2521)";" 755 (285, 1225)"
2014-11-02;13;"2054 (1495, 2612)";40;" 5361 (3687,  7035)";126;"1462 (495,  2428)";" 730 (281, 1180)"
2014-11-01;12;"2014 (1481, 2546)";39;" 5235 (3644,  6826)";122;"1415 (491,  2339)";" 707 (278, 1136)"
2014-10-31;11;"1975 (1468, 2482)";38;" 5113 (3601,  6625)";118;"1369 (486,  2252)";" 684 (275, 1094)"
2014-10-30;10;"1938 (1454, 2421)";36;" 4995 (3558,  6431)";114;"1325 (481,  2169)";" 662 (271, 1053)"
2014-10-29;9;"1901 (1441, 2361)";35;" 4880 (3516,  6244)";111;"1282 (476,  2089)";" 641 (268, 1014)"
2014-10-28;8;"1866 (1428, 2304)";34;" 4770 (3475,  6065)";107;"1241 (471,  2012)";" 620 (264,  977)"
2014-10-27;7;"1831 (1414, 2248)";33;" 4662 (3434,  5891)";104;"1201 (465,  1937)";" 600 (261,  940)"
2014-10-26;6;"1798 (1401, 2195)";32;" 4559 (3393,  5725)";100;"1163 (460,  1865)";" 581 (257,  905)"
2014-10-25;5;"1766 (1388, 2143)";31;" 4458 (3353,  5564)";97;"1125 (454,  1796)";" 563 (253,  872)"
2014-10-24;4;"1734 (1375, 2093)";31;" 4361 (3313,  5410)";94;"1089 (449,  1730)";" 545 (250,  839)"
2014-10-23;3;"1704 (1363, 2044)";30;" 4267 (3274,  5261)";91;"1054 (443,  1666)";" 527 (246,  808)"
2014-10-22;2;"1674 (1350, 1998)";29;" 4176 (3235,  5118)";88;"1020 (437,  1604)";" 510 (242,  778)"
2014-10-21;1;"1645 (1338, 1952)";28;" 4088 (3197,  4980)";85;" 988 (431,  1544)";" 494 (239,  749)"
2014-10-20;0;"1617 (1325, 1909)";27;" 4003 (3159,  4847)";82;" 956 (425,  1487)";" 478 (235,  721)"
2014-10-19;-1;"1590 (1313, 1867)";26;" 3921 (3122,  4719)";80;" 925 (419,  1431)";" 463 (231,  694)"
2014-10-18;-2;"1564 (1301, 1826)";26;" 3841 (3086,  4596)";77;" 896 (413,  1378)";" 448 (228,  668)"
2014-10-17;-3;"1538 (1289, 1787)";25;" 3763 (3050,  4477)";75;" 867 (407,  1327)";" 434 (224,  643)"
2014-10-16;-4;"1513 (1277, 1749)";24;" 3689 (3014,  4363)";72;" 839 (401,  1277)";" 420 (220,  619)"
2014-10-15;-5;"1489 (1266, 1712)";23;" 3616 (2979,  4253)";70;" 812 (394,  1230)";" 406 (217,  596)"
2014-10-14;-6;"1466 (1254, 1677)";23;" 3546 (2945,  4147)";68;" 786 (388,  1184)";" 393 (213,  574)"
2014-10-13;-7;"1443 (1243, 1643)";22;" 3478 (2911,  4045)";66;" 761 (382,  1140)";" 381 (209,  552)"
2014-10-12;-8;"1421 (1232, 1610)";21;" 3413 (2878,  3947)";64;" 737 (376,  1097)";" 369 (206,  532)"
2014-10-11;-9;"1399 (1221, 1578)";21;" 3349 (2845,  3853)";62;" 713 (370,  1056)";" 357 (202,  512)"
2014-10-10;-10;"1378 (1210, 1547)";20;" 3288 (2813,  3762)";60;" 690 (364,  1017)";" 346 (199,  492)"
2014-10-09;-11;"1358 (1199, 1517)";20;" 3228 (2781,  3675)";58;" 668 (358,   979)";" 335 (195,  474)"
2014-10-08;-12;"1338 (1188, 1489)";19;" 3170 (2750,  3590)";56;" 647 (352,   942)";" 324 (191,  456)"
2014-10-07;-13;"1319 (1178, 1461)";19;" 3114 (2719,  3509)";54;" 626 (346,   907)";" 314 (188,  439)"
2014-10-06;-14;"1301 (1167, 1434)";18;" 3060 (2689,  3431)";52;" 606 (340,   873)";" 304 (185,  423)"
2014-10-05;-15;"1283 (1157, 1408)";18;" 3008 (2660,  3356)";51;" 587 (334,   840)";" 294 (181,  407)"
2014-10-04;-16;"1265 (1147, 1383)";17;" 2957 (2631,  3284)";49;" 568 (328,   809)";" 285 (178,  391)"
2014-10-03;-17;"1248 (1137, 1359)";17;" 2908 (2602,  3214)";47;" 550 (322,   778)";" 276 (174,  377)"
2014-10-02;-18;"1232 (1128, 1336)";16;" 2861 (2574,  3148)";46;" 533 (316,   749)";" 267 (171,  362)"
2014-10-01;-19;"1216 (1118, 1313)";16;" 2815 (2547,  3083)";45;" 516 (310,   721)";" 258 (168,  349)"
2014-09-30;-20;"1200 (1108, 1292)";15;" 2770 (2520,  3021)";43;" 499 (305,   694)";" 250 (165,  336)"
2014-09-29;-21;"1185 (1099, 1271)";15;" 2727 (2493,  2961)";42;" 483 (299,   668)";" 242 (162,  323)"
2014-09-28;-22;"1170 (1090, 1251)";14;" 2686 (2467,  2904)";40;" 468 (293,   643)";" 234 (158,  311)"
2014-09-27;-23;"1156 (1081, 1231)";14;" 2645 (2442,  2849)";39;" 453 (288,   618)";" 227 (155,  299)"
2014-09-26;-24;"1142 (1072, 1212)";13;" 2606 (2416,  2796)";38;" 439 (282,   595)";" 220 (152,  288)"
2014-09-25;-25;"1129 (1063, 1194)";13;" 2568 (2392,  2745)";37;" 425 (277,   573)";" 213 (149,  277)"
2014-09-24;-26;"1116 (1055, 1176)";13;" 2532 (2368,  2695)";36;" 411 (272,   551)";" 206 (146,  266)"
2014-09-23;-27;"1103 (1046, 1159)";12;" 2496 (2344,  2648)";34;" 398 (266,   530)";" 200 (143,  256)"
