"date";"days.to.today";"cases.reported";"new.cases.reported";"cases.estimated";"new.cases.estimated";"incubation.estimated";"infectious.estimated"
2014-12-15;56;"17780 (11493, 24068)";337;"56121 (35219, 77022)";1206;"13886 (6063, 21709)";"7496 (3470, 11521)"
2014-12-14;55;"17443 (11345, 23542)";332;"54914 (34688, 75141)";1183;"13621 (6002, 21239)";"7350 (3434, 11265)"
2014-12-13;54;"17111 (11197, 23026)";326;"53731 (34162, 73300)";1161;"13359 (5942, 20777)";"7206 (3399, 11014)"
2014-12-12;53;"16785 (11051, 22520)";321;"52571 (33642, 71499)";1138;"13102 (5882, 20322)";"7065 (3363, 10767)"
2014-12-11;52;"16464 (10905, 22024)";315;"51432 (33126, 69738)";1116;"12849 (5822, 19876)";"6926 (3328, 10525)"
2014-12-10;51;"16149 (10761, 21537)";310;"50316 (32616, 68016)";1094;"12600 (5762, 19437)";"6790 (3292, 10287)"
2014-12-09;50;"15839 (10618, 21060)";305;"49222 (32111, 66332)";1073;"12355 (5703, 19006)";"6656 (3257, 10054)"
2014-12-08;49;"15534 (10476, 20592)";300;"48149 (31612, 64686)";1052;"12114 (5644, 18583)";"6524 (3222,  9826)"
2014-12-07;48;"15234 (10335, 20134)";295;"47096 (31117, 63076)";1032;"11877 (5586, 18168)";"6395 (3188,  9602)"
2014-12-06;47;"14939 (10195, 19684)";290;"46065 (30628, 61502)";1011;"11644 (5528, 17760)";"6267 (3153,  9382)"
2014-12-05;46;"14650 (10056, 19243)";285;"45054 (30144, 59963)";991;"11415 (5470, 17360)";"6142 (3119,  9166)"
2014-12-04;45;"14365 ( 9918, 18812)";280;"44062 (29664, 58460)";972;"11190 (5412, 16968)";"6020 (3084,  8955)"
2014-12-03;44;"14085 ( 9781, 18388)";275;"43090 (29190, 56990)";953;"10969 (5355, 16583)";"5899 (3050,  8748)"
2014-12-02;43;"13810 ( 9646, 17974)";270;"42138 (28721, 55554)";934;"10752 (5298, 16205)";"5781 (3016,  8545)"
2014-12-01;42;"13539 ( 9511, 17567)";266;"41204 (28257, 54151)";915;"10538 (5241, 15835)";"5665 (2982,  8347)"
2014-11-30;41;"13273 ( 9378, 17169)";261;"40289 (27798, 52780)";897;"10328 (5184, 15472)";"5550 (2949,  8152)"
2014-11-29;40;"13012 ( 9245, 16779)";257;"39392 (27344, 51440)";879;"10122 (5128, 15116)";"5438 (2915,  7961)"
2014-11-28;39;"12755 ( 9114, 16397)";252;"38513 (26894, 50131)";861;" 9920 (5072, 14768)";"5328 (2882,  7775)"
2014-11-27;38;"12503 ( 8984, 16022)";248;"37651 (26450, 48853)";844;" 9721 (5016, 14426)";"5220 (2849,  7592)"
2014-11-26;37;"12255 ( 8854, 15655)";244;"36807 (26011, 47604)";827;" 9526 (4961, 14091)";"5114 (2816,  7413)"
2014-11-25;36;"12011 ( 8726, 15296)";239;"35980 (25576, 46384)";811;" 9334 (4905, 13763)";"5010 (2783,  7238)"
2014-11-24;35;"11772 ( 8599, 14944)";235;"35170 (25146, 45193)";794;" 9146 (4850, 13442)";"4908 (2750,  7066)"
2014-11-23;34;"11536 ( 8473, 14600)";231;"34375 (24721, 44030)";778;" 8961 (4795, 13127)";"4808 (2718,  6899)"
2014-11-22;33;"11305 ( 8348, 14262)";227;"33597 (24301, 42893)";762;" 8780 (4741, 12819)";"4710 (2686,  6735)"
2014-11-21;32;"11078 ( 8224, 13932)";223;"32835 (23886, 41784)";747;" 8602 (4686, 12517)";"4614 (2653,  6574)"
2014-11-20;31;"10855 ( 8101, 13608)";219;"32088 (23475, 40701)";732;" 8427 (4632, 12222)";"4519 (2621,  6417)"
2014-11-19;30;"10636 ( 7980, 13291)";215;"31356 (23070, 39643)";717;" 8256 (4578, 11933)";"4426 (2590,  6263)"
2014-11-18;29;"10420 ( 7859, 12981)";212;"30640 (22668, 38611)";702;" 8088 (4525, 11650)";"4335 (2558,  6113)"
2014-11-17;28;"10208 ( 7739, 12677)";208;"29937 (22272, 37603)";688;" 7922 (4471, 11373)";"4246 (2527,  5966)"
2014-11-16;27;"10000 ( 7621, 12380)";204;"29250 (21880, 36619)";674;" 7760 (4418, 11103)";"4159 (2495,  5822)"
2014-11-15;26;" 9796 ( 7503, 12089)";201;"28576 (21493, 35659)";660;" 7602 (4366, 10838)";"4073 (2464,  5682)"
2014-11-14;25;" 9595 ( 7387, 11804)";197;"27916 (21111, 34721)";646;" 7446 (4313, 10578)";"3989 (2433,  5544)"
2014-11-13;24;" 9398 ( 7272, 11525)";194;"27270 (20733, 33806)";633;" 7293 (4261, 10325)";"3906 (2403,  5410)"
2014-11-12;23;" 9205 ( 7157, 11252)";190;"26636 (20359, 32913)";620;" 7143 (4209, 10077)";"3825 (2372,  5278)"
2014-11-11;22;" 9014 ( 7044, 10985)";187;"26016 (19991, 32042)";607;" 6996 (4157,  9834)";"3746 (2342,  5150)"
2014-11-10;21;" 8828 ( 6932, 10723)";184;"25409 (19626, 31192)";595;" 6852 (4106,  9597)";"3668 (2312,  5025)"
2014-11-09;20;" 8644 ( 6821, 10467)";180;"24814 (19266, 30362)";583;" 6710 (4055,  9365)";"3592 (2282,  4902)"
2014-11-08;19;" 8464 ( 6710, 10217)";177;"24232 (18911, 29552)";570;" 6571 (4004,  9139)";"3517 (2252,  4782)"
2014-11-07;18;" 8287 ( 6601,  9972)";174;"23661 (18560, 28762)";559;" 6436 (3954,  8917)";"3444 (2223,  4665)"
2014-11-06;17;" 8113 ( 6493,  9732)";171;"23103 (18214, 27992)";547;" 6302 (3904,  8700)";"3372 (2194,  4551)"
2014-11-05;16;" 7942 ( 6386,  9497)";168;"22556 (17871, 27240)";536;" 6171 (3854,  8489)";"3302 (2165,  4439)"
2014-11-04;15;" 7774 ( 6280,  9268)";165;"22020 (17534, 26506)";525;" 6043 (3805,  8282)";"3233 (2136,  4330)"
2014-11-03;14;" 7609 ( 6175,  9043)";162;"21495 (17200, 25790)";514;" 5918 (3756,  8080)";"3166 (2108,  4224)"
2014-11-02;13;" 7447 ( 6072,  8823)";159;"20982 (16871, 25092)";503;" 5795 (3707,  7882)";"3099 (2079,  4119)"
2014-11-01;12;" 7288 ( 5969,  8608)";156;"20479 (16546, 24411)";493;" 5674 (3659,  7689)";"3035 (2051,  4018)"
2014-10-31;11;" 7132 ( 5867,  8397)";153;"19986 (16225, 23747)";482;" 5556 (3611,  7501)";"2971 (2023,  3919)"
2014-10-30;10;" 6979 ( 5766,  8191)";151;"19504 (15908, 23099)";472;" 5440 (3563,  7316)";"2909 (1996,  3822)"
2014-10-29;9;" 6828 ( 5666,  7990)";148;"19032 (15596, 22468)";462;" 5326 (3516,  7136)";"2848 (1968,  3727)"
2014-10-28;8;" 6680 ( 5567,  7793)";145;"18569 (15287, 21851)";453;" 5215 (3469,  6961)";"2788 (1941,  3634)"
2014-10-27;7;" 6535 ( 5470,  7600)";143;"18117 (14983, 21251)";443;" 5106 (3422,  6789)";"2729 (1914,  3544)"
2014-10-26;6;" 6392 ( 5373,  7412)";140;"17674 (14682, 20665)";434;" 4999 (3376,  6621)";"2672 (1888,  3456)"
2014-10-25;5;" 6252 ( 5277,  7227)";138;"17240 (14386, 20093)";425;" 4894 (3330,  6458)";"2616 (1861,  3370)"
2014-10-24;4;" 6114 ( 5182,  7047)";135;"16815 (14094, 19536)";416;" 4791 (3285,  6298)";"2561 (1835,  3286)"
2014-10-23;3;" 5979 ( 5088,  6870)";133;"16399 (13805, 18993)";407;" 4691 (3240,  6142)";"2507 (1809,  3204)"
2014-10-22;2;" 5847 ( 4995,  6698)";130;"15992 (13521, 18463)";399;" 4592 (3195,  5989)";"2454 (1784,  3124)"
2014-10-21;1;" 5716 ( 4903,  6529)";128;"15593 (13240, 17946)";390;" 4496 (3151,  5841)";"2402 (1758,  3046)"
2014-10-20;0;" 5588 ( 4812,  6364)";126;"15203 (12963, 17443)";382;" 4401 (3107,  5695)";"2351 (1733,  2970)"
2014-10-19;-1;" 5462 ( 4722,  6203)";123;"14821 (12690, 16952)";374;" 4309 (3064,  5553)";"2302 (1708,  2896)"
2014-10-18;-2;" 5339 ( 4633,  6045)";121;"14447 (12421, 16473)";366;" 4218 (3021,  5415)";"2253 (1683,  2823)"
2014-10-17;-3;" 5218 ( 4545,  5890)";119;"14081 (12155, 16007)";358;" 4129 (2978,  5280)";"2206 (1659,  2752)"
2014-10-16;-4;" 5099 ( 4458,  5739)";117;"13723 (11893, 15552)";351;" 4042 (2936,  5148)";"2159 (1635,  2683)"
2014-10-15;-5;" 4982 ( 4372,  5592)";115;"13372 (11635, 15109)";343;" 3957 (2894,  5019)";"2113 (1611,  2616)"
2014-10-14;-6;" 4867 ( 4286,  5448)";113;"13029 (11380, 14678)";336;" 3874 (2851,  4896)";"2069 (1587,  2551)"
2014-10-13;-7;" 4754 ( 4202,  5307)";111;"12693 (11128, 14257)";329;" 3792 (2810,  4774)";"2025 (1563,  2487)"
2014-10-12;-8;" 4643 ( 4118,  5169)";109;"12364 (10881, 13846)";322;" 3712 (2770,  4654)";"1982 (1540,  2424)"
2014-10-11;-9;" 4535 ( 4036,  5034)";107;"12041 (10637, 13446)";315;" 3634 (2730,  4537)";"1940 (1517,  2363)"
2014-10-10;-10;" 4428 ( 3954,  4902)";105;"11726 (10396, 13056)";309;" 3557 (2690,  4423)";"1899 (1495,  2304)"
2014-10-09;-11;" 4323 ( 3873,  4773)";103;"11417 (10158, 12676)";302;" 3481 (2651,  4312)";"1859 (1472,  2245)"
2014-10-08;-12;" 4220 ( 3793,  4647)";101;"11115 ( 9924, 12306)";296;" 3408 (2612,  4203)";"1819 (1450,  2189)"
2014-10-07;-13;" 4119 ( 3714,  4523)";99;"10819 ( 9693, 11945)";289;" 3336 (2574,  4098)";"1781 (1428,  2133)"
2014-10-06;-14;" 4019 ( 3636,  4403)";98;"10530 ( 9466, 11594)";283;" 3265 (2535,  3994)";"1743 (1407,  2079)"
2014-10-05;-15;" 3922 ( 3558,  4285)";96;"10247 ( 9242, 11252)";277;" 3196 (2498,  3894)";"1706 (1385,  2027)"
2014-10-04;-16;" 3826 ( 3482,  4170)";94;" 9969 ( 9020, 10918)";271;" 3128 (2461,  3795)";"1670 (1364,  1976)"
2014-10-03;-17;" 3732 ( 3406,  4058)";92;" 9698 ( 8802, 10593)";266;" 3062 (2424,  3700)";"1634 (1343,  1926)"
2014-10-02;-18;" 3639 ( 3331,  3948)";91;" 9432 ( 8587, 10277)";260;" 2997 (2387,  3606)";"1600 (1322,  1877)"
2014-10-01;-19;" 3549 ( 3257,  3840)";89;" 9172 ( 8375,  9969)";255;" 2933 (2351,  3515)";"1566 (1302,  1829)"
2014-09-30;-20;" 3460 ( 3184,  3735)";88;" 8917 ( 8166,  9669)";249;" 2871 (2316,  3426)";"1532 (1282,  1783)"
2014-09-29;-21;" 3372 ( 3111,  3633)";86;" 8668 ( 7960,  9377)";244;" 2810 (2280,  3339)";"1500 (1262,  1738)"
2014-09-28;-22;" 3286 ( 3039,  3533)";84;" 8424 ( 7757,  9092)";239;" 2750 (2245,  3255)";"1468 (1242,  1694)"
2014-09-27;-23;" 3202 ( 2968,  3435)";83;" 8186 ( 7557,  8815)";234;" 2692 (2211,  3173)";"1437 (1222,  1651)"
2014-09-26;-24;" 3119 ( 2898,  3339)";81;" 7952 ( 7359,  8545)";229;" 2635 (2177,  3092)";"1406 (1203,  1609)"
