"date";"days.to.today";"cases.reported";"new.cases.reported";"cases.estimated";"new.cases.estimated";"incubation.estimated";"infectious.estimated"
2014-12-15;56;"20846 (6648, 35044)";603;"67833 (19635, 116031)";2155;"24943 ( 467, 49419)";"12576 ( 735, 24418)"
2014-12-14;55;"20243 (6634, 33853)";586;"65678 (19586, 111769)";2091;"24200 ( 596, 47804)";"12190 ( 798, 23582)"
2014-12-13;54;"19657 (6617, 32698)";570;"63587 (19525, 107648)";2028;"23474 ( 722, 46227)";"11814 ( 858, 22769)"
2014-12-12;53;"19087 (6597, 31578)";554;"61559 (19454, 103663)";1967;"22766 ( 844, 44687)";"11447 ( 916, 21978)"
2014-12-11;52;"18533 (6574, 30492)";539;"59592 (19372,  99812)";1907;"22075 ( 964, 43185)";"11090 ( 972, 21209)"
2014-12-10;51;"17994 (6547, 29441)";524;"57686 (19280,  96091)";1848;"21400 (1080, 41721)";"10743 (1025, 20461)"
2014-12-09;50;"17470 (6518, 28423)";509;"55837 (19177,  92497)";1791;"20743 (1192, 40294)";"10405 (1075, 19735)"
2014-12-08;49;"16961 (6486, 27437)";495;"54046 (19065,  89027)";1736;"20103 (1301, 38906)";"10077 (1122, 19031)"
2014-12-07;48;"16467 (6451, 26482)";481;"52310 (18944,  85676)";1682;"19480 (1404, 37555)";" 9757 (1167, 18347)"
2014-12-06;47;"15986 (6414, 25558)";467;"50628 (18813,  82442)";1629;"18873 (1504, 36241)";" 9447 (1209, 17684)"
2014-12-05;46;"15519 (6374, 24665)";453;"48998 (18675,  79322)";1578;"18282 (1599, 34965)";" 9145 (1249, 17042)"
2014-12-04;45;"15066 (6332, 23800)";440;"47420 (18528,  76313)";1529;"17707 (1689, 33725)";" 8852 (1285, 16419)"
2014-12-03;44;"14626 (6287, 22964)";428;"45891 (18373,  73410)";1480;"17148 (1775, 32521)";" 8568 (1320, 15816)"
2014-12-02;43;"14198 (6240, 22156)";415;"44411 (18211,  70612)";1433;"16605 (1856, 31354)";" 8292 (1351, 15233)"
2014-12-01;42;"13783 (6191, 21374)";403;"42978 (18042,  67914)";1388;"16076 (1932, 30221)";" 8024 (1380, 14668)"
2014-11-30;41;"13380 (6140, 20619)";391;"41590 (17867,  65314)";1343;"15563 (2003, 29123)";" 7764 (1406, 14121)"
2014-11-29;40;"12988 (6087, 19890)";380;"40247 (17685,  62809)";1300;"15065 (2070, 28060)";" 7512 (1430, 13593)"
2014-11-28;39;"12608 (6032, 19185)";369;"38947 (17498,  60396)";1258;"14581 (2132, 27029)";" 7267 (1451, 13082)"
2014-11-27;38;"12240 (5976, 18504)";358;"37689 (17306,  58072)";1218;"14111 (2189, 26032)";" 7030 (1470, 12589)"
2014-11-26;37;"11882 (5917, 17847)";347;"36471 (17109,  55833)";1178;"13655 (2242, 25067)";" 6800 (1487, 12112)"
2014-11-25;36;"11535 (5858, 17212)";337;"35293 (16907,  53678)";1140;"13212 (2291, 24134)";" 6577 (1502, 11652)"
2014-11-24;35;"11198 (5797, 16599)";327;"34153 (16701,  51604)";1103;"12783 (2335, 23231)";" 6361 (1514, 11208)"
2014-11-23;34;"10871 (5735, 16008)";317;"33050 (16492,  49607)";1067;"12366 (2375, 22358)";" 6152 (1525, 10779)"
2014-11-22;33;"10554 (5671, 15437)";308;"31983 (16279,  47686)";1032;"11963 (2411, 21515)";" 5949 (1533, 10365)"
2014-11-21;32;"10247 (5607, 14886)";298;"30951 (16064,  45838)";998;"11571 (2442, 20700)";" 5753 (1540,  9966)"
2014-11-20;31;" 9948 (5542, 14355)";289;"29952 (15846,  44059)";966;"11192 (2470, 19914)";" 5562 (1544,  9581)"
2014-11-19;30;" 9659 (5475, 13843)";281;"28987 (15625,  42349)";934;"10824 (2495, 19154)";" 5378 (1547,  9209)"
2014-11-18;29;" 9378 (5408, 13348)";272;"28053 (15403,  40703)";903;"10468 (2515, 18421)";" 5200 (1549,  8851)"
2014-11-17;28;" 9106 (5341, 12872)";264;"27150 (15179,  39121)";873;"10123 (2532, 17714)";" 5027 (1548,  8507)"
2014-11-16;27;" 8842 (5272, 12412)";256;"26277 (14953,  37600)";844;" 9789 (2546, 17032)";" 4860 (1547,  8174)"
2014-11-15;26;" 8586 (5203, 11969)";248;"25432 (14727,  36138)";816;" 9465 (2557, 16374)";" 4699 (1543,  7854)"
2014-11-14;25;" 8338 (5134, 11542)";241;"24616 (14499,  34733)";789;" 9152 (2564, 15739)";" 4542 (1539,  7546)"
2014-11-13;24;" 8097 (5064, 11130)";233;"23826 (14271,  33382)";763;" 8848 (2569, 15128)";" 4391 (1533,  7249)"
2014-11-12;23;" 7864 (4994, 10733)";226;"23063 (14043,  32084)";738;" 8555 (2571, 14538)";" 4244 (1526,  6963)"
2014-11-11;22;" 7637 (4924, 10350)";219;"22325 (13815,  30836)";713;" 8270 (2570, 13970)";" 4103 (1518,  6688)"
2014-11-10;21;" 7418 (4854,  9982)";213;"21612 (13587,  29638)";690;" 7995 (2567, 13423)";" 3966 (1508,  6423)"
2014-11-09;20;" 7205 (4783,  9627)";206;"20923 (13359,  28486)";667;" 7729 (2561, 12896)";" 3833 (1498,  6168)"
2014-11-08;19;" 6999 (4713,  9284)";200;"20256 (13132,  27380)";644;" 7471 (2553, 12389)";" 3705 (1487,  5923)"
2014-11-07;18;" 6799 (4642,  8955)";194;"19612 (12905,  26318)";623;" 7222 (2543, 11900)";" 3581 (1475,  5687)"
2014-11-06;17;" 6605 (4572,  8637)";188;"18989 (12680,  25298)";602;" 6981 (2531, 11430)";" 3461 (1462,  5460)"
2014-11-05;16;" 6417 (4501,  8332)";182;"18387 (12455,  24318)";582;" 6747 (2517, 10977)";" 3345 (1448,  5242)"
2014-11-04;15;" 6234 (4431,  8037)";177;"17805 (12232,  23377)";562;" 6522 (2501, 10542)";" 3233 (1434,  5032)"
2014-11-03;14;" 6058 (4361,  7754)";171;"17242 (12010,  22474)";544;" 6303 (2484, 10123)";" 3125 (1419,  4830)"
2014-11-02;13;" 5886 (4292,  7481)";166;"16699 (11790,  21607)";525;" 6092 (2465,  9720)";" 3020 (1404,  4636)"
2014-11-01;12;" 5720 (4222,  7218)";161;"16173 (11572,  20775)";508;" 5888 (2445,  9332)";" 2919 (1388,  4450)"
2014-10-31;11;" 5559 (4153,  6965)";156;"15665 (11355,  19976)";491;" 5691 (2423,  8959)";" 2821 (1371,  4271)"
2014-10-30;10;" 5403 (4085,  6721)";151;"15175 (11140,  19209)";474;" 5500 (2400,  8600)";" 2726 (1354,  4098)"
2014-10-29;9;" 5252 (4016,  6487)";147;"14700 (10927,  18474)";458;" 5316 (2376,  8256)";" 2635 (1336,  3933)"
2014-10-28;8;" 5105 (3949,  6261)";142;"14242 (10716,  17768)";443;" 5138 (2351,  7924)";" 2546 (1319,  3774)"
2014-10-27;7;" 4963 (3881,  6044)";138;"13799 (10507,  17090)";428;" 4965 (2325,  7605)";" 2461 (1301,  3621)"
2014-10-26;6;" 4825 (3814,  5835)";134;"13371 (10301,  16441)";414;" 4799 (2298,  7299)";" 2378 (1282,  3474)"
2014-10-25;5;" 4691 (3748,  5635)";130;"12957 (10096,  15817)";400;" 4638 (2270,  7005)";" 2298 (1264,  3333)"
2014-10-24;4;" 4562 (3682,  5441)";126;"12557 ( 9894,  15220)";387;" 4482 (2242,  6722)";" 2221 (1245,  3198)"
2014-10-23;3;" 4436 (3617,  5255)";122;"12170 ( 9694,  14646)";374;" 4331 (2213,  6450)";" 2147 (1226,  3068)"
2014-10-22;2;" 4314 (3552,  5077)";118;"11797 ( 9497,  14097)";361;" 4186 (2183,  6189)";" 2075 (1207,  2943)"
2014-10-21;1;" 4196 (3488,  4905)";114;"11436 ( 9302,  13569)";349;" 4045 (2153,  5938)";" 2005 (1187,  2823)"
2014-10-20;0;" 4082 (3424,  4739)";111;"11087 ( 9110,  13064)";337;" 3910 (2122,  5697)";" 1938 (1168,  2708)"
2014-10-19;-1;" 3971 (3361,  4581)";108;"10750 ( 8920,  12580)";326;" 3778 (2091,  5466)";" 1873 (1149,  2597)"
2014-10-18;-2;" 3863 (3299,  4428)";104;"10424 ( 8732,  12116)";315;" 3652 (2060,  5244)";" 1810 (1129,  2491)"
2014-10-17;-3;" 3759 (3237,  4281)";101;"10109 ( 8547,  11671)";304;" 3529 (2028,  5030)";" 1750 (1110,  2389)"
2014-10-16;-4;" 3658 (3175,  4140)";98;" 9805 ( 8364,  11245)";294;" 3411 (1996,  4825)";" 1691 (1090,  2292)"
2014-10-15;-5;" 3560 (3114,  4005)";95;" 9511 ( 8183,  10838)";284;" 3296 (1964,  4628)";" 1634 (1071,  2198)"
2014-10-14;-6;" 3465 (3054,  3876)";92;" 9226 ( 8005,  10447)";275;" 3186 (1932,  4439)";" 1580 (1051,  2108)"
2014-10-13;-7;" 3373 (2994,  3751)";89;" 8952 ( 7829,  10074)";266;" 3079 (1899,  4258)";" 1527 (1032,  2021)"
2014-10-12;-8;" 3283 (2935,  3632)";87;" 8686 ( 7656,   9716)";257;" 2975 (1867,  4084)";" 1476 (1013,  1938)"
2014-10-11;-9;" 3197 (2876,  3518)";84;" 8429 ( 7484,   9375)";248;" 2876 (1835,  3917)";" 1426 ( 994,  1859)"
2014-10-10;-10;" 3113 (2817,  3408)";81;" 8181 ( 7315,   9048)";240;" 2779 (1802,  3757)";" 1379 ( 975,  1783)"
2014-10-09;-11;" 3031 (2759,  3303)";79;" 7942 ( 7147,   8736)";232;" 2686 (1770,  3603)";" 1332 ( 956,  1709)"
2014-10-08;-12;" 2952 (2701,  3203)";77;" 7710 ( 6981,   8439)";224;" 2596 (1738,  3455)";" 1288 ( 937,  1639)"
2014-10-07;-13;" 2875 (2643,  3108)";74;" 7486 ( 6817,   8155)";216;" 2509 (1706,  3313)";" 1245 ( 918,  1572)"
2014-10-06;-14;" 2801 (2586,  3017)";72;" 7270 ( 6655,   7885)";209;" 2425 (1674,  3177)";" 1203 ( 899,  1507)"
2014-10-05;-15;" 2729 (2528,  2930)";70;" 7061 ( 6493,   7628)";202;" 2344 (1642,  3047)";" 1163 ( 881,  1445)"
2014-10-04;-16;" 2659 (2471,  2847)";68;" 6858 ( 6333,   7383)";195;" 2266 (1610,  2922)";" 1124 ( 863,  1386)"
2014-10-03;-17;" 2592 (2414,  2769)";66;" 6663 ( 6175,   7151)";189;" 2190 (1579,  2802)";" 1087 ( 845,  1329)"
2014-10-02;-18;" 2526 (2358,  2694)";64;" 6474 ( 6017,   6931)";183;" 2117 (1547,  2687)";" 1051 ( 827,  1275)"
2014-10-01;-19;" 2462 (2301,  2623)";62;" 6291 ( 5861,   6722)";176;" 2046 (1516,  2576)";" 1016 ( 809,  1223)"
2014-09-30;-20;" 2400 (2245,  2556)";60;" 6115 ( 5706,   6524)";171;" 1978 (1485,  2471)";"  982 ( 791,  1173)"
2014-09-29;-21;" 2340 (2189,  2492)";58;" 5944 ( 5552,   6337)";165;" 1912 (1455,  2369)";"  949 ( 774,  1125)"
2014-09-28;-22;" 2282 (2134,  2431)";56;" 5779 ( 5400,   6159)";159;" 1848 (1425,  2272)";"  918 ( 757,  1079)"
2014-09-27;-23;" 2226 (2079,  2372)";55;" 5620 ( 5250,   5990)";154;" 1787 (1395,  2179)";"  887 ( 740,  1035)"
2014-09-26;-24;" 2171 (2026,  2317)";53;" 5466 ( 5103,   5829)";149;" 1727 (1365,  2089)";"  858 ( 723,   993)"
2014-09-25;-25;" 2118 (1973,  2263)";51;" 5317 ( 4958,   5676)";144;" 1670 (1335,  2004)";"  829 ( 706,   953)"
2014-09-24;-26;" 2067 (1921,  2212)";50;" 5173 ( 4816,   5530)";139;" 1614 (1306,  1922)";"  802 ( 689,   915)"
2014-09-23;-27;" 2017 (1871,  2163)";48;" 5034 ( 4677,   5390)";135;" 1560 (1277,  1844)";"  775 ( 672,   878)"
2014-09-22;-28;" 1968 (1822,  2115)";47;" 4899 ( 4542,   5256)";130;" 1509 (1249,  1768)";"  750 ( 656,   843)"
2014-09-21;-29;" 1921 (1774,  2069)";46;" 4769 ( 4411,   5127)";126;" 1458 (1220,  1697)";"  725 ( 639,   810)"
2014-09-20;-30;" 1876 (1727,  2024)";44;" 4643 ( 4284,   5002)";122;" 1410 (1192,  1628)";"  701 ( 623,   779)"
2014-09-19;-31;" 1831 (1682,  1981)";43;" 4522 ( 4161,   4882)";118;" 1363 (1164,  1562)";"  678 ( 606,   749)"
