"date";"days.to.today";"cases.reported";"new.cases.reported";"cases.estimated";"new.cases.estimated";"incubation.estimated";"infectious.estimated"
2014-12-15;56;"44217 (28274, 60160)";1084;"141404 (87481, 195328)";3876;"44790 (18421, 71159)";"23054 (10229, 35879)"
2014-12-14;55;"43134 (27821, 58446)";1057;"137528 (85863, 189193)";3772;"43592 (18144, 69039)";"22426 (10075, 34777)"
2014-12-13;54;"42076 (27374, 56778)";1032;"133756 (84269, 183243)";3671;"42420 (17872, 66969)";"21814 ( 9924, 33704)"
2014-12-12;53;"41044 (26932, 55157)";1007;"130085 (82699, 177471)";3572;"41276 (17605, 64947)";"21217 ( 9774, 32659)"
2014-12-11;52;"40038 (26495, 53580)";982;"126514 (81153, 171875)";3475;"40159 (17344, 62975)";"20634 ( 9627, 31642)"
2014-12-10;51;"39056 (26064, 52047)";958;"123039 (79629, 166450)";3380;"39069 (17086, 61051)";"20067 ( 9481, 30652)"
2014-12-09;50;"38098 (25638, 50558)";934;"119659 (78127, 161191)";3288;"38005 (16833, 59176)";"19513 ( 9337, 29690)"
2014-12-08;49;"37164 (25217, 49110)";911;"116371 (76648, 156094)";3198;"36966 (16584, 57349)";"18974 ( 9195, 28754)"
2014-12-07;48;"36252 (24801, 47704)";889;"113173 (75190, 151155)";3110;"35954 (16338, 55570)";"18449 ( 9054, 27845)"
2014-12-06;47;"35364 (24390, 46337)";867;"110062 (73754, 146371)";3025;"34966 (16095, 53838)";"17938 ( 8914, 26961)"
2014-12-05;46;"34497 (23984, 45010)";845;"107038 (72339, 141736)";2941;"34004 (15855, 52153)";"17440 ( 8776, 26104)"
2014-12-04;45;"33652 (23583, 43721)";824;"104096 (70946, 137246)";2860;"33066 (15618, 50514)";"16955 ( 8639, 25271)"
2014-12-03;44;"32828 (23187, 42469)";803;"101236 (69573, 132899)";2781;"32152 (15383, 48921)";"16483 ( 8504, 24462)"
2014-12-02;43;"32025 (22796, 41253)";783;" 98455 (68221, 128689)";2704;"31262 (15150, 47373)";"16024 ( 8369, 23678)"
2014-12-01;42;"31241 (22409, 40073)";764;" 95751 (66889, 124612)";2629;"30394 (14920, 45869)";"15577 ( 8236, 22917)"
2014-11-30;41;"30477 (22028, 38927)";745;" 93122 (65578, 120666)";2556;"29550 (14692, 44408)";"15142 ( 8103, 22180)"
2014-11-29;40;"29733 (21651, 37815)";726;" 90566 (64286, 116846)";2485;"28728 (14465, 42990)";"14719 ( 7972, 21465)"
2014-11-28;39;"29007 (21279, 36735)";708;" 88081 (63015, 113148)";2415;"27927 (14241, 41613)";"14307 ( 7843, 20771)"
2014-11-27;38;"28299 (20911, 35687)";690;" 85666 (61763, 109568)";2348;"27148 (14019, 40278)";"13907 ( 7714, 20100)"
2014-11-26;37;"27610 (20549, 34670)";672;" 83318 (60531, 106105)";2282;"26390 (13798, 38982)";"13517 ( 7586, 19449)"
2014-11-25;36;"26937 (20191, 33683)";655;" 81035 (59318, 102752)";2219;"25652 (13579, 37726)";"13139 ( 7459, 18818)"
2014-11-24;35;"26282 (19838, 32726)";639;" 78817 (58125,  99509)";2157;"24935 (13362, 36508)";"12771 ( 7334, 18208)"
2014-11-23;34;"25643 (19489, 31796)";623;" 76660 (56951,  96370)";2096;"24237 (13146, 35327)";"12413 ( 7210, 17616)"
2014-11-22;33;"25020 (19145, 30894)";607;" 74564 (55795,  93333)";2037;"23558 (12933, 34183)";"12065 ( 7086, 17044)"
2014-11-21;32;"24413 (18806, 30019)";592;" 72527 (54659,  90394)";1980;"22898 (12721, 33075)";"11727 ( 6964, 16490)"
2014-11-20;31;"23821 (18472, 29170)";577;" 70546 (53541,  87552)";1925;"22256 (12510, 32002)";"11398 ( 6844, 15953)"
2014-11-19;30;"23244 (18142, 28346)";562;" 68622 (52442,  84801)";1871;"21632 (12302, 30962)";"11079 ( 6724, 15434)"
2014-11-18;29;"22682 (17816, 27547)";548;" 66751 (51361,  82140)";1818;"21025 (12095, 29955)";"10769 ( 6605, 14932)"
2014-11-17;28;"22134 (17495, 26772)";534;" 64932 (50298,  79567)";1767;"20435 (11890, 28980)";"10467 ( 6488, 14446)"
2014-11-16;27;"21599 (17179, 26020)";521;" 63165 (49254,  77077)";1718;"19862 (11687, 28037)";"10174 ( 6372, 13976)"
2014-11-15;26;"21078 (16867, 25290)";508;" 61447 (48227,  74668)";1670;"19305 (11486, 27124)";" 9890 ( 6257, 13522)"
2014-11-14;25;"20571 (16560, 24582)";495;" 59778 (47218,  72338)";1623;"18763 (11287, 26240)";" 9613 ( 6144, 13082)"
2014-11-13;24;"20076 (16257, 23895)";482;" 58155 (46226,  70084)";1577;"18237 (11089, 25385)";" 9344 ( 6032, 12657)"
2014-11-12;23;"19593 (15958, 23229)";470;" 56578 (45252,  67904)";1533;"17726 (10894, 24558)";" 9083 ( 5921, 12245)"
2014-11-11;22;"19123 (15664, 22582)";458;" 55045 (44295,  65795)";1490;"17229 (10701, 23758)";" 8829 ( 5811, 11848)"
2014-11-10;21;"18665 (15374, 21955)";447;" 53555 (43355,  63755)";1448;"16746 (10509, 22984)";" 8583 ( 5703, 11463)"
2014-11-09;20;"18218 (15089, 21347)";436;" 52107 (42432,  61781)";1408;"16277 (10320, 22235)";" 8344 ( 5596, 11091)"
2014-11-08;19;"17782 (14807, 20756)";425;" 50699 (41525,  59872)";1368;"15822 (10132, 21511)";" 8111 ( 5491, 10732)"
2014-11-07;18;"17357 (14530, 20184)";414;" 49330 (40635,  58026)";1330;"15379 ( 9947, 20811)";" 7885 ( 5386, 10384)"
2014-11-06;17;"16943 (14258, 19628)";404;" 48000 (39761,  56240)";1293;"14949 ( 9764, 20134)";" 7666 ( 5284, 10048)"
2014-11-05;16;"16539 (13989, 19089)";394;" 46707 (38903,  54512)";1257;"14531 ( 9583, 19480)";" 7453 ( 5182,  9724)"
2014-11-04;15;"16145 (13725, 18566)";384;" 45451 (38061,  52840)";1222;"14126 ( 9404, 18847)";" 7246 ( 5082,  9410)"
2014-11-03;14;"15762 (13465, 18058)";374;" 44229 (37235,  51223)";1188;"13732 ( 9228, 18235)";" 7045 ( 4984,  9106)"
2014-11-02;13;"15387 (13209, 17566)";365;" 43041 (36424,  49659)";1155;"13349 ( 9054, 17644)";" 6850 ( 4886,  8813)"
2014-11-01;12;"15022 (12956, 17088)";356;" 41887 (35628,  48146)";1122;"12977 ( 8882, 17073)";" 6660 ( 4791,  8530)"
2014-10-31;11;"14666 (12708, 16625)";347;" 40764 (34847,  46682)";1091;"12616 ( 8712, 16520)";" 6476 ( 4696,  8256)"
2014-10-30;10;"14319 (12464, 16175)";338;" 39673 (34081,  45265)";1061;"12265 ( 8544, 15986)";" 6297 ( 4603,  7991)"
2014-10-29;9;"13981 (12224, 15738)";330;" 38612 (33330,  43895)";1031;"11924 ( 8379, 15470)";" 6123 ( 4512,  7735)"
