"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment"
"2014-12-16";"56";"7183 (6048, 8318)";"36";"24635 (20293, 28977)";"113";"1285 ( 411, 2159)";" 975 ( 371, 1578)";"310 (137, 484)"
"2014-12-15";"55";"7147 (6034, 8260)";"36";"24522 (20256, 28788)";"114";"1292 ( 422, 2162)";" 980 ( 380, 1580)";"312 (140, 485)"
"2014-12-14";"54";"7111 (6019, 8202)";"36";"24409 (20218, 28599)";"114";"1300 ( 434, 2165)";" 986 ( 389, 1582)";"314 (143, 485)"
"2014-12-13";"53";"7074 (6005, 8144)";"37";"24294 (20179, 28409)";"115";"1307 ( 446, 2168)";" 992 ( 398, 1585)";"316 (146, 486)"
"2014-12-12";"52";"7038 (5990, 8085)";"37";"24179 (20139, 28219)";"116";"1314 ( 458, 2171)";" 997 ( 408, 1587)";"318 (149, 487)"
"2014-12-11";"51";"7001 (5975, 8027)";"37";"24064 (20098, 28029)";"116";"1322 ( 470, 2174)";"1003 ( 417, 1589)";"320 (152, 487)"
"2014-12-10";"50";"6964 (5959, 7969)";"37";"23947 (20056, 27839)";"117";"1330 ( 482, 2177)";"1009 ( 426, 1591)";"321 (155, 488)"
"2014-12-09";"49";"6927 (5943, 7910)";"37";"23830 (20012, 27648)";"118";"1337 ( 494, 2180)";"1015 ( 436, 1593)";"323 (158, 489)"
"2014-12-08";"48";"6889 (5927, 7852)";"38";"23713 (19968, 27457)";"118";"1345 ( 507, 2183)";"1020 ( 445, 1595)";"325 (161, 489)"
"2014-12-07";"47";"6851 (5910, 7793)";"38";"23594 (19923, 27266)";"119";"1352 ( 519, 2186)";"1026 ( 455, 1598)";"327 (164, 490)"
"2014-12-06";"46";"6814 (5893, 7734)";"38";"23475 (19876, 27075)";"120";"1360 ( 532, 2189)";"1032 ( 465, 1600)";"329 (167, 491)"
"2014-12-05";"45";"6775 (5875, 7675)";"38";"23356 (19829, 26883)";"120";"1368 ( 544, 2192)";"1038 ( 475, 1602)";"331 (170, 491)"
"2014-12-04";"44";"6737 (5858, 7617)";"39";"23235 (19780, 26691)";"121";"1376 ( 557, 2195)";"1044 ( 484, 1604)";"333 (174, 492)"
"2014-12-03";"43";"6699 (5839, 7558)";"39";"23114 (19730, 26499)";"122";"1384 ( 570, 2198)";"1050 ( 494, 1606)";"335 (177, 493)"
"2014-12-02";"42";"6660 (5821, 7499)";"39";"22993 (19679, 26306)";"122";"1392 ( 583, 2201)";"1056 ( 505, 1608)";"337 (180, 493)"
"2014-12-01";"41";"6621 (5802, 7439)";"39";"22870 (19627, 26114)";"123";"1400 ( 596, 2204)";"1063 ( 515, 1611)";"339 (184, 494)"
"2014-11-30";"40";"6581 (5783, 7380)";"39";"22747 (19574, 25921)";"124";"1408 ( 609, 2207)";"1069 ( 525, 1613)";"341 (187, 495)"
"2014-11-29";"39";"6542 (5763, 7321)";"40";"22623 (19519, 25727)";"125";"1416 ( 622, 2210)";"1075 ( 535, 1615)";"343 (190, 495)"
"2014-11-28";"38";"6502 (5743, 7262)";"40";"22499 (19464, 25534)";"125";"1424 ( 636, 2213)";"1081 ( 546, 1617)";"345 (194, 496)"
"2014-11-27";"37";"6462 (5723, 7202)";"40";"22373 (19407, 25340)";"126";"1432 ( 649, 2216)";"1088 ( 556, 1619)";"347 (197, 497)"
"2014-11-26";"36";"6422 (5702, 7143)";"40";"22247 (19349, 25146)";"127";"1441 ( 663, 2219)";"1094 ( 567, 1621)";"349 (201, 497)"
"2014-11-25";"35";"6382 (5681, 7083)";"41";"22121 (19290, 24952)";"127";"1449 ( 676, 2222)";"1100 ( 577, 1624)";"351 (204, 498)"
"2014-11-24";"34";"6341 (5659, 7023)";"41";"21993 (19229, 24757)";"128";"1457 ( 690, 2225)";"1107 ( 588, 1626)";"353 (208, 499)"
