"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment"
"2014-12-16";"56";"9815 (4587, 15043)";"157";"36430 (14927, 57933)";"579";"6648 (-328, 13624)";"4292 (  28, 8555)";"1163 ( 76, 2249)"
"2014-12-15";"55";"9658 (4585, 14732)";"155";"35851 (14952, 56750)";"571";"6553 (-276, 13382)";"4230 (  60, 8400)";"1146 ( 84, 2207)"
"2014-12-14";"54";"9504 (4582, 14426)";"152";"35280 (14972, 55588)";"562";"6459 (-225, 13143)";"4169 (  91, 8246)";"1129 ( 92, 2166)"
"2014-12-13";"53";"9351 (4578, 14125)";"150";"34718 (14988, 54447)";"554";"6366 (-175, 12908)";"4109 ( 122, 8096)";"1113 (100, 2126)"
"2014-12-12";"52";"9201 (4572, 13830)";"148";"34163 (15000, 53327)";"546";"6275 (-127, 12676)";"4049 ( 152, 7947)";"1097 (108, 2086)"
"2014-12-11";"51";"9053 (4565, 13541)";"146";"33617 (15007, 52227)";"539";"6184 ( -79, 12447)";"3991 ( 181, 7801)";"1081 (115, 2047)"
"2014-12-10";"50";"8907 (4558, 13257)";"144";"33078 (15011, 51146)";"531";"6095 ( -32, 12222)";"3933 ( 209, 7657)";"1065 (122, 2008)"
"2014-12-09";"49";"8764 (4549, 12978)";"142";"32548 (15010, 50085)";"523";"6007 (  14, 12001)";"3876 ( 237, 7515)";"1050 (129, 1970)"
"2014-12-08";"48";"8622 (4539, 12704)";"140";"32024 (15005, 49044)";"516";"5920 (  59, 11782)";"3820 ( 264, 7375)";"1034 (136, 1933)"
"2014-12-07";"47";"8482 (4529, 12436)";"138";"31509 (14997, 48021)";"508";"5835 ( 102, 11567)";"3764 ( 291, 7238)";"1019 (143, 1896)"
"2014-12-06";"46";"8345 (4517, 12172)";"136";"31001 (14984, 47017)";"501";"5750 ( 145, 11355)";"3710 ( 317, 7103)";"1005 (149, 1860)"
"2014-12-05";"45";"8209 (4505, 11913)";"134";"30500 (14968, 46032)";"494";"5667 ( 187, 11147)";"3656 ( 342, 6970)";" 990 (155, 1825)"
"2014-12-04";"44";"8075 (4491, 11660)";"132";"30007 (14948, 45065)";"486";"5585 ( 228, 10942)";"3603 ( 367, 6839)";" 976 (162, 1790)"
"2014-12-03";"43";"7944 (4477, 11411)";"130";"29520 (14925, 44115)";"479";"5504 ( 268, 10740)";"3551 ( 391, 6711)";" 962 (168, 1756)"
"2014-12-02";"42";"7814 (4461, 11166)";"128";"29041 (14898, 43184)";"472";"5424 ( 308, 10541)";"3499 ( 414, 6584)";" 948 (173, 1722)"
"2014-12-01";"41";"7686 (4445, 10927)";"126";"28569 (14868, 42269)";"466";"5346 ( 346, 10345)";"3448 ( 437, 6459)";" 934 (179, 1689)"
"2014-11-30";"40";"7560 (4428, 10692)";"124";"28103 (14834, 41372)";"459";"5268 ( 383, 10153)";"3398 ( 460, 6337)";" 920 (185, 1656)"
"2014-11-29";"39";"7436 (4410, 10461)";"122";"27644 (14798, 40491)";"452";"5192 ( 420,  9963)";"3349 ( 482, 6216)";" 907 (190, 1624)"
"2014-11-28";"38";"7313 (4392, 10235)";"121";"27192 (14758, 39627)";"446";"5116 ( 456,  9777)";"3300 ( 503, 6098)";" 894 (195, 1592)"
"2014-11-27";"37";"7193 (4372, 10013)";"119";"26747 (14715, 38779)";"439";"5042 ( 491,  9593)";"3252 ( 524, 5981)";" 881 (200, 1561)"
"2014-11-26";"36";"7074 (4352,  9795)";"117";"26308 (14668, 37947)";"433";"4969 ( 525,  9413)";"3205 ( 544, 5867)";" 868 (205, 1531)"
"2014-11-25";"35";"6957 (4331,  9582)";"115";"25875 (14619, 37130)";"426";"4896 ( 558,  9235)";"3159 ( 564, 5754)";" 856 (210, 1501)"
"2014-11-24";"34";"6841 (4310,  9373)";"114";"25449 (14567, 36330)";"420";"4825 ( 590,  9060)";"3113 ( 583, 5643)";" 843 (215, 1472)"
"2014-11-23";"33";"6727 (4287,  9167)";"112";"25028 (14513, 35544)";"414";"4755 ( 622,  8889)";"3068 ( 601, 5534)";" 831 (220, 1443)"
"2014-11-22";"32";"6615 (4264,  8966)";"111";"24614 (14455, 34773)";"408";"4686 ( 653,  8719)";"3023 ( 620, 5427)";" 819 (224, 1414)"
"2014-11-21";"31";"6505 (4241,  8769)";"109";"24206 (14395, 34017)";"402";"4618 ( 683,  8553)";"2979 ( 637, 5322)";" 807 (228, 1386)"
"2014-11-20";"30";"6396 (4216,  8575)";"107";"23804 (14332, 33276)";"396";"4551 ( 712,  8390)";"2936 ( 654, 5218)";" 796 (232, 1359)"
"2014-11-19";"29";"6289 (4191,  8386)";"106";"23408 (14267, 32549)";"391";"4485 ( 740,  8229)";"2894 ( 671, 5117)";" 784 (236, 1332)"
"2014-11-18";"28";"6183 (4166,  8200)";"104";"23017 (14199, 31836)";"385";"4420 ( 768,  8071)";"2852 ( 687, 5017)";" 773 (240, 1306)"
"2014-11-17";"27";"6078 (4140,  8017)";"103";"22632 (14129, 31136)";"379";"4355 ( 795,  7916)";"2811 ( 703, 4918)";" 762 (244, 1280)"
"2014-11-16";"26";"5976 (4113,  7839)";"101";"22253 (14056, 30450)";"374";"4292 ( 821,  7763)";"2770 ( 718, 4822)";" 751 (248, 1254)"
"2014-11-15";"25";"5874 (4086,  7663)";"100";"21879 (13981, 29778)";"368";"4230 ( 847,  7613)";"2730 ( 733, 4727)";" 740 (251, 1229)"
"2014-11-14";"24";"5775 (4058,  7492)";"98";"21511 (13904, 29118)";"363";"4168 ( 872,  7465)";"2690 ( 748, 4633)";" 729 (255, 1204)"
"2014-11-13";"23";"5676 (4029,  7324)";"97";"21148 (13825, 28471)";"358";"4108 ( 896,  7320)";"2652 ( 762, 4542)";" 719 (258, 1180)"
"2014-11-12";"22";"5579 (4000,  7159)";"96";"20790 (13743, 27838)";"353";"4048 ( 920,  7177)";"2613 ( 775, 4452)";" 709 (261, 1156)"
"2014-11-11";"21";"5484 (3971,  6997)";"94";"20438 (13660, 27216)";"347";"3990 ( 942,  7037)";"2576 ( 788, 4363)";" 699 (264, 1133)"
"2014-11-10";"20";"5390 (3941,  6839)";"93";"20090 (13574, 26607)";"342";"3932 ( 965,  6899)";"2539 ( 801, 4276)";" 689 (267, 1110)"
"2014-11-09";"19";"5297 (3910,  6684)";"91";"19748 (13487, 26009)";"337";"3875 ( 986,  6764)";"2502 ( 813, 4191)";" 679 (270, 1087)"
"2014-11-08";"18";"5205 (3879,  6531)";"90";"19411 (13397, 25424)";"333";"3819 (1007,  6631)";"2466 ( 825, 4107)";" 669 (273, 1065)"
"2014-11-07";"17";"5115 (3848,  6383)";"89";"19078 (13306, 24850)";"328";"3764 (1028,  6500)";"2431 ( 837, 4025)";" 660 (276, 1043)"
"2014-11-06";"16";"5026 (3816,  6237)";"88";"18750 (13213, 24288)";"323";"3709 (1047,  6371)";"2396 ( 848, 3944)";" 650 (278, 1022)"
"2014-11-05";"15";"4939 (3784,  6094)";"86";"18427 (13118, 23737)";"318";"3656 (1066,  6245)";"2361 ( 859, 3864)";" 641 (281, 1001)"
"2014-11-04";"14";"4853 (3751,  5954)";"85";"18109 (13021, 23197)";"314";"3603 (1085,  6121)";"2328 ( 869, 3786)";" 632 (283,  980)"
"2014-11-03";"13";"4767 (3718,  5817)";"84";"17795 (12923, 22667)";"309";"3551 (1103,  5999)";"2294 ( 879, 3709)";" 623 (286,  960)"
"2014-11-02";"12";"4684 (3685,  5683)";"83";"17486 (12823, 22149)";"305";"3500 (1120,  5879)";"2262 ( 889, 3634)";" 614 (288,  940)"
"2014-11-01";"11";"4601 (3651,  5551)";"81";"17181 (12721, 21641)";"300";"3449 (1137,  5762)";"2229 ( 899, 3560)";" 605 (290,  921)"
"2014-10-31";"10";"4519 (3616,  5422)";"80";"16881 (12618, 21143)";"296";"3400 (1154,  5646)";"2197 ( 908, 3487)";" 597 (292,  902)"
"2014-10-30";"9";"4439 (3582,  5296)";"79";"16585 (12514, 20655)";"292";"3351 (1169,  5533)";"2166 ( 916, 3416)";" 588 (294,  883)"
"2014-10-29";"8";"4360 (3547,  5173)";"78";"16293 (12408, 20178)";"288";"3303 (1185,  5421)";"2135 ( 925, 3346)";" 580 (296,  864)"
"2014-10-28";"7";"4282 (3511,  5052)";"77";"16005 (12300, 19710)";"284";"3255 (1199,  5312)";"2105 ( 933, 3277)";" 572 (298,  846)"
"2014-10-27";"6";"4205 (3476,  4934)";"76";"15722 (12192, 19252)";"279";"3209 (1214,  5204)";"2075 ( 941, 3209)";" 564 (299,  828)"
"2014-10-26";"5";"4129 (3439,  4819)";"75";"15442 (12081, 18803)";"275";"3163 (1227,  5098)";"2046 ( 948, 3143)";" 556 (301,  811)"
"2014-10-25";"4";"4054 (3403,  4706)";"74";"15167 (11970, 18364)";"272";"3118 (1241,  4995)";"2017 ( 955, 3078)";" 548 (303,  794)"
"2014-10-24";"3";"3981 (3366,  4595)";"73";"14895 (11857, 17933)";"268";"3073 (1254,  4893)";"1988 ( 962, 3014)";" 541 (304,  777)"
"2014-10-23";"2";"3908 (3329,  4487)";"72";"14628 (11743, 17512)";"264";"3029 (1266,  4793)";"1960 ( 969, 2951)";" 533 (305,  761)"
"2014-10-22";"1";"3836 (3291,  4381)";"71";"14364 (11627, 17100)";"260";"2986 (1278,  4694)";"1933 ( 975, 2890)";" 526 (307,  744)"
"2014-10-21";"0";"3766 (3253,  4278)";"70";"14104 (11511, 16696)";"256";"2944 (1289,  4598)";"1905 ( 981, 2829)";" 518 (308,  728)"
"2014-10-20";"-1";"3696 (3215,  4177)";"69";"13847 (11393, 16301)";"253";"2902 (1300,  4503)";"1879 ( 987, 2770)";" 511 (309,  713)"
"2014-10-19";"-2";"3627 (3176,  4078)";"68";"13595 (11274, 15915)";"249";"2861 (1311,  4410)";"1852 ( 993, 2712)";" 504 (310,  698)"
"2014-10-18";"-3";"3559 (3137,  3982)";"67";"13345 (11154, 15537)";"246";"2820 (1321,  4319)";"1826 ( 998, 2654)";" 497 (311,  683)"
"2014-10-17";"-4";"3493 (3098,  3887)";"66";"13100 (11032, 15167)";"242";"2780 (1331,  4229)";"1801 (1003, 2598)";" 490 (312,  668)"
"2014-10-16";"-5";"3427 (3058,  3796)";"65";"12858 (10910, 14805)";"239";"2741 (1340,  4141)";"1776 (1008, 2543)";" 483 (313,  653)"
"2014-10-15";"-6";"3362 (3018,  3706)";"64";"12619 (10786, 14452)";"235";"2702 (1349,  4055)";"1751 (1013, 2489)";" 477 (314,  639)"
"2014-10-14";"-7";"3298 (2977,  3619)";"63";"12383 (10661, 14106)";"232";"2664 (1358,  3970)";"1726 (1017, 2436)";" 470 (315,  625)"
"2014-10-13";"-8";"3235 (2936,  3534)";"62";"12151 (10535, 13768)";"229";"2626 (1366,  3887)";"1702 (1021, 2384)";" 464 (316,  612)"
"2014-10-12";"-9";"3173 (2894,  3451)";"61";"11923 (10408, 13438)";"226";"2590 (1374,  3805)";"1679 (1025, 2333)";" 457 (316,  598)"
"2014-10-11";"-10";"3111 (2852,  3370)";"61";"11697 (10279, 13115)";"222";"2553 (1381,  3725)";"1655 (1028, 2283)";" 451 (317,  585)"
"2014-10-10";"-11";"3051 (2809,  3292)";"60";"11475 (10149, 12801)";"219";"2517 (1389,  3646)";"1633 (1032, 2233)";" 445 (318,  572)"
"2014-10-09";"-12";"2991 (2766,  3216)";"59";"11255 (10017, 12493)";"216";"2482 (1395,  3569)";"1610 (1035, 2185)";" 439 (318,  560)"
"2014-10-08";"-13";"2932 (2721,  3143)";"58";"11039 ( 9885, 12194)";"213";"2448 (1402,  3493)";"1588 (1038, 2138)";" 433 (318,  547)"
"2014-10-07";"-14";"2874 (2677,  3072)";"57";"10826 ( 9750, 11902)";"210";"2413 (1408,  3419)";"1566 (1041, 2091)";" 427 (319,  535)"
"2014-10-06";"-15";"2817 (2631,  3003)";"56";"10616 ( 9614, 11617)";"207";"2380 (1414,  3346)";"1545 (1043, 2046)";" 421 (319,  523)"
"2014-10-05";"-16";"2760 (2584,  2936)";"56";"10408 ( 9476, 11340)";"204";"2347 (1419,  3274)";"1523 (1046, 2001)";" 415 (319,  512)"
"2014-10-04";"-17";"2705 (2537,  2872)";"55";"10204 ( 9337, 11071)";"202";"2314 (1425,  3204)";"1503 (1048, 1957)";" 410 (319,  500)"
"2014-10-03";"-18";"2650 (2489,  2811)";"54";"10002 ( 9195, 10810)";"199";"2282 (1430,  3135)";"1482 (1050, 1914)";" 404 (319,  489)"
"2014-10-02";"-19";"2595 (2440,  2751)";"53";" 9804 ( 9051, 10556)";"196";"2251 (1434,  3067)";"1462 (1052, 1872)";" 399 (319,  478)"
"2014-10-01";"-20";"2542 (2390,  2694)";"53";" 9608 ( 8905, 10310)";"193";"2220 (1438,  3001)";"1442 (1053, 1831)";" 393 (319,  467)"
"2014-09-30";"-21";"2489 (2340,  2639)";"52";" 9414 ( 8756, 10073)";"191";"2189 (1442,  2936)";"1423 (1055, 1790)";" 388 (319,  457)"
"2014-09-29";"-22";"2437 (2289,  2585)";"51";" 9223 ( 8604,  9843)";"188";"2159 (1446,  2872)";"1403 (1056, 1751)";" 383 (319,  447)"
"2014-09-28";"-23";"2386 (2238,  2533)";"51";" 9035 ( 8449,  9621)";"186";"2130 (1450,  2809)";"1384 (1057, 1712)";" 378 (318,  437)"
"2014-09-27";"-24";"2335 (2187,  2483)";"50";" 8850 ( 8292,  9408)";"183";"2100 (1453,  2748)";"1366 (1058, 1674)";" 373 (318,  427)"
"2014-09-26";"-25";"2285 (2136,  2434)";"49";" 8667 ( 8132,  9202)";"180";"2072 (1456,  2688)";"1347 (1058, 1637)";" 367 (317,  418)"
"2014-09-25";"-26";"2236 (2086,  2386)";"49";" 8486 ( 7968,  9004)";"178";"2043 (1458,  2629)";"1329 (1059, 1600)";" 362 (316,  409)"
"2014-09-24";"-27";"2187 (2035,  2339)";"48";" 8308 ( 7803,  8814)";"176";"2016 (1461,  2571)";"1312 (1059, 1564)";" 358 (315,  400)"
"2014-09-23";"-28";"2139 (1985,  2293)";"47";" 8133 ( 7635,  8630)";"173";"1988 (1463,  2514)";"1294 (1058, 1530)";" 353 (314,  391)"
"2014-09-22";"-29";"2092 (1936,  2248)";"47";" 7959 ( 7466,  8453)";"171";"1961 (1465,  2458)";"1277 (1058, 1496)";" 348 (313,  383)"
"2014-09-21";"-30";"2045 (1887,  2204)";"46";" 7789 ( 7296,  8281)";"169";"1935 (1466,  2404)";"1260 (1057, 1462)";" 343 (311,  375)"
"2014-09-20";"-31";"1999 (1839,  2159)";"45";" 7620 ( 7125,  8115)";"166";"1909 (1467,  2351)";"1243 (1056, 1430)";" 338 (309,  368)"
