Date;Days from today;Cases (reported/treated);New cases/day (reported/treated);Cases (total);New cases/day (total);Incubation period;Infectious and unreported;Undergoing treatment
16.12.2014;56;25112 (18314, 31910);445;94474 (65526, 123422);1751;20206 (8521, 31891);12217 (5568, 18866);3121 (1533, 4710)
15.12.2014;55;24667 (18104, 31230);434;92723 (64757, 120688);1709;19718 (8406, 31030);11931 (5495, 18367);3051 (1514, 4589)
14.12.2014;54;24233 (17898, 30568);424;91014 (64000, 118028);1668;19244 (8294, 30195);11654 (5424, 17884);2983 (1495, 4472)
13.12.2014;53;23809 (17694, 29923);414;89346 (63254, 115439);1628;18783 (8183, 29383);11384 (5353, 17414);2917 (1476, 4358)
12.12.2014;52;23394 (17494, 29295);405;87719 (62518, 112919);1589;18334 (8074, 28595);11121 (5284, 16959);2853 (1458, 4248)
11.12.2014;51;22990 (17296, 28684);396;86129 (61792, 110467);1551;17898 (7966, 27830);10866 (5216, 16517);2791 (1440, 4141)
10.12.2014;50;22594 (17101, 28088);387;84578 (61077, 108079);1515;17474 (7860, 27087);10619 (5149, 16089);2730 (1423, 4038)
09.12.2014;49;22208 (16908, 27507);378;83064 (60372, 105755);1479;17062 (7756, 26367);10378 (5083, 15673);2671 (1405, 3937)
08.12.2014;48;21830 (16718, 26942);369;81585 (59677, 103492);1444;16661 (7654, 25668);10144 (5018, 15270);2614 (1389, 3840)
07.12.2014;47;21461 (16531, 26390);361;80140 (58992, 101289);1411;16271 (7553, 24990); 9917 (4955, 14880);2559 (1372, 3746)
06.12.2014;46;21100 (16346, 25853);353;78730 (58316,  99143);1378;15893 (7454, 24332); 9697 (4892, 14501);2505 (1356, 3654)
05.12.2014;45;20746 (16163, 25329);345;77352 (57650,  97054);1346;15525 (7357, 23694); 9482 (4831, 14133);2453 (1340, 3565)
04.12.2014;44;20401 (15983, 24819);338;76006 (56993,  95019);1315;15168 (7261, 23075); 9274 (4771, 13777);2402 (1325, 3479)
03.12.2014;43;20063 (15806, 24321);330;74690 (56345,  93036);1285;14821 (7167, 22475); 9072 (4713, 13432);2353 (1310, 3396)
02.12.2014;42;19733 (15630, 23836);323;73405 (55706,  91105);1256;14484 (7074, 21893); 8876 (4655, 13097);2305 (1295, 3315)
01.12.2014;41;19410 (15457, 23362);316;72149 (55076,  89223);1228;14156 (6983, 21329); 8686 (4599, 12773);2259 (1281, 3237)
30.11.2014;40;19093 (15286, 22900);310;70921 (54454,  87389);1200;13838 (6894, 20781); 8501 (4543, 12458);2214 (1266, 3161)
29.11.2014;39;18784 (15118, 22449);303;69721 (53841,  85602);1174;13529 (6807, 20251); 8321 (4489, 12153);2170 (1253, 3087)
28.11.2014;38;18480 (14951, 22010);297;68548 (53236,  83859);1148;13229 (6721, 19737); 8147 (4436, 11858);2128 (1239, 3016)
27.11.2014;37;18184 (14787, 21581);291;67400 (52639,  82161);1122;12937 (6636, 19239); 7978 (4385, 11571);2086 (1226, 2947)
26.11.2014;36;17893 (14624, 21162);285;66278 (52050,  80505);1098;12655 (6554, 18755); 7814 (4334, 11293);2047 (1214, 2879)
25.11.2014;35;17608 (14463, 20753);279;65180 (51469,  78891);1074;12380 (6473, 18287); 7654 (4284, 11024);2008 (1201, 2814)
24.11.2014;34;17329 (14305, 20353);273;64106 (50895,  77316);1051;12113 (6393, 17833); 7500 (4236, 10763);1970 (1189, 2751)
23.11.2014;33;17056 (14148, 19964);268;63054 (50329,  75780);1029;11854 (6315, 17393); 7349 (4189, 10510);1934 (1177, 2690)
22.11.2014;32;16788 (13993, 19583);263;62026 (49770,  74281);1007;11603 (6239, 16967); 7204 (4143, 10265);1898 (1166, 2631)
21.11.2014;31;16525 (13840, 19211);257;61019 (49218,  72819);986;11359 (6165, 16553); 7062 (4098, 10027);1864 (1155, 2573)
20.11.2014;30;16268 (13688, 18847);253;60033 (48673,  71392);965;11122 (6092, 16152); 6925 (4054,  9796);1831 (1144, 2517)
19.11.2014;29;16015 (13538, 18492);248;59067 (48135,  69999);946;10892 (6020, 15764); 6792 (4011,  9572);1798 (1133, 2463)
18.11.2014;28;15768 (13390, 18145);243;58122 (47604,  68639);926;10669 (5951, 15387); 6663 (3970,  9356);1767 (1123, 2411)
17.11.2014;27;15525 (13244, 17806);238;57195 (47078,  67312);908;10452 (5882, 15022); 6537 (3929,  9145);1736 (1113, 2360)
16.11.2014;26;15286 (13098, 17474);234;56288 (46560,  66016);889;10242 (5816, 14668); 6415 (3890,  8941);1707 (1104, 2310)
15.11.2014;25;15052 (12955, 17149);230;55398 (46047,  64750);872;10038 (5751, 14325); 6297 (3851,  8744);1678 (1094, 2262)
14.11.2014;24;14822 (12813, 16832);226;54526 (45540,  63513);855; 9840 (5688, 13993); 6183 (3814,  8552);1651 (1085, 2216)
13.11.2014;23;14597 (12672, 16522);222;53672 (45039,  62305);838; 9648 (5626, 13670); 6072 (3778,  8366);1624 (1077, 2171)
12.11.2014;22;14375 (12532, 16218);218;52834 (44543,  61124);822; 9462 (5566, 13358); 5964 (3742,  8186);1598 (1068, 2127)
11.11.2014;21;14158 (12394, 15921);214;52012 (44053,  59970);806; 9281 (5507, 13054); 5859 (3708,  8011);1572 (1060, 2084)
10.11.2014;20;13944 (12257, 15630);210;51205 (43568,  58842);791; 9105 (5450, 12760); 5758 (3675,  7841);1548 (1052, 2043)
09.11.2014;19;13733 (12122, 15345);207;50414 (43089,  57739);776; 8935 (5394, 12475); 5659 (3643,  7676);1524 (1045, 2003)
