"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2014-12-17";"56";"6625 (1159, 12091)";"167";"59901 (-1444, 121246)";"1915";"22168 (-8158, 52493)";"14681 (-4515, 33877)";"1331 (-307, 2969)";"4003 (-813, 8819)";"7205 (-1464, 15875)";"23%"
"2014-12-16";"55";"6458 (1209, 11707)";"163";"57986 ( -750, 116721)";"1858";"21502 (-7785, 50790)";"14213 (-4255, 32680)";"1295 (-286, 2876)";"3877 (-757, 8511)";"6978 (-1362, 15319)";"23%"
"2014-12-15";"54";"6295 (1257, 11334)";"159";"56128 (  -88, 112344)";"1801";"20852 (-7418, 49123)";"13757 (-4002, 31515)";"1260 (-266, 2786)";"3754 (-702, 8210)";"6758 (-1263, 14778)";"23%"
"2014-12-14";"53";"6136 (1301, 10971)";"155";"54327 (  543, 108112)";"1746";"20217 (-7057, 47492)";"13313 (-3757, 30382)";"1226 (-246, 2699)";"3635 (-648, 7918)";"6543 (-1167, 14252)";"23%"
"2014-12-13";"52";"5982 (1344, 10620)";"151";"52581 ( 1141, 104021)";"1692";"19597 (-6702, 45897)";"12881 (-3519, 29281)";"1193 (-227, 2613)";"3519 (-597, 7634)";"6334 (-1074, 13741)";"24%"
"2014-12-12";"51";"5831 (1383, 10279)";"147";"50888 ( 1709, 100068)";"1640";"18993 (-6355, 44340)";"12462 (-3288, 28212)";"1161 (-208, 2529)";"3406 (-547, 7358)";"6130 ( -984, 13245)";"24%"
"2014-12-11";"50";"5684 (1421,  9948)";"143";"49248 ( 2247,  96250)";"1589";"18403 (-6015, 42821)";"12055 (-3065, 27174)";"1129 (-190, 2448)";"3296 (-498, 7090)";"5933 ( -897, 12762)";"24%"
"2014-12-10";"49";"5541 (1456,  9627)";"139";"47659 ( 2755,  92564)";"1539";"17828 (-5682, 41339)";"11659 (-2850, 26168)";"1098 (-172, 2369)";"3189 (-452, 6830)";"5741 ( -813, 12295)";"24%"
"2014-12-09";"48";"5402 (1488,  9315)";"136";"46120 ( 3234,  89006)";"1491";"17268 (-5359, 39895)";"11274 (-2643, 25192)";"1068 (-156, 2291)";"3086 (-407, 6578)";"5554 ( -733, 11841)";"24%"
"2014-12-08";"47";"5266 (1519,  9014)";"132";"44629 ( 3685,  85574)";"1444";"16723 (-5044, 38490)";"10901 (-2443, 24246)";"1038 (-140, 2216)";"2985 (-364, 6334)";"5373 ( -656, 11401)";"24%"
"2014-12-07";"46";"5134 (1547,  8721)";"129";"43186 ( 4109,  82263)";"1398";"16192 (-4738, 37123)";"10539 (-2252, 23330)";"1010 (-124, 2143)";"2887 (-323, 6097)";"5197 ( -581, 10975)";"24%"
"2014-12-06";"45";"5006 (1573,  8438)";"125";"41788 ( 4507,  79070)";"1353";"15676 (-4441, 35793)";"10188 (-2067, 22443)";" 982 (-109, 2072)";"2792 (-284, 5868)";"5026 ( -510, 10563)";"24%"
"2014-12-05";"44";"4880 (1597,  8164)";"122";"40435 ( 4879,  75992)";"1310";"15174 (-4154, 34501)";" 9847 (-1891, 21586)";" 954 ( -95, 2003)";"2700 (-246, 5647)";"4861 ( -442, 10164)";"25%"
