"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2014-12-17";"56";"10690 (8050, 13329)";"105";"75249 (50359, 100139)";"999";"11440 (3934, 18946)";"9095 (3592, 14597)";"1003 (453, 1554)";"2524 (1142, 3907)";"4544 (2056, 7033)";"23%"
"2014-12-16";"55";"10585 (8006, 13164)";"104";"74250 (50005,  98495)";"990";"11335 (3959, 18712)";"9002 (3606, 14397)";" 999 (456, 1542)";"2500 (1145, 3856)";"4500 (2060, 6941)";"23%"
"2014-12-15";"54";"10481 (7962, 12999)";"104";"73260 (49648,  96872)";"981";"11231 (3984, 18479)";"8910 (3620, 14199)";" 995 (460, 1529)";"2476 (1147, 3805)";"4457 (2064, 6849)";"23%"
"2014-12-14";"53";"10377 (7917, 12836)";"104";"72279 (49289,  95270)";"972";"11128 (4008, 18248)";"8818 (3633, 14003)";" 990 (464, 1517)";"2452 (1149, 3755)";"4414 (2069, 6759)";"23%"
"2014-12-13";"52";"10273 (7872, 12674)";"103";"71308 (48928,  93688)";"963";"11025 (4031, 18019)";"8727 (3646, 13808)";" 986 (468, 1504)";"2428 (1151, 3705)";"4371 (2072, 6669)";"24%"
"2014-12-12";"51";"10170 (7826, 12513)";"103";"70345 (48564,  92126)";"954";"10923 (4055, 17791)";"8637 (3658, 13615)";" 981 (472, 1491)";"2405 (1153, 3656)";"4328 (2076, 6580)";"24%"
"2014-12-11";"50";"10067 (7780, 12354)";"103";"69392 (48199,  90584)";"945";"10821 (4077, 17564)";"8547 (3670, 13424)";" 977 (475, 1479)";"2381 (1155, 3607)";"4286 (2080, 6492)";"24%"
"2014-12-10";"49";" 9964 (7733, 12195)";"102";"68447 (47831,  89062)";"936";"10719 (4099, 17340)";"8458 (3681, 13235)";" 973 (479, 1466)";"2358 (1157, 3558)";"4244 (2083, 6405)";"24%"
"2014-12-09";"48";" 9862 (7686, 12038)";"102";"67511 (47461,  87561)";"927";"10619 (4121, 17117)";"8369 (3692, 13047)";" 968 (483, 1454)";"2334 (1159, 3510)";"4202 (2086, 6318)";"24%"
"2014-12-08";"47";" 9760 (7638, 11882)";"101";"66584 (47089,  86078)";"918";"10519 (4142, 16895)";"8282 (3702, 12861)";" 964 (486, 1441)";"2311 (1160, 3462)";"4160 (2088, 6232)";"24%"
"2014-12-07";"46";" 9659 (7590, 11727)";"101";"65665 (46715,  84616)";"910";"10419 (4163, 16675)";"8195 (3712, 12677)";" 959 (490, 1429)";"2288 (1162, 3415)";"4119 (2091, 6147)";"24%"
"2014-12-06";"45";" 9558 (7541, 11574)";"101";"64756 (46339,  83173)";"901";"10320 (4183, 16457)";"8108 (3721, 12495)";" 955 (493, 1416)";"2266 (1163, 3368)";"4078 (2093, 6063)";"24%"
"2014-12-05";"44";" 9457 (7492, 11422)";"100";"63855 (45961,  81749)";"892";"10222 (4202, 16241)";"8022 (3730, 12315)";" 950 (497, 1403)";"2243 (1164, 3322)";"4037 (2095, 5980)";"25%"
"2014-12-04";"43";" 9356 (7442, 11270)";"100";"62963 (45581,  80344)";"884";"10124 (4221, 16026)";"7937 (3738, 12136)";" 946 (500, 1391)";"2221 (1165, 3276)";"3997 (2097, 5897)";"25%"
