"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2014-12-17";"56";"16579 (12700, 20458)";"377";"148472 (106897, 190047)";"4087";"47116 (29574, 64658)";"33006 (21117, 44895)";"3152 (2074, 4230)";"9040 (6055, 12024)";"16271 (10899, 21643)";"23%"
"2014-12-16";"55";"16202 (12458, 19945)";"370";"144385 (104328, 184442)";"3995";"46067 (28950, 63183)";"32183 (20641, 43726)";"3088 (2038, 4137)";"8818 (5920, 11715)";"15872 (10657, 21087)";"23%"
"2014-12-15";"54";"15832 (12220, 19443)";"363";"140390 (101814, 178966)";"3904";"45027 (28337, 61717)";"31373 (20174, 42572)";"3024 (2003, 4044)";"8599 (5788, 11411)";"15479 (10418, 20539)";"23%"
"2014-12-14";"53";"15468 (11986, 18951)";"356";"136485 ( 99353, 173618)";"3815";"43997 (27733, 60261)";"30575 (19715, 41436)";"2961 (1969, 3953)";"8384 (5658, 11110)";"15091 (10184, 19999)";"23%"
"2014-12-13";"52";"15112 (11755, 18468)";"350";"132671 ( 96944, 168397)";"3726";"42978 (27139, 58817)";"29791 (19265, 40317)";"2898 (1934, 3862)";"8172 (5530, 10815)";"14710 ( 9954, 19466)";"24%"
"2014-12-12";"51";"14762 (11528, 17996)";"343";"128945 ( 94588, 163302)";"3638";"41971 (26556, 57386)";"29019 (18823, 39215)";"2837 (1900, 3773)";"7964 (5404, 10524)";"14335 ( 9728, 18943)";"24%"
"2014-12-11";"50";"14419 (11305, 17533)";"336";"125307 ( 92281, 158333)";"3551";"40976 (25982, 55970)";"28261 (18390, 38133)";"2776 (1867, 3685)";"7759 (5281, 10237)";"13967 ( 9506, 18427)";"24%"
"2014-12-10";"49";"14083 (11085, 17080)";"330";"121756 ( 90025, 153487)";"3466";"39993 (25419, 54568)";"27517 (17965, 37069)";"2716 (1834, 3597)";"7558 (5160,  9956)";"13604 ( 9288, 17921)";"24%"
"2014-12-09";"48";"13753 (10869, 16636)";"323";"118290 ( 87818, 148763)";"3381";"39024 (24865, 53184)";"26786 (17548, 36024)";"2656 (1801, 3511)";"7360 (5041,  9680)";"13249 ( 9074, 17424)";"24%"
"2014-12-08";"47";"13429 (10657, 16202)";"317";"114909 ( 85659, 144160)";"3298";"38068 (24320, 51816)";"26069 (17139, 34998)";"2598 (1769, 3427)";"7167 (4925,  9409)";"12900 ( 8864, 16936)";"24%"
"2014-12-07";"46";"13113 (10448, 15777)";"310";"111611 ( 83547, 139676)";"3216";"37126 (23786, 50467)";"25365 (16738, 33993)";"2540 (1737, 3343)";"6976 (4810,  9143)";"12557 ( 8658, 16457)";"24%"
