"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2014-12-17";"56";"33893 (26689, 41097)";"649";"283622 (205447, 361796)";"7001";"80724 (44895, 116552)";"56782 (33541, 80022)";"5486 (3450, 7523)";"15567 (9735, 21399)";"28021 (17522, 38519)";"23%"
"2014-12-16";"55";"33244 (26301, 40188)";"637";"276621 (201506, 351736)";"6843";"78904 (44189, 113620)";"55398 (32961, 77834)";"5382 (3408, 7356)";"15195 (9564, 20826)";"27351 (17216, 37486)";"23%"
"2014-12-15";"54";"32607 (25916, 39299)";"626";"269778 (197627, 341930)";"6686";"77110 (43490, 110731)";"54039 (32388, 75690)";"5279 (3367, 7191)";"14830 (9396, 20263)";"26693 (16912, 36474)";"23%"
"2014-12-14";"53";"31981 (25535, 38428)";"615";"263092 (193809, 332375)";"6532";"75342 (42798, 107886)";"52706 (31821, 73592)";"5177 (3326, 7029)";"14471 (9229, 19713)";"26048 (16612, 35483)";"23%"
"2014-12-13";"52";"31366 (25158, 37575)";"604";"256559 (190052, 323067)";"6381";"73601 (42113, 105088)";"51399 (31260, 71538)";"5077 (3285, 6870)";"14119 (9065, 19174)";"25414 (16316, 34513)";"24%"
"2014-12-12";"51";"30763 (24785, 36740)";"593";"250179 (186355, 314002)";"6232";"71887 (41435, 102338)";"50118 (30706, 69530)";"4979 (3244, 6714)";"13774 (8902, 18646)";"24794 (16023, 33564)";"24%"
"2014-12-11";"50";"30170 (24416, 35923)";"582";"243947 (182718, 305176)";"6085";"70200 (40763,  99636)";"48863 (30159, 67567)";"4882 (3203, 6560)";"13436 (8741, 18131)";"24185 (15734, 32636)";"24%"
"2014-12-10";"49";"29588 (24052, 35124)";"571";"237862 (179140, 296584)";"5941";"68541 (40098,  96984)";"47633 (29617, 65649)";"4786 (3163, 6410)";"13105 (8583, 17627)";"23589 (15449, 31729)";"24%"
"2014-12-09";"48";"29017 (23691, 34342)";"561";"231921 (175620, 288222)";"5799";"66911 (39439,  94383)";"46430 (29083, 63776)";"4692 (3122, 6262)";"12780 (8426, 17135)";"23005 (15167, 30843)";"24%"
"2014-12-08";"47";"28456 (23334, 33578)";"550";"226122 (172159, 280086)";"5660";"65310 (38787,  91833)";"45251 (28554, 61949)";"4600 (3082, 6117)";"12463 (8271, 16654)";"22433 (14888, 29978)";"24%"
"2014-12-07";"46";"27905 (22981, 32830)";"540";"220463 (168755, 272171)";"5523";"63738 (38141,  89334)";"44099 (28032, 60165)";"4509 (3042, 5975)";"12152 (8119, 16185)";"21874 (14614, 29133)";"24%"
"2014-12-06";"45";"27365 (22633, 32098)";"530";"214940 (165407, 264472)";"5389";"62195 (37501,  86888)";"42972 (27517, 58427)";"4420 (3003, 5836)";"11848 (7968, 15728)";"21326 (14342, 28310)";"24%"
"2014-12-05";"44";"26835 (22288, 31383)";"520";"209550 (162116, 256985)";"5258";"60681 (36868,  84494)";"41870 (27008, 56731)";"4332 (2963, 5700)";"11550 (7819, 15282)";"20791 (14075, 27507)";"25%"
"2014-12-04";"43";"26315 (21947, 30684)";"510";"204293 (158881, 249705)";"5129";"59197 (36241,  82153)";"40793 (26506, 55080)";"4245 (2924, 5567)";"11260 (7673, 14847)";"20267 (13811, 26724)";"25%"
"2014-12-03";"42";"25805 (21610, 30000)";"501";"199164 (155700, 242628)";"5002";"57742 (35620,  79864)";"39740 (26010, 53471)";"4161 (2885, 5436)";"10975 (7528, 14423)";"19755 (13550, 25961)";"25%"
"2014-12-02";"41";"25305 (21277, 29332)";"491";"194162 (152575, 235749)";"4879";"56317 (35006,  77627)";"38712 (25520, 51904)";"4078 (2847, 5308)";"10697 (7385, 14010)";"19255 (13293, 25218)";"25%"
"2014-12-01";"40";"24814 (20948, 28679)";"482";"189283 (149503, 229064)";"4757";"54921 (34398,  75444)";"37709 (25038, 50379)";"3996 (2808, 5184)";"10426 (7244, 13608)";"18767 (13040, 24494)";"25%"
"2014-11-30";"39";"24332 (20623, 28041)";"472";"184526 (146484, 222567)";"4639";"53554 (33797,  73312)";"36729 (24561, 48896)";"3916 (2770, 5061)";"10161 (7106, 13216)";"18290 (12791, 23789)";"25%"
"2014-11-29";"38";"23860 (20302, 27418)";"463";"179887 (143519, 216255)";"4523";"52217 (33203,  71232)";"35772 (24092, 47452)";"3837 (2732, 4942)";" 9902 (6969, 12835)";"17824 (12545, 23104)";"25%"
"2014-11-28";"37";"23396 (19984, 26808)";"454";"175364 (140605, 210123)";"4409";"50909 (32615,  69203)";"34839 (23629, 46049)";"3760 (2695, 4825)";" 9650 (6835, 12465)";"17370 (12302, 22437)";"25%"
"2014-11-27";"36";"22942 (19671, 26213)";"446";"170955 (137743, 204166)";"4298";"49629 (32034,  67225)";"33929 (23173, 44684)";"3685 (2658, 4711)";" 9403 (6702, 12104)";"16926 (12064, 21788)";"26%"
"2014-11-26";"35";"22496 (19361, 25632)";"437";"166656 (134932, 198381)";"4190";"48378 (31459,  65297)";"33041 (22723, 43358)";"3610 (2621, 4600)";" 9163 (6572, 11754)";"16493 (11829, 21157)";"26%"
"2014-11-25";"34";"22059 (19055, 25063)";"429";"162466 (132171, 192762)";"4084";"47156 (30892,  63419)";"32175 (22281, 42069)";"3538 (2585, 4491)";" 8928 (6443, 11413)";"16071 (11598, 20544)";"26%"
"2014-11-24";"33";"21631 (18753, 24509)";"420";"158383 (129460, 187305)";"3980";"45961 (30331,  61591)";"31331 (21844, 40818)";"3467 (2548, 4385)";" 8699 (6317, 11082)";"15659 (11370, 19948)";"26%"
"2014-11-23";"32";"21210 (18454, 23966)";"412";"154402 (126798, 182006)";"3879";"44794 (29777,  59810)";"30509 (21415, 39602)";"3397 (2513, 4281)";" 8476 (6192, 10760)";"15257 (11146, 19369)";"26%"
"2014-11-22";"31";"20798 (18160, 23437)";"404";"150523 (124185, 176861)";"3780";"43654 (29231,  58078)";"29707 (20993, 38421)";"3329 (2477, 4180)";" 8259 (6070, 10448)";"14866 (10926, 18806)";"26%"
"2014-11-21";"30";"20394 (17868, 22920)";"396";"146743 (121619, 171866)";"3684";"42542 (28691,  56392)";"28926 (20577, 37275)";"3262 (2442, 4081)";" 8047 (5950, 10144)";"14484 (10709, 18260)";"26%"
"2014-11-20";"29";"19998 (17581, 22415)";"388";"143059 (119101, 167017)";"3590";"41456 (28159,  54752)";"28165 (20168, 36163)";"3196 (2407, 3985)";" 7840 (5831,  9849)";"14113 (10496, 17729)";"27%"
"2014-11-19";"28";"19610 (17297, 21922)";"381";"139469 (116629, 162310)";"3498";"40396 (27634,  53158)";"27424 (19765, 35084)";"3132 (2373, 3891)";" 7639 (5715,  9563)";"13750 (10287, 17214)";"27%"
"2014-11-18";"27";"19229 (17017, 21440)";"374";"135971 (114203, 157740)";"3408";"39362 (27116,  51608)";"26703 (19369, 34036)";"3069 (2339, 3799)";" 7443 (5601,  9285)";"13397 (10081, 16714)";"27%"
"2014-11-17";"26";"18855 (16740, 20970)";"366";"132563 (111821, 153304)";"3321";"38354 (26605,  50102)";"26000 (18980, 33020)";"3008 (2306, 3710)";" 7252 (5488,  9016)";"13054 ( 9879, 16228)";"27%"
"2014-11-16";"25";"18489 (16467, 20511)";"359";"129242 (109485, 148999)";"3236";"37370 (26102,  48638)";"25316 (18598, 32035)";"2947 (2272, 3622)";" 7066 (5378,  8754)";"12719 ( 9680, 15757)";"27%"
"2014-11-15";"24";"18130 (16197, 20062)";"352";"126006 (107192, 144820)";"3153";"36411 (25606,  47216)";"24651 (18222, 31079)";"2888 (2240, 3537)";" 6885 (5270,  8500)";"12393 ( 9485, 15300)";"27%"
"2014-11-14";"23";"17778 (15931, 19624)";"345";"122853 (104942, 140764)";"3072";"35477 (25118,  45835)";"24003 (17853, 30153)";"2831 (2207, 3454)";" 6708 (5163,  8254)";"12075 ( 9294, 14857)";"27%"
"2014-11-13";"22";"17432 (15668, 19197)";"339";"119781 (102735, 136827)";"2993";"34566 (24637,  44494)";"23373 (17491, 29254)";"2774 (2175, 3374)";" 6537 (5059,  8015)";"11766 ( 9106, 14427)";"28%"
"2014-11-12";"21";"17094 (15408, 18779)";"332";"116788 (100570, 133007)";"2916";"33678 (24163,  43192)";"22759 (17135, 28383)";"2719 (2144, 3295)";" 6370 (4956,  7783)";"11465 ( 8921, 14009)";"28%"
"2014-11-11";"20";"16762 (15152, 18372)";"326";"113872 ( 98445, 129299)";"2841";"32813 (23697,  41929)";"22162 (16785, 27539)";"2665 (2113, 3218)";" 6207 (4856,  7558)";"11172 ( 8740, 13605)";"28%"
"2014-11-10";"19";"16436 (14899, 17974)";"319";"111031 ( 96361, 125701)";"2768";"31970 (23238,  40702)";"21582 (16442, 26721)";"2613 (2082, 3143)";" 6049 (4757,  7340)";"10887 ( 8562, 13212)";"28%"
