"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-04-15";"168";"10940";"5470";"5470";"1094";"10940";"22974"
"2015-04-14";"167";"10833";"5416";"5416";"1083";"10833";"22748"
"2015-04-13";"166";"10727";"5364";"5364";"1073";"10727";"22528"
"2015-04-12";"165";"10621";"5310";"5310";"1062";"10621";"22303"
"2015-04-11";"164";"10516";"5258";"5258";"1052";"10516";"22084"
"2015-04-10";"163";"10412";"5206";"5206";"1041";"10412";"21865"
"2015-04-09";"162";"10308";"5154";"5154";"1031";"10308";"21647"
"2015-04-08";"161";"10205";"5102";"5102";"1020";"10205";"21429"
"2015-04-07";"160";"10103";"5052";"5052";"1010";"10103";"21217"
"2015-04-06";"159";"10001";"5000";"5000";"1000";"10001";"21001"
"2015-04-05";"158";"9900";"4950";"4950";"990";"9900";"20790"
"2015-04-04";"157";"9800";"4900";"4900";"980";"9800";"20580"
"2015-04-03";"156";"9700";"4850";"4850";"970";"9700";"20370"
"2015-04-02";"155";"9601";"4800";"4800";"960";"9601";"20161"
"2015-04-01";"154";"9502";"4751";"4751";"950";"9502";"19954"
"2015-03-31";"153";"9404";"4702";"4702";"940";"9404";"19748"
"2015-03-30";"152";"9307";"4654";"4654";"931";"9307";"19546"
"2015-03-29";"151";"9211";"4606";"4606";"921";"9211";"19344"
"2015-03-28";"150";"9115";"4558";"4558";"912";"9115";"19143"
"2015-03-27";"149";"9020";"4510";"4510";"902";"9020";"18942"
"2015-03-26";"148";"8926";"4463";"4463";"893";"8926";"18745"
"2015-03-25";"147";"8832";"4416";"4416";"883";"8832";"18547"
"2015-03-24";"146";"8739";"4370";"4370";"874";"8739";"18353"
"2015-03-23";"145";"8647";"4324";"4324";"865";"8647";"18160"
"2015-03-22";"144";"8555";"4278";"4278";"856";"8555";"17967"
"2015-03-21";"143";"8465";"4232";"4232";"846";"8465";"17775"
"2015-03-20";"142";"8375";"4188";"4188";"838";"8375";"17589"
"2015-03-19";"141";"8285";"4142";"4142";"828";"8285";"17397"
"2015-03-18";"140";"8197";"4098";"4098";"820";"8197";"17213"
"2015-03-17";"139";"8109";"4054";"4054";"811";"8109";"17028"
"2015-03-16";"138";"8021";"4010";"4010";"802";"8021";"16843"
"2015-03-15";"137";"7935";"3967";"3967";"794";"7935";"16663"
"2015-03-14";"136";"7849";"3924";"3924";"785";"7849";"16482"
"2015-03-13";"135";"7764";"3882";"3882";"776";"7764";"16304"
"2015-03-12";"134";"7680";"3840";"3840";"768";"7680";"16128"
"2015-03-11";"133";"7596";"3798";"3798";"760";"7596";"15952"
"2015-03-10";"132";"7513";"3756";"3756";"751";"7513";"15776"
"2015-03-09";"131";"7431";"3716";"3716";"743";"7431";"15606"
"2015-03-08";"130";"7349";"3674";"3674";"735";"7349";"15432"
"2015-03-07";"129";"7269";"3634";"3634";"727";"7269";"15264"
"2015-03-06";"128";"7189";"3594";"3594";"719";"7189";"15096"
"2015-03-05";"127";"7109";"3554";"3554";"711";"7109";"14928"
"2015-03-04";"126";"7031";"3516";"3516";"703";"7031";"14766"
"2015-03-03";"125";"6953";"3476";"3476";"695";"6953";"14600"
"2015-03-02";"124";"6875";"3438";"3438";"688";"6875";"14439"
"2015-03-01";"123";"6799";"3399";"3399";"680";"6799";"14277"
"2015-02-28";"122";"6723";"3362";"3362";"672";"6723";"14119"
"2015-02-27";"121";"6648";"3324";"3324";"665";"6648";"13961"
"2015-02-26";"120";"6574";"3287";"3287";"657";"6574";"13805"
"2015-02-25";"119";"6500";"3250";"3250";"650";"6500";"13650"
"2015-02-24";"118";"6427";"3214";"3214";"643";"6427";"13498"
"2015-02-23";"117";"6355";"3178";"3178";"636";"6355";"13347"
"2015-02-22";"116";"6283";"3142";"3142";"628";"6283";"13195"
