"Date";"Days from today";"PPE (m3)";"PPE (tons)";"Body bags (m3)";"Body bags (tons)";"Chlorine (m3)";"Chlorine (tons)";"Medical supplies (m3)";"Medical supplies (tons)";"Lab supplies (m3)";"Lab supplies (tons)";"Total (m3)";"Total (tons)"
"2015-04-15";"168";"6501.2";"1351.1";"17.5";"1.7";"7";"7";"100.4";"50.2";"10.9";"5.2";"6637";"1415.2"
"2015-04-14";"167";"6523.3";"1355.6";"17.5";"1.8";"7";"7";"100.7";"50.4";"11";"5.3";"6659.5";"1420"
"2015-04-13";"166";"6542.6";"1359.6";"17.6";"1.8";"7";"7";"101";"50.5";"11";"5.3";"6679.2";"1424.2"
"2015-04-12";"165";"6559";"1363.1";"17.6";"1.8";"7";"7";"101.3";"50.6";"11";"5.3";"6695.9";"1427.8"
"2015-04-11";"164";"6572.4";"1365.9";"17.7";"1.8";"7.1";"7.1";"101.5";"50.8";"11";"5.3";"6709.7";"1430.7"
"2015-04-10";"163";"6583";"1368";"17.7";"1.8";"7.1";"7.1";"101.7";"50.8";"11.1";"5.3";"6720.4";"1433"
"2015-04-09";"162";"6590.5";"1369.6";"17.7";"1.8";"7.1";"7.1";"101.8";"50.9";"11.1";"5.3";"6728.1";"1434.7"
"2015-04-08";"161";"6595.1";"1370.6";"17.7";"1.8";"7.1";"7.1";"101.9";"50.9";"11.1";"5.3";"6732.8";"1435.7"
"2015-04-07";"160";"6596.6";"1370.9";"17.7";"1.8";"7.1";"7.1";"101.9";"50.9";"11.1";"5.3";"6734.4";"1436"
"2015-04-06";"159";"6595.1";"1370.6";"17.7";"1.8";"7.1";"7.1";"101.9";"50.9";"11.1";"5.3";"6732.8";"1435.7"
"2015-04-05";"158";"6590.6";"1369.6";"17.7";"1.8";"7.1";"7.1";"101.8";"50.9";"11.1";"5.3";"6728.2";"1434.7"
"2015-04-04";"157";"6583.1";"1368.1";"17.7";"1.8";"7.1";"7.1";"101.7";"50.8";"11.1";"5.3";"6720.5";"1433"
"2015-04-03";"156";"6572.5";"1365.9";"17.7";"1.8";"7.1";"7.1";"101.5";"50.8";"11";"5.3";"6709.7";"1430.7"
"2015-04-02";"155";"6558.9";"1363";"17.6";"1.8";"7";"7";"101.3";"50.6";"11";"5.3";"6695.8";"1427.8"
"2015-04-01";"154";"6542.3";"1359.6";"17.6";"1.8";"7";"7";"101";"50.5";"11";"5.3";"6678.9";"1424.2"
"2015-03-31";"153";"6522.6";"1355.5";"17.5";"1.8";"7";"7";"100.7";"50.4";"10.9";"5.3";"6658.8";"1419.9"
"2015-03-30";"152";"6500.1";"1350.8";"17.5";"1.7";"7";"7";"100.4";"50.2";"10.9";"5.2";"6635.8";"1415"
"2015-03-29";"151";"6474.6";"1345.5";"17.4";"1.7";"7";"7";"100";"50";"10.9";"5.2";"6609.8";"1409.4"
"2015-03-28";"150";"6446.2";"1339.6";"17.3";"1.7";"6.9";"6.9";"99.6";"49.8";"10.8";"5.2";"6580.8";"1403.2"
"2015-03-27";"149";"6414.9";"1333.1";"17.2";"1.7";"6.9";"6.9";"99.1";"49.5";"10.8";"5.2";"6548.9";"1396.4"
"2015-03-26";"148";"6380.9";"1326";"17.1";"1.7";"6.9";"6.9";"98.5";"49.3";"10.7";"5.1";"6514.1";"1389"
"2015-03-25";"147";"6344";"1318.4";"17";"1.7";"6.8";"6.8";"98";"49";"10.6";"5.1";"6476.5";"1381"
"2015-03-24";"146";"6304.5";"1310.2";"16.9";"1.7";"6.8";"6.8";"97.4";"48.7";"10.6";"5.1";"6436.2";"1372.4"
"2015-03-23";"145";"6262.4";"1301.4";"16.8";"1.7";"6.7";"6.7";"96.7";"48.4";"10.5";"5";"6393.1";"1363.2"
"2015-03-22";"144";"6217.6";"1292.1";"16.7";"1.7";"6.7";"6.7";"96";"48";"10.4";"5";"6347.5";"1353.5"
"2015-03-21";"143";"6170.4";"1282.3";"16.6";"1.7";"6.6";"6.6";"95.3";"47.6";"10.4";"5";"6299.2";"1343.2"
"2015-03-20";"142";"6120.7";"1272";"16.4";"1.6";"6.6";"6.6";"94.5";"47.3";"10.3";"4.9";"6248.5";"1332.4"
"2015-03-19";"141";"6068.7";"1261.2";"16.3";"1.6";"6.5";"6.5";"93.7";"46.9";"10.2";"4.9";"6195.4";"1321.1"
"2015-03-18";"140";"6014.3";"1249.9";"16.2";"1.6";"6.5";"6.5";"92.9";"46.4";"10.1";"4.8";"6139.9";"1309.2"
"2015-03-17";"139";"5957.8";"1238.1";"16";"1.6";"6.4";"6.4";"92";"46";"10";"4.8";"6082.2";"1296.9"
"2015-03-16";"138";"5899.2";"1226";"15.8";"1.6";"6.3";"6.3";"91.1";"45.6";"9.9";"4.8";"6022.4";"1284.2"
"2015-03-15";"137";"5838.6";"1213.4";"15.7";"1.6";"6.3";"6.3";"90.2";"45.1";"9.8";"4.7";"5960.5";"1271"
"2015-03-14";"136";"5776";"1200.3";"15.5";"1.6";"6.2";"6.2";"89.2";"44.6";"9.7";"4.7";"5896.6";"1257.4"
"2015-03-13";"135";"5711.6";"1187";"15.3";"1.5";"6.1";"6.1";"88.2";"44.1";"9.6";"4.6";"5830.9";"1243.3"
"2015-03-12";"134";"5645.5";"1173.2";"15.2";"1.5";"6.1";"6.1";"87.2";"43.6";"9.5";"4.5";"5763.4";"1228.9"
"2015-03-11";"133";"5577.7";"1159.1";"15";"1.5";"6";"6";"86.1";"43.1";"9.4";"4.5";"5694.2";"1214.2"
"2015-03-10";"132";"5508.4";"1144.7";"14.8";"1.5";"5.9";"5.9";"85.1";"42.5";"9.2";"4.4";"5623.4";"1199.1"
"2015-03-09";"131";"5437.6";"1130";"14.6";"1.5";"5.8";"5.8";"84";"42";"9.1";"4.4";"5551.2";"1183.7"
"2015-03-08";"130";"5365.5";"1115";"14.4";"1.4";"5.8";"5.8";"82.9";"41.4";"9";"4.3";"5477.6";"1168"
"2015-03-07";"129";"5292.2";"1099.8";"14.2";"1.4";"5.7";"5.7";"81.7";"40.9";"8.9";"4.3";"5402.7";"1152"
"2015-03-06";"128";"5217.7";"1084.3";"14";"1.4";"5.6";"5.6";"80.6";"40.3";"8.8";"4.2";"5326.6";"1135.8"
"2015-03-05";"127";"5142.1";"1068.6";"13.8";"1.4";"5.5";"5.5";"79.4";"39.7";"8.6";"4.1";"5249.5";"1119.4"
"2015-03-04";"126";"5065.6";"1052.7";"13.6";"1.4";"5.4";"5.4";"78.2";"39.1";"8.5";"4.1";"5171.4";"1102.7"
"2015-03-03";"125";"4988.3";"1036.6";"13.4";"1.3";"5.4";"5.4";"77";"38.5";"8.4";"4";"5092.5";"1085.9"
"2015-03-02";"124";"4910.2";"1020.4";"13.2";"1.3";"5.3";"5.3";"75.8";"37.9";"8.2";"4";"5012.7";"1068.9"
"2015-03-01";"123";"4831.5";"1004.1";"13";"1.3";"5.2";"5.2";"74.6";"37.3";"8.1";"3.9";"4932.4";"1051.7"
"2015-02-28";"122";"4752.2";"987.6";"12.8";"1.3";"5.1";"5.1";"73.4";"36.7";"8";"3.8";"4851.4";"1034.5"
"2015-02-27";"121";"4672.4";"971";"12.5";"1.3";"5";"5";"72.2";"36.1";"7.8";"3.8";"4770";"1017.1"
"2015-02-26";"120";"4592.3";"954.3";"12.3";"1.2";"4.9";"4.9";"70.9";"35.5";"7.7";"3.7";"4688.2";"999.7"
"2015-02-25";"119";"4511.9";"937.6";"12.1";"1.2";"4.8";"4.8";"69.7";"34.8";"7.6";"3.6";"4606.1";"982.2"
"2015-02-24";"118";"4431.3";"920.9";"11.9";"1.2";"4.8";"4.8";"68.4";"34.2";"7.4";"3.6";"4523.8";"964.6"
"2015-02-23";"117";"4350.5";"904.1";"11.7";"1.2";"4.7";"4.7";"67.2";"33.6";"7.3";"3.5";"4441.4";"947.1"
"2015-02-22";"116";"4269.8";"887.3";"11.5";"1.1";"4.6";"4.6";"65.9";"33";"7.2";"3.4";"4359";"929.5"
"2015-02-21";"115";"4189.1";"870.6";"11.3";"1.1";"4.5";"4.5";"64.7";"32.3";"7";"3.4";"4276.6";"911.9"
"2015-02-20";"114";"4108.6";"853.8";"11";"1.1";"4.4";"4.4";"63.5";"31.7";"6.9";"3.3";"4194.4";"894.4"
"2015-02-19";"113";"4028.2";"837.1";"10.8";"1.1";"4.3";"4.3";"62.2";"31.1";"6.8";"3.2";"4112.3";"876.9"
"2015-02-18";"112";"3948.1";"820.5";"10.6";"1.1";"4.2";"4.2";"61";"30.5";"6.6";"3.2";"4030.6";"859.5"
"2015-02-17";"111";"3868.4";"803.9";"10.4";"1";"4.2";"4.2";"59.7";"29.9";"6.5";"3.1";"3949.1";"842.1"
"2015-02-16";"110";"3789";"787.4";"10.2";"1";"4.1";"4.1";"58.5";"29.3";"6.4";"3.1";"3868.2";"824.8"
"2015-02-15";"109";"3710.2";"771";"10";"1";"4";"4";"57.3";"28.6";"6.2";"3";"3787.7";"807.7"
"2015-02-14";"108";"3631.9";"754.8";"9.8";"1";"3.9";"3.9";"56.1";"28";"6.1";"2.9";"3707.7";"790.6"
"2015-02-13";"107";"3554.2";"738.6";"9.5";"1";"3.8";"3.8";"54.9";"27.4";"6";"2.9";"3628.4";"773.7"
"2015-02-12";"106";"3477.1";"722.6";"9.3";"0.9";"3.7";"3.7";"53.7";"26.8";"5.8";"2.8";"3549.7";"756.9"
