"Date";"Days from today";"PPE (m3)";"PPE (tons)";"Body bags (m3)";"Body bags (tons)";"Chlorine (m3)";"Chlorine (tons)";"Medical supplies (m3)";"Medical supplies (tons)";"Lab supplies (m3)";"Lab supplies (tons)";"Total (m3)";"Total (tons)"
"2015-04-15";"168";"12256.5";"2547.1";"32.9";"3.3";"13.2";"13.2";"189.3";"94.6";"20.6";"9.9";"12512.5";"2668.1"
"2015-04-14";"167";"12258.1";"2547.4";"32.9";"3.3";"13.2";"13.2";"189.3";"94.7";"20.6";"9.9";"12514.1";"2668.4"
"2015-04-13";"166";"12255.2";"2546.8";"32.9";"3.3";"13.2";"13.2";"189.3";"94.6";"20.6";"9.9";"12511.1";"2667.8"
"2015-04-12";"165";"12247.8";"2545.3";"32.9";"3.3";"13.2";"13.2";"189.1";"94.6";"20.6";"9.9";"12503.5";"2666.2"
"2015-04-11";"164";"12235.8";"2542.8";"32.9";"3.3";"13.1";"13.1";"189";"94.5";"20.5";"9.9";"12491.3";"2663.6"
"2015-04-10";"163";"12219.3";"2539.4";"32.8";"3.3";"13.1";"13.1";"188.7";"94.4";"20.5";"9.8";"12474.5";"2660"
"2015-04-09";"162";"12198.2";"2535";"32.8";"3.3";"13.1";"13.1";"188.4";"94.2";"20.5";"9.8";"12452.9";"2655.4"
"2015-04-08";"161";"12172.5";"2529.6";"32.7";"3.3";"13.1";"13.1";"188";"94";"20.4";"9.8";"12426.6";"2649.8"
"2015-04-07";"160";"12142.1";"2523.3";"32.6";"3.3";"13";"13";"187.5";"93.8";"20.4";"9.8";"12395.6";"2643.2"
"2015-04-06";"159";"12107.1";"2516";"32.5";"3.3";"13";"13";"187";"93.5";"20.3";"9.8";"12359.9";"2635.5"
"2015-04-05";"158";"12067.4";"2507.8";"32.4";"3.2";"13";"13";"186.4";"93.2";"20.3";"9.7";"12319.4";"2626.9"
"2015-04-04";"157";"12023.1";"2498.6";"32.3";"3.2";"12.9";"12.9";"185.7";"92.8";"20.2";"9.7";"12274.2";"2617.3"
"2015-04-03";"156";"11974.2";"2488.4";"32.2";"3.2";"12.9";"12.9";"184.9";"92.5";"20.1";"9.6";"12224.2";"2606.6"
"2015-04-02";"155";"11920.7";"2477.3";"32";"3.2";"12.8";"12.8";"184.1";"92";"20";"9.6";"12169.6";"2595"
"2015-04-01";"154";"11862.6";"2465.2";"31.9";"3.2";"12.7";"12.7";"183.2";"91.6";"19.9";"9.6";"12110.3";"2582.3"
"2015-03-31";"153";"11800";"2452.2";"31.7";"3.2";"12.7";"12.7";"182.2";"91.1";"19.8";"9.5";"12046.4";"2568.7"
"2015-03-30";"152";"11733";"2438.3";"31.5";"3.2";"12.6";"12.6";"181.2";"90.6";"19.7";"9.5";"11978";"2554.1"
"2015-03-29";"151";"11661.5";"2423.4";"31.3";"3.1";"12.5";"12.5";"180.1";"90";"19.6";"9.4";"11905";"2538.5"
"2015-03-28";"150";"11585.7";"2407.7";"31.1";"3.1";"12.4";"12.4";"178.9";"89.5";"19.4";"9.3";"11827.7";"2522"
"2015-03-27";"149";"11505.6";"2391";"30.9";"3.1";"12.4";"12.4";"177.7";"88.8";"19.3";"9.3";"11745.9";"2504.6"
"2015-03-26";"148";"11421.3";"2373.5";"30.7";"3.1";"12.3";"12.3";"176.4";"88.2";"19.2";"9.2";"11659.8";"2486.3"
"2015-03-25";"147";"11332.9";"2355.2";"30.4";"3";"12.2";"12.2";"175";"87.5";"19";"9.1";"11569.6";"2467"
"2015-03-24";"146";"11240.5";"2336";"30.2";"3";"12.1";"12.1";"173.6";"86.8";"18.9";"9.1";"11475.3";"2446.9"
"2015-03-23";"145";"11144.2";"2315.9";"29.9";"3";"12";"12";"172.1";"86.1";"18.7";"9";"11376.9";"2425.9"
"2015-03-22";"144";"11044.1";"2295.1";"29.7";"3";"11.9";"11.9";"170.6";"85.3";"18.5";"8.9";"11274.7";"2404.2"
"2015-03-21";"143";"10940.3";"2273.6";"29.4";"2.9";"11.8";"11.8";"169";"84.5";"18.4";"8.8";"11168.8";"2381.6"
"2015-03-20";"142";"10832.9";"2251.3";"29.1";"2.9";"11.6";"11.6";"167.3";"83.6";"18.2";"8.7";"11059.1";"2358.2"
"2015-03-19";"141";"10722.1";"2228.2";"28.8";"2.9";"11.5";"11.5";"165.6";"82.8";"18";"8.6";"10946";"2334.1"
"2015-03-18";"140";"10608";"2204.5";"28.5";"2.8";"11.4";"11.4";"163.8";"81.9";"17.8";"8.5";"10829.5";"2309.2"
"2015-03-17";"139";"10490.7";"2180.1";"28.2";"2.8";"11.3";"11.3";"162";"81";"17.6";"8.5";"10709.8";"2283.7"
"2015-03-16";"138";"10370.4";"2155.1";"27.9";"2.8";"11.1";"11.1";"160.2";"80.1";"17.4";"8.4";"10587";"2257.5"
"2015-03-15";"137";"10247.2";"2129.5";"27.5";"2.8";"11";"11";"158.3";"79.1";"17.2";"8.3";"10461.2";"2230.7"
"2015-03-14";"136";"10121.3";"2103.4";"27.2";"2.7";"10.9";"10.9";"156.3";"78.2";"17";"8.2";"10332.6";"2203.3"
"2015-03-13";"135";"9992.8";"2076.7";"26.8";"2.7";"10.7";"10.7";"154.3";"77.2";"16.8";"8.1";"10201.4";"2175.3"
"2015-03-12";"134";"9861.8";"2049.4";"26.5";"2.6";"10.6";"10.6";"152.3";"76.2";"16.6";"7.9";"10067.8";"2146.8"
"2015-03-11";"133";"9728.6";"2021.8";"26.1";"2.6";"10.5";"10.5";"150.2";"75.1";"16.3";"7.8";"9931.8";"2117.8"
"2015-03-10";"132";"9593.3";"1993.6";"25.8";"2.6";"10.3";"10.3";"148.2";"74.1";"16.1";"7.7";"9793.6";"2088.3"
"2015-03-09";"131";"9456.1";"1965.1";"25.4";"2.5";"10.2";"10.2";"146";"73";"15.9";"7.6";"9653.6";"2058.5"
"2015-03-08";"130";"9317.1";"1936.2";"25";"2.5";"10";"10";"143.9";"71.9";"15.6";"7.5";"9511.6";"2028.2"
"2015-03-07";"129";"9176.5";"1907";"24.6";"2.5";"9.9";"9.9";"141.7";"70.9";"15.4";"7.4";"9368.1";"1997.6"
"2015-03-06";"128";"9034.4";"1877.5";"24.3";"2.4";"9.7";"9.7";"139.5";"69.8";"15.2";"7.3";"9223.1";"1966.7"
"2015-03-05";"127";"8891.1";"1847.7";"23.9";"2.4";"9.6";"9.6";"137.3";"68.7";"14.9";"7.2";"9076.7";"1935.5"
"2015-03-04";"126";"8746.6";"1817.7";"23.5";"2.3";"9.4";"9.4";"135.1";"67.5";"14.7";"7";"8929.2";"1904"
"2015-03-03";"125";"8601.2";"1787.5";"23.1";"2.3";"9.2";"9.2";"132.8";"66.4";"14.4";"6.9";"8780.8";"1872.4"
"2015-03-02";"124";"8455";"1757.1";"22.7";"2.3";"9.1";"9.1";"130.6";"65.3";"14.2";"6.8";"8631.5";"1840.5"
"2015-03-01";"123";"8308.1";"1726.6";"22.3";"2.2";"8.9";"8.9";"128.3";"64.2";"13.9";"6.7";"8481.6";"1808.6"
"2015-02-28";"122";"8160.8";"1695.9";"21.9";"2.2";"8.8";"8.8";"126";"63";"13.7";"6.6";"8331.2";"1776.5"
"2015-02-27";"121";"8013.2";"1665.3";"21.5";"2.2";"8.6";"8.6";"123.8";"61.9";"13.5";"6.5";"8180.5";"1744.4"
"2015-02-26";"120";"7865.4";"1634.5";"21.1";"2.1";"8.4";"8.4";"121.5";"60.7";"13.2";"6.3";"8029.6";"1712.2"
"2015-02-25";"119";"7717.5";"1603.8";"20.7";"2.1";"8.3";"8.3";"119.2";"59.6";"13";"6.2";"7878.7";"1680"
"2015-02-24";"118";"7569.8";"1573.1";"20.3";"2";"8.1";"8.1";"116.9";"58.5";"12.7";"6.1";"7727.9";"1647.8"
"2015-02-23";"117";"7422.4";"1542.5";"19.9";"2";"8";"8";"114.6";"57.3";"12.5";"6";"7577.4";"1615.7"
