"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-04-28";"168";"6512 (-8847, 21871)";"3256 (-4423, 10935)";"3256 (-4423, 10935)";"651 (-885, 2187)";"6512 (-8847, 21871)";"13675 (-5198, 32548)"
"2015-04-27";"167";"6397 (-8638, 21432)";"3198 (-4320, 10716)";"3198 (-4320, 10716)";"640 (-864, 2144)";"6397 (-8638, 21432)";"13433 (-5043, 31909)"
"2015-04-26";"166";"6285 (-8432, 21002)";"3142 (-4217, 10501)";"3142 (-4217, 10501)";"628 (-844, 2100)";"6285 (-8432, 21002)";"13197 (-4888, 31282)"
"2015-04-25";"165";"6174 (-8230, 20578)";"3087 (-4115, 10289)";"3087 (-4115, 10289)";"617 (-823, 2057)";"6174 (-8230, 20578)";"12965 (-4735, 30665)"
"2015-04-24";"164";"6065 (-8032, 20162)";"3032 (-4017, 10081)";"3032 (-4017, 10081)";"606 (-804, 2016)";"6065 (-8032, 20162)";"12735 (-4588, 30058)"
"2015-04-23";"163";"5958 (-7837, 19753)";"2979 (-3918,  9876)";"2979 (-3918,  9876)";"596 (-783, 1975)";"5958 (-7837, 19753)";"12512 (-4439, 29463)"
"2015-04-22";"162";"5853 (-7645, 19351)";"2926 (-3823,  9675)";"2926 (-3823,  9675)";"585 (-765, 1935)";"5853 (-7645, 19351)";"12290 (-4297, 28877)"
"2015-04-21";"161";"5749 (-7457, 18955)";"2874 (-3729,  9477)";"2874 (-3729,  9477)";"575 (-746, 1896)";"5749 (-7457, 18955)";"12072 (-4156, 28300)"
"2015-04-20";"160";"5647 (-7273, 18567)";"2824 (-3636,  9284)";"2824 (-3636,  9284)";"565 (-727, 1857)";"5647 (-7273, 18567)";"11860 (-4016, 27736)"
"2015-04-19";"159";"5547 (-7091, 18185)";"2774 (-3545,  9093)";"2774 (-3545,  9093)";"555 (-709, 1819)";"5547 (-7091, 18185)";"11650 (-3880, 27180)"
"2015-04-18";"158";"5449 (-6913, 17811)";"2724 (-3457,  8905)";"2724 (-3457,  8905)";"545 (-691, 1781)";"5449 (-6913, 17811)";"11442 (-3749, 26633)"
"2015-04-17";"157";"5352 (-6739, 17443)";"2676 (-3369,  8721)";"2676 (-3369,  8721)";"535 (-674, 1744)";"5352 (-6739, 17443)";"11239 (-3618, 26096)"
"2015-04-16";"156";"5257 (-6567, 17081)";"2628 (-3284,  8540)";"2628 (-3284,  8540)";"526 (-656, 1708)";"5257 (-6567, 17081)";"11039 (-3491, 25569)"
"2015-04-15";"155";"5164 (-6399, 16727)";"2582 (-3199,  8363)";"2582 (-3199,  8363)";"516 (-640, 1672)";"5164 (-6399, 16727)";"10844 (-3365, 25053)"
"2015-04-14";"154";"5072 (-6234, 16378)";"2536 (-3117,  8189)";"2536 (-3117,  8189)";"507 (-624, 1638)";"5072 (-6234, 16378)";"10651 (-3243, 24545)"
"2015-04-13";"153";"4981 (-6074, 16036)";"2490 (-3037,  8017)";"2490 (-3037,  8017)";"498 (-607, 1603)";"4981 (-6074, 16036)";"10459 (-3125, 24043)"
"2015-04-12";"152";"4893 (-5915, 15701)";"2446 (-2958,  7850)";"2446 (-2958,  7850)";"489 (-592, 1570)";"4893 (-5915, 15701)";"10274 (-3007, 23555)"
"2015-04-11";"151";"4806 (-5760, 15372)";"2403 (-2880,  7686)";"2403 (-2880,  7686)";"481 (-576, 1538)";"4806 (-5760, 15372)";"10093 (-2891, 23077)"
"2015-04-10";"150";"4720 (-5609, 15049)";"2360 (-2804,  7524)";"2360 (-2804,  7524)";"472 (-561, 1505)";"4720 (-5609, 15049)";" 9912 (-2780, 22604)"
"2015-04-09";"149";"4636 (-5460, 14732)";"2318 (-2730,  7366)";"2318 (-2730,  7366)";"464 (-546, 1474)";"4636 (-5460, 14732)";" 9736 (-2670, 22142)"
"2015-04-08";"148";"4553 (-5315, 14421)";"2276 (-2658,  7210)";"2276 (-2658,  7210)";"455 (-532, 1442)";"4553 (-5315, 14421)";" 9560 (-2565, 21685)"
"2015-04-07";"147";"4472 (-5172, 14116)";"2236 (-2586,  7058)";"2236 (-2586,  7058)";"447 (-517, 1411)";"4472 (-5172, 14116)";" 9391 (-2460, 21242)"
"2015-04-06";"146";"4392 (-5033, 13817)";"2196 (-2516,  6908)";"2196 (-2516,  6908)";"439 (-503, 1381)";"4392 (-5033, 13817)";" 9223 (-2358, 20804)"
"2015-04-05";"145";"4314 (-4896, 13524)";"2157 (-2448,  6762)";"2157 (-2448,  6762)";"431 (-490, 1352)";"4314 (-4896, 13524)";" 9059 (-2258, 20376)"
"2015-04-04";"144";"4237 (-4762, 13236)";"2118 (-2382,  6618)";"2118 (-2382,  6618)";"424 (-476, 1324)";"4237 (-4762, 13236)";" 8897 (-2162, 19956)"
"2015-04-03";"143";"4161 (-4632, 12954)";"2080 (-2317,  6477)";"2080 (-2317,  6477)";"416 (-463, 1295)";"4161 (-4632, 12954)";" 8737 (-2068, 19542)"
"2015-04-02";"142";"4087 (-4504, 12678)";"2043 (-2253,  6339)";"2043 (-2253,  6339)";"409 (-450, 1268)";"4087 (-4504, 12678)";" 8582 (-1975, 19139)"
"2015-04-01";"141";"4014 (-4379, 12407)";"2007 (-2190,  6204)";"2007 (-2190,  6204)";"401 (-438, 1240)";"4014 (-4379, 12407)";" 8429 (-1885, 18743)"
"2015-03-31";"140";"3942 (-4258, 12142)";"1971 (-2129,  6071)";"1971 (-2129,  6071)";"394 (-426, 1214)";"3942 (-4258, 12142)";" 8278 (-1798, 18354)"
"2015-03-30";"139";"3872 (-4138, 11882)";"1936 (-2069,  5941)";"1936 (-2069,  5941)";"387 (-414, 1188)";"3872 (-4138, 11882)";" 8131 (-1712, 17974)"
