"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-04-28";"168";"18233 (-13392, 49858)";"20 (-15, 55)";"41 (-30, 112)";"10 (-7, 27)";"23 (-17, 63)";"30 (-22, 82)";"61 (-45, 167)";"30 (-22, 82)";"81 (-60, 222)";"30 (-22, 82)";"162 (-119, 443)";"46 (-35, 127)";"20 (-15, 55)";"26 (-18, 70)";"580 (211, 949)"
"2015-04-27";"167";"17913 (-13046, 48872)";"20 (-14, 54)";"40 (-30, 110)";"10 (-7, 27)";"22 (-17, 61)";"30 (-21, 81)";"60 (-44, 164)";"30 (-21, 81)";"80 (-58, 218)";"30 (-21, 81)";"159 (-117, 435)";"46 (-33, 125)";"20 (-14, 54)";"25 (-18, 68)";"572 (211, 933)"
"2015-04-26";"166";"17597 (-12707, 47901)";"19 (-14, 52)";"40 (-28, 108)";"10 (-7, 27)";"22 (-16, 60)";"29 (-21, 79)";"59 (-43, 161)";"29 (-21, 79)";"78 (-57, 213)";"29 (-21, 79)";"157 (-113, 427)";"45 (-32, 122)";"19 (-14, 52)";"25 (-17, 67)";"561 (207, 915)"
"2015-04-25";"165";"17287 (-12374, 46948)";"19 (-14, 52)";"39 (-28, 106)";"10 (-6, 26)";"22 (-15, 59)";"29 (-20, 78)";"58 (-41, 157)";"29 (-20, 78)";"77 (-55, 209)";"29 (-20, 78)";"154 (-110, 418)";"44 (-32, 120)";"19 (-14, 52)";"24 (-18, 66)";"553 (207, 899)"
"2015-04-24";"164";"16982 (-12046, 46010)";"19 (-13, 51)";"38 (-27, 103)";" 9 (-7, 25)";"21 (-15, 57)";"28 (-20, 76)";"57 (-40, 154)";"28 (-20, 76)";"76 (-53, 205)";"28 (-20, 76)";"151 (-107, 409)";"43 (-31, 117)";"19 (-13, 51)";"24 (-17, 65)";"541 (202, 880)"
"2015-04-23";"163";"16682 (-11723, 45087)";"18 (-13, 49)";"38 (-26, 102)";" 9 (-7, 25)";"21 (-15, 57)";"28 (-19, 75)";"56 (-39, 151)";"28 (-19, 75)";"74 (-52, 200)";"28 (-19, 75)";"148 (-105, 401)";"43 (-29, 115)";"18 (-13, 49)";"23 (-17, 63)";"532 (200, 864)"
"2015-04-22";"162";"16387 (-11407, 44181)";"18 (-13, 49)";"37 (-26, 100)";" 9 (-6, 24)";"20 (-15, 55)";"27 (-19, 73)";"55 (-38, 148)";"27 (-19, 73)";"73 (-51, 197)";"27 (-19, 73)";"146 (-101, 393)";"42 (-29, 113)";"18 (-13, 49)";"23 (-16, 62)";"522 (198, 846)"
"2015-04-21";"161";"16097 (-11096, 43290)";"18 (-12, 48)";"36 (-25,  97)";" 9 (-6, 24)";"20 (-14, 54)";"27 (-18, 72)";"54 (-37, 145)";"27 (-18, 72)";"72 (-49, 193)";"27 (-18, 72)";"143 ( -99, 385)";"41 (-28, 110)";"18 (-12, 48)";"23 (-15, 61)";"515 (198, 832)"
"2015-04-20";"160";"15812 (-10791, 42415)";"17 (-12, 46)";"36 (-24,  96)";" 9 (-6, 24)";"20 (-13, 53)";"26 (-18, 70)";"53 (-36, 142)";"26 (-18, 70)";"70 (-48, 188)";"26 (-18, 70)";"141 ( -96, 378)";"40 (-28, 108)";"17 (-12, 46)";"22 (-15, 59)";"503 (193, 813)"
"2015-04-19";"159";"15532 (-10492, 41556)";"17 (-12, 46)";"35 (-24,  94)";" 9 (-5, 23)";"19 (-14, 52)";"26 (-17, 69)";"52 (-35, 139)";"26 (-17, 69)";"69 (-47, 185)";"26 (-17, 69)";"138 ( -94, 370)";"40 (-26, 106)";"17 (-12, 46)";"22 (-14, 58)";"496 (192, 800)"
