"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-04-28";"168";"20773 (8344, 33202)";"23 (9, 37)";"47 (19, 75)";"11 (4, 18)";"26 (10, 42)";"34 (13, 55)";"70 (28, 112)";"34 (13, 55)";"92 (37, 147)";"34 (13, 55)";"185 (74, 296)";"53 (21, 85)";"23 (9, 37)";"29 (12, 46)";"661 (516, 806)"
"2015-04-27";"167";"20598 (8303, 32893)";"23 (9, 37)";"46 (18, 74)";"11 (4, 18)";"26 (11, 41)";"34 (14, 54)";"69 (28, 110)";"34 (14, 54)";"92 (37, 147)";"34 (14, 54)";"183 (74, 292)";"53 (22, 84)";"23 (9, 37)";"29 (12, 46)";"657 (514, 800)"
"2015-04-26";"166";"20424 (8263, 32585)";"22 (9, 35)";"46 (19, 73)";"11 (4, 18)";"26 (11, 41)";"34 (14, 54)";"68 (27, 109)";"34 (14, 54)";"91 (37, 145)";"34 (14, 54)";"182 (74, 290)";"52 (21, 83)";"22 (9, 35)";"29 (12, 46)";"651 (509, 793)"
"2015-04-25";"165";"20251 (8224, 32278)";"22 (9, 35)";"46 (19, 73)";"11 (4, 18)";"25 (10, 40)";"33 (13, 53)";"68 (28, 108)";"33 (13, 53)";"90 (36, 144)";"33 (13, 53)";"180 (73, 287)";"52 (21, 83)";"22 (9, 35)";"28 (11, 45)";"643 (503, 783)"
"2015-04-24";"164";"20080 (8186, 31974)";"22 (9, 35)";"45 (18, 72)";"11 (4, 18)";"25 (10, 40)";"33 (13, 53)";"67 (27, 107)";"33 (13, 53)";"89 (36, 142)";"33 (13, 53)";"179 (73, 285)";"51 (21, 81)";"22 (9, 35)";"28 (11, 45)";"638 (499, 777)"
"2015-04-23";"163";"19908 (8146, 31670)";"22 (9, 35)";"45 (19, 71)";"11 (5, 17)";"25 (10, 40)";"33 (14, 52)";"67 (28, 106)";"33 (14, 52)";"89 (37, 141)";"33 (14, 52)";"177 (72, 282)";"51 (21, 81)";"22 (9, 35)";"28 (12, 44)";"636 (499, 773)"
"2015-04-22";"162";"19738 (8108, 31368)";"22 (9, 35)";"44 (18, 70)";"11 (5, 17)";"25 (10, 40)";"33 (14, 52)";"66 (27, 105)";"33 (14, 52)";"88 (36, 140)";"33 (14, 52)";"176 (72, 280)";"50 (20, 80)";"22 (9, 35)";"28 (12, 44)";"631 (495, 767)"
"2015-04-21";"161";"19569 (8070, 31068)";"22 (9, 35)";"44 (18, 70)";"11 (5, 17)";"24 (10, 38)";"32 (13, 51)";"66 (27, 105)";"32 (13, 51)";"87 (36, 138)";"32 (13, 51)";"174 (72, 276)";"50 (21, 79)";"22 (9, 35)";"27 (11, 43)";"623 (489, 757)"
"2015-04-20";"160";"19401 (8033, 30769)";"21 (8, 34)";"44 (18, 70)";"11 (5, 17)";"24 (10, 38)";"32 (13, 51)";"65 (27, 103)";"32 (13, 51)";"86 (35, 137)";"32 (13, 51)";"173 (72, 274)";"49 (20, 78)";"21 (8, 34)";"27 (11, 43)";"617 (484, 750)"
"2015-04-19";"159";"19234 (7996, 30472)";"21 (9, 33)";"43 (18, 68)";"11 (5, 17)";"24 (10, 38)";"32 (13, 51)";"64 (26, 102)";"32 (13, 51)";"86 (36, 136)";"32 (13, 51)";"171 (71, 271)";"49 (20, 78)";"21 (9, 33)";"27 (11, 43)";"613 (482, 744)"
