"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-04-28";"168";"483969 (266234, 701704)";"7995 (4931, 11058)";"2467385 (1385374, 3549396)";"38395 (24894, 51897)";"439220 (285523, 592918)";"317211 (196363, 438058)";"65070 (38021, 92119)";"95570 (64611, 126530)";"172026 (116299, 227753)";"40%"
"2015-04-27";"167";"475974 (261126, 690821)";"7922 (4850, 10993)";"2428990 (1358985, 3498994)";"38124 (24581, 51668)";"436178 (282020, 590335)";"314344 (193175, 435514)";"64356 (37301, 91411)";"94675 (63637, 125713)";"170415 (114547, 226284)";"40%"
"2015-04-26";"166";"468052 (256114, 679990)";"7847 (4768, 10926)";"2390865 (1333017, 3448714)";"37845 (24257, 51432)";"433038 (278391, 587686)";"311424 (189952, 432895)";"63635 (36583, 90687)";"93765 (62653, 124877)";"168776 (112775, 224778)";"40%"
"2015-04-25";"165";"460205 (251196, 669214)";"7771 (4685, 10857)";"2353021 (1307473, 3398568)";"37557 (23924, 51190)";"429805 (274644, 584967)";"308451 (186700, 430202)";"62907 (35868, 89945)";"92839 (61660, 124019)";"167111 (110988, 223234)";"40%"
"2015-04-24";"164";"452434 (246372, 658496)";"7694 (4602, 10786)";"2315464 (1282357, 3348570)";"37261 (23581, 50942)";"426480 (270790, 582171)";"305429 (183426, 427432)";"62172 (35157, 89187)";"91900 (60661, 123140)";"165420 (109189, 221652)";"40%"
"2015-04-23";"163";"444740 (241643, 647837)";"7616 (4519, 10712)";"2278202 (1257672, 3298732)";"36958 (23231, 50686)";"423067 (266841, 579294)";"302359 (180135, 424583)";"61432 (34451, 88412)";"90948 (59656, 122239)";"163706 (107381, 220031)";"40%"
"2015-04-22";"162";"437125 (237007, 637242)";"7536 (4435, 10637)";"2241244 (1233421, 3249067)";"36648 (22874, 50422)";"419568 (262805, 576331)";"299245 (176834, 421655)";"60686 (33751, 87621)";"89983 (58648, 121317)";"161969 (105566, 218371)";"40%"
"2015-04-21";"161";"429588 (232464, 626712)";"7456 (4352, 10560)";"2204596 (1209604, 3199588)";"36330 (22510, 50150)";"415987 (258695, 573279)";"296088 (173529, 418647)";"59935 (33057, 86814)";"89006 (57638, 120374)";"160211 (103748, 216673)";"40%"
"2015-04-20";"160";"422132 (228014, 616251)";"7374 (4268, 10481)";"2168266 (1186223, 3150309)";"36006 (22141, 49870)";"412326 (254518, 570133)";"292892 (170225, 415558)";"59180 (32370, 85991)";"88018 (56627, 119409)";"158432 (101929, 214936)";"40%"
"2015-04-19";"159";"414758 (223655, 605861)";"7292 (4185, 10400)";"2132260 (1163279, 3101242)";"35674 (21768, 49581)";"408588 (250287, 566890)";"289658 (166928, 412389)";"58422 (31691, 85153)";"87020 (55618, 118422)";"156636 (100113, 213160)";"40%"
"2015-04-18";"158";"407466 (219387, 595545)";"7209 (4102, 10316)";"2096586 (1140770, 3052402)";"35337 (21391, 49283)";"404777 (246008, 563546)";"286390 (163642, 409139)";"57660 (31020, 84299)";"86013 (54611, 117414)";"154823 ( 98300, 211345)";"40%"
"2015-04-17";"157";"400257 (215209, 585305)";"7125 (4019, 10231)";"2061249 (1118698, 3003800)";"34994 (21011, 48976)";"400897 (241694, 560100)";"283090 (160372, 405808)";"56895 (30359, 83431)";"84996 (53608, 116385)";"152993 ( 96494, 209493)";"40%"
"2015-04-16";"156";"393132 (211120, 575144)";"7040 (3937, 10144)";"2026255 (1097060, 2955451)";"34645 (20629, 48660)";"396949 (237351, 556548)";"279760 (157122, 402398)";"56128 (29707, 82550)";"83972 (52609, 115335)";"151150 ( 94696, 207603)";"40%"
