"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-04-29";"168";"79742 (12169, 147315)";"39871 (6085, 73657)";"39871 (6085, 73657)";"7974 (1217, 14731)";"79742 (12169, 147315)";"167458 (84423, 250493)"
"2015-04-28";"167";"79006 (11692, 146320)";"39503 (5846, 73160)";"39503 (5846, 73160)";"7901 (1170, 14632)";"79006 (11692, 146320)";"165913 (83196, 248630)"
"2015-04-27";"166";"78260 (11219, 145301)";"39130 (5610, 72650)";"39130 (5610, 72650)";"7826 (1122, 14530)";"78260 (11219, 145301)";"164346 (81965, 246727)"
"2015-04-26";"165";"77505 (10752, 144258)";"38752 (5375, 72129)";"38752 (5375, 72129)";"7750 (1075, 14425)";"77505 (10752, 144258)";"162759 (80731, 244787)"
"2015-04-25";"164";"76741 (10291, 143191)";"38370 (5145, 71595)";"38370 (5145, 71595)";"7674 (1029, 14319)";"76741 (10291, 143191)";"161155 (79500, 242810)"
"2015-04-24";"163";"75968 ( 9836, 142100)";"37984 (4918, 71050)";"37984 (4918, 71050)";"7597 ( 984, 14210)";"75968 ( 9836, 142100)";"159533 (78269, 240797)"
"2015-04-23";"162";"75187 ( 9390, 140984)";"37594 (4695, 70493)";"37594 (4695, 70493)";"7519 ( 939, 14099)";"75187 ( 9390, 140984)";"157894 (77041, 238747)"
"2015-04-22";"161";"74399 ( 8953, 139845)";"37200 (4477, 69923)";"37200 (4477, 69923)";"7440 ( 895, 13985)";"74399 ( 8953, 139845)";"156239 (75817, 236661)"
"2015-04-21";"160";"73603 ( 8524, 138682)";"36802 (4263, 69341)";"36802 (4263, 69341)";"7360 ( 852, 13868)";"73603 ( 8524, 138682)";"154567 (74597, 234537)"
"2015-04-20";"159";"72799 ( 8105, 137493)";"36400 (4053, 68747)";"36400 (4053, 68747)";"7280 ( 811, 13749)";"72799 ( 8105, 137493)";"152879 (73382, 232376)"
"2015-04-19";"158";"71990 ( 7697, 136283)";"35995 (3849, 68141)";"35995 (3849, 68141)";"7199 ( 770, 13628)";"71990 ( 7697, 136283)";"151179 (72175, 230183)"
"2015-04-18";"157";"71173 ( 7299, 135047)";"35586 (3649, 67523)";"35586 (3649, 67523)";"7117 ( 730, 13504)";"71173 ( 7299, 135047)";"149462 (70973, 227951)"
"2015-04-17";"156";"70352 ( 6914, 133790)";"35176 (3457, 66895)";"35176 (3457, 66895)";"7035 ( 691, 13379)";"70352 ( 6914, 133790)";"147739 (69785, 225693)"
"2015-04-16";"155";"69525 ( 6540, 132510)";"34762 (3270, 66254)";"34762 (3270, 66254)";"6952 ( 654, 13250)";"69525 ( 6540, 132510)";"146001 (68604, 223398)"
"2015-04-15";"154";"68693 ( 6179, 131207)";"34346 (3089, 65603)";"34346 (3089, 65603)";"6869 ( 618, 13120)";"68693 ( 6179, 131207)";"144254 (67435, 221073)"
"2015-04-14";"153";"67856 ( 5830, 129882)";"33928 (2915, 64941)";"33928 (2915, 64941)";"6786 ( 583, 12989)";"67856 ( 5830, 129882)";"142498 (66279, 218717)"
"2015-04-13";"152";"67016 ( 5495, 128537)";"33508 (2747, 64269)";"33508 (2747, 64269)";"6702 ( 550, 12854)";"67016 ( 5495, 128537)";"140734 (65135, 216333)"
"2015-04-12";"151";"66172 ( 5172, 127172)";"33086 (2586, 63586)";"33086 (2586, 63586)";"6617 ( 517, 12717)";"66172 ( 5172, 127172)";"138961 (64003, 213919)"
"2015-04-11";"150";"65325 ( 4864, 125786)";"32662 (2431, 62893)";"32662 (2431, 62893)";"6532 ( 486, 12578)";"65325 ( 4864, 125786)";"137181 (62885, 211477)"
"2015-04-10";"149";"64475 ( 4569, 124381)";"32238 (2285, 62191)";"32238 (2285, 62191)";"6448 ( 457, 12439)";"64475 ( 4569, 124381)";"135399 (61785, 209013)"
"2015-04-09";"148";"63623 ( 4288, 122958)";"31812 (2144, 61480)";"31812 (2144, 61480)";"6362 ( 428, 12296)";"63623 ( 4288, 122958)";"133609 (60697, 206521)"
"2015-04-08";"147";"62770 ( 4022, 121518)";"31385 (2011, 60759)";"31385 (2011, 60759)";"6277 ( 402, 12152)";"62770 ( 4022, 121518)";"131817 (59626, 204008)"
"2015-04-07";"146";"61915 ( 3769, 120061)";"30958 (1885, 60031)";"30958 (1885, 60031)";"6192 ( 377, 12007)";"61915 ( 3769, 120061)";"130023 (58572, 201474)"
"2015-04-06";"145";"61059 ( 3530, 118588)";"30530 (1765, 59295)";"30530 (1765, 59295)";"6106 ( 353, 11859)";"61059 ( 3530, 118588)";"128225 (57532, 198918)"
