"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-04-29";"168";"170490 (46819, 294161)";"188 (52, 324)";"384 (106, 662)";"94 (26, 162)";"213 (58, 368)";"281 (77, 485)";"571 (157, 985)";"281 (77, 485)";"759 (209, 1309)";"281 (77, 485)";"1517 (416, 2618)";"435 (120, 750)";"188 (52, 324)";"239 (66, 412)";"5431 (3988, 6874)"
"2015-04-28";"167";"169190 (45449, 292931)";"186 (50, 322)";"381 (103, 659)";"93 (25, 161)";"211 (56, 366)";"279 (75, 483)";"567 (152, 982)";"279 (75, 483)";"753 (202, 1304)";"279 (75, 483)";"1506 (405, 2607)";"431 (115, 747)";"186 (50, 322)";"237 (64, 410)";"5388 (3944, 6832)"
"2015-04-27";"166";"167852 (44093, 291611)";"185 (49, 321)";"378 (100, 656)";"92 (24, 160)";"210 (55, 365)";"277 (73, 481)";"562 (147, 977)";"277 (73, 481)";"747 (196, 1298)";"277 (73, 481)";"1494 (393, 2595)";"428 (112, 744)";"185 (49, 321)";"235 (62, 408)";"5347 (3903, 6791)"
"2015-04-26";"165";"166478 (42753, 290203)";"183 (47, 319)";"375 ( 97, 653)";"92 (24, 160)";"208 (53, 363)";"275 (71, 479)";"558 (144, 972)";"275 (71, 479)";"741 (190, 1292)";"275 (71, 479)";"1482 (381, 2583)";"425 (110, 740)";"183 (47, 319)";"233 (60, 406)";"5305 (3861, 6749)"
"2015-04-25";"164";"165068 (41429, 288707)";"182 (46, 318)";"371 ( 93, 649)";"91 (23, 159)";"206 (51, 361)";"272 (68, 476)";"553 (139, 967)";"272 (68, 476)";"735 (185, 1285)";"272 (68, 476)";"1469 (369, 2569)";"421 (106, 736)";"182 (46, 318)";"231 (58, 404)";"5257 (3814, 6700)"
"2015-04-24";"163";"163625 (40126, 287124)";"180 (44, 316)";"368 ( 90, 646)";"90 (22, 158)";"205 (51, 359)";"270 (66, 474)";"548 (134, 962)";"270 (66, 474)";"728 (178, 1278)";"270 (66, 474)";"1456 (357, 2555)";"417 (102, 732)";"180 (44, 316)";"229 (56, 402)";"5211 (3770, 6652)"
"2015-04-23";"162";"162148 (38841, 285455)";"178 (42, 314)";"365 ( 88, 642)";"89 (21, 157)";"203 (49, 357)";"268 (65, 471)";"543 (130, 956)";"268 (65, 471)";"722 (173, 1271)";"268 (65, 471)";"1443 (346, 2540)";"413 ( 99, 727)";"178 (42, 314)";"227 (54, 400)";"5165 (3726, 6604)"
"2015-04-22";"161";"160639 (37578, 283700)";"177 (42, 312)";"361 ( 84, 638)";"88 (20, 156)";"201 (47, 355)";"265 (62, 468)";"538 (126, 950)";"265 (62, 468)";"715 (167, 1263)";"265 (62, 468)";"1430 (335, 2525)";"410 ( 96, 724)";"177 (42, 312)";"225 (53, 397)";"5117 (3681, 6553)"
"2015-04-21";"160";"159099 (36336, 281862)";"175 (40, 310)";"358 ( 82, 634)";"88 (20, 156)";"199 (46, 352)";"263 (60, 466)";"533 (122, 944)";"263 (60, 466)";"708 (162, 1254)";"263 (60, 466)";"1416 (323, 2509)";"406 ( 93, 719)";"175 (40, 310)";"223 (51, 395)";"5070 (3637, 6503)"
"2015-04-20";"159";"157529 (35117, 279941)";"173 (38, 308)";"354 ( 79, 629)";"87 (20, 154)";"197 (44, 350)";"260 (58, 462)";"528 (118, 938)";"260 (58, 462)";"701 (156, 1246)";"260 (58, 462)";"1402 (313, 2491)";"402 ( 90, 714)";"173 (38, 308)";"221 (50, 392)";"5018 (3589, 6447)"
"2015-04-19";"158";"155931 (33923, 277939)";"172 (38, 306)";"351 ( 76, 626)";"86 (19, 153)";"195 (42, 348)";"257 (56, 458)";"522 (113, 931)";"257 (56, 458)";"694 (151, 1237)";"257 (56, 458)";"1388 (302, 2474)";"398 ( 87, 709)";"172 (38, 306)";"218 (47, 389)";"4967 (3543, 6391)"
"2015-04-18";"157";"154306 (32754, 275858)";"170 (36, 304)";"347 ( 74, 620)";"85 (18, 152)";"193 (41, 345)";"255 (54, 456)";"517 (110, 924)";"255 (54, 456)";"687 (146, 1228)";"255 (54, 456)";"1373 (291, 2455)";"393 ( 83, 703)";"170 (36, 304)";"216 (46, 386)";"4916 (3497, 6335)"
"2015-04-17";"156";"152655 (31611, 273699)";"168 (35, 301)";"343 ( 71, 615)";"84 (17, 151)";"191 (40, 342)";"252 (52, 452)";"511 (106, 916)";"252 (52, 452)";"679 (140, 1218)";"252 (52, 452)";"1359 (282, 2436)";"389 ( 80, 698)";"168 (35, 301)";"214 (45, 383)";"4862 (3449, 6275)"
