"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-04-29";"168";"223278 (84137, 362419)";"246 (93, 399)";"502 (189, 815)";"123 (46, 200)";"279 (105, 453)";"368 (138, 598)";"748 (282, 1214)";"368 (138, 598)";"994 (375, 1613)";"368 (138, 598)";"1987 (749, 3225)";"569 (214, 924)";"246 (93, 399)";"313 (118, 508)";"7111 (5487, 8735)"
"2015-04-28";"167";"221217 (82609, 359825)";"243 (91, 395)";"498 (186, 810)";"122 (46, 198)";"277 (104, 450)";"365 (136, 594)";"741 (277, 1205)";"365 (136, 594)";"984 (367, 1601)";"365 (136, 594)";"1969 (735, 3203)";"564 (211, 917)";"243 (91, 395)";"310 (116, 504)";"7046 (5428, 8664)"
"2015-04-27";"166";"219129 (81083, 357175)";"241 (89, 393)";"493 (182, 804)";"121 (45, 197)";"274 (101, 447)";"362 (134, 590)";"734 (272, 1196)";"362 (134, 590)";"975 (361, 1589)";"362 (134, 590)";"1950 (721, 3179)";"559 (207, 911)";"241 (89, 393)";"307 (114, 500)";"6981 (5370, 8592)"
"2015-04-26";"165";"217014 (79561, 354467)";"239 (88, 390)";"488 (179, 797)";"119 (43, 195)";"271 ( 99, 443)";"358 (131, 585)";"727 (267, 1187)";"358 (131, 585)";"966 (354, 1578)";"358 (131, 585)";"1931 (708, 3154)";"553 (202, 904)";"239 (88, 390)";"304 (112, 496)";"6911 (5307, 8515)"
"2015-04-25";"164";"214875 (78046, 351704)";"236 (85, 387)";"483 (175, 791)";"118 (43, 193)";"269 ( 98, 440)";"355 (129, 581)";"720 (262, 1178)";"355 (129, 581)";"956 (347, 1565)";"355 (129, 581)";"1912 (694, 3130)";"548 (199, 897)";"236 (85, 387)";"301 (109, 493)";"6844 (5247, 8441)"
"2015-04-24";"163";"212711 (76538, 348884)";"234 (84, 384)";"479 (173, 785)";"117 (42, 192)";"266 ( 96, 436)";"351 (126, 576)";"713 (257, 1169)";"351 (126, 576)";"947 (341, 1553)";"351 (126, 576)";"1893 (681, 3105)";"542 (195, 889)";"234 (84, 384)";"298 (107, 489)";"6776 (5187, 8365)"
"2015-04-23";"162";"210525 (75041, 346009)";"232 (83, 381)";"474 (169, 779)";"116 (41, 191)";"263 ( 94, 432)";"347 (123, 571)";"705 (251, 1159)";"347 (123, 571)";"937 (334, 1540)";"347 (123, 571)";"1874 (668, 3080)";"537 (192, 882)";"232 (83, 381)";"295 (105, 485)";"6706 (5125, 8287)"
"2015-04-22";"161";"208316 (73554, 343078)";"229 (81, 377)";"469 (166, 772)";"115 (41, 189)";"260 ( 92, 428)";"344 (122, 566)";"698 (247, 1149)";"344 (122, 566)";"927 (327, 1527)";"344 (122, 566)";"1854 (655, 3053)";"531 (187, 875)";"229 (81, 377)";"292 (103, 481)";"6636 (5063, 8209)"
"2015-04-21";"160";"206087 (72082, 340092)";"227 (80, 374)";"464 (162, 766)";"113 (39, 187)";"258 ( 90, 426)";"340 (119, 561)";"690 (241, 1139)";"340 (119, 561)";"917 (321, 1513)";"340 (119, 561)";"1834 (641, 3027)";"526 (184, 868)";"227 (80, 374)";"289 (101, 477)";"6565 (5001, 8129)"
"2015-04-20";"159";"203838 (70625, 337051)";"224 (77, 371)";"459 (159, 759)";"112 (39, 185)";"255 ( 88, 422)";"336 (116, 556)";"683 (237, 1129)";"336 (116, 556)";"907 (314, 1500)";"336 (116, 556)";"1814 (628, 3000)";"520 (180, 860)";"224 (77, 371)";"285 ( 99, 471)";"6491 (4936, 8046)"
"2015-04-19";"158";"201571 (69185, 333957)";"222 (76, 368)";"454 (156, 752)";"111 (38, 184)";"252 ( 87, 417)";"333 (115, 551)";"675 (232, 1118)";"333 (115, 551)";"897 (308, 1486)";"333 (115, 551)";"1794 (616, 2972)";"514 (176, 852)";"222 (76, 368)";"282 ( 97, 467)";"6422 (4877, 7967)"
"2015-04-18";"157";"199286 (67762, 330810)";"219 (74, 364)";"448 (152, 744)";"110 (38, 182)";"249 ( 85, 413)";"329 (112, 546)";"668 (227, 1109)";"329 (112, 546)";"887 (302, 1472)";"329 (112, 546)";"1774 (603, 2945)";"508 (173, 843)";"219 (74, 364)";"279 ( 95, 463)";"6348 (4813, 7883)"
"2015-04-17";"156";"196985 (66358, 327612)";"217 (73, 361)";"443 (149, 737)";"108 (36, 180)";"246 ( 83, 409)";"325 (109, 541)";"660 (222, 1098)";"325 (109, 541)";"877 (296, 1458)";"325 (109, 541)";"1753 (590, 2916)";"502 (169, 835)";"217 (73, 361)";"276 ( 93, 459)";"6274 (4749, 7799)"
