"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-04-29";"168";"44501 (-72172, 161174)";"894 (-2111, 3900)";"233239 (-404921, 871399)";"4679 (-11189, 20546)";"53856 (-128809, 236520)";"35680 (-84291, 155651)";"6801 (-15716, 29318)";"10620 (-19896, 41137)";"19116 (-35813, 74046)";"40%"
"2015-04-28";"167";"43607 (-70069, 157283)";"877 (-2066, 3819)";"228560 (-393801, 850922)";"4589 (-10969, 20146)";"52821 (-126295, 231936)";"34976 (-82496, 152448)";"6664 (-15354, 28682)";"10410 (-19469, 40289)";"18738 (-35045, 72521)";"40%"
"2015-04-27";"166";"42730 (-68012, 153472)";"859 (-2021, 3740)";"223972 (-382896, 830839)";"4500 (-10751, 19750)";"51801 (-123799, 227402)";"34283 (-80719, 149286)";"6529 (-14996, 28055)";"10203 (-19047, 39453)";"18366 (-34284, 71016)";"40%"
"2015-04-26";"165";"41871 (-65999, 149740)";"842 (-1977, 3662)";"219472 (-372205, 811149)";"4412 (-10534, 19359)";"50798 (-121322, 222917)";"33602 (-78961, 146166)";"6397 (-14644, 27438)";"10000 (-18628, 38628)";"18000 (-33531, 69531)";"40%"
"2015-04-25";"164";"41028 (-64030, 146087)";"825 (-1933, 3584)";"215059 (-361726, 791845)";"4326 (-10320, 18973)";"49809 (-118865, 218483)";"32933 (-77222, 143087)";"6267 (-14296, 26830)";" 9800 (-18214, 37814)";"17640 (-32786, 68066)";"40%"
"2015-04-24";"163";"40203 (-62104, 142510)";"809 (-1890, 3508)";"210733 (-351459, 772925)";"4242 (-10107, 18590)";"48836 (-116428, 214101)";"32275 (-75502, 140051)";"6140 (-13953, 26232)";" 9604 (-17805, 37012)";"17286 (-32049, 66621)";"40%"
"2015-04-23";"162";"39394 (-60221, 139010)";"793 (-1847, 3432)";"206491 (-341401, 754384)";"4158 ( -9896, 18213)";"47879 (-114013, 209771)";"31628 (-73802, 137057)";"6015 (-13614, 25644)";" 9411 (-17400, 36221)";"16939 (-31320, 65198)";"40%"
"2015-04-22";"161";"38601 (-58381, 135584)";"777 (-1805, 3358)";"202333 (-331552, 736217)";"4076 ( -9687, 17840)";"46937 (-111620, 205493)";"30992 (-72122, 134106)";"5892 (-13281, 25065)";" 9221 (-16999, 35441)";"16598 (-30599, 63794)";"40%"
"2015-04-21";"160";"37825 (-56583, 132233)";"761 (-1763, 3285)";"198256 (-321909, 718421)";"3996 ( -9480, 17472)";"46010 (-109249, 201269)";"30367 (-70463, 131197)";"5771 (-12953, 24495)";" 9035 (-16604, 34673)";"16262 (-29887, 62411)";"40%"
"2015-04-20";"159";"37064 (-54826, 128954)";"746 (-1722, 3213)";"194260 (-312470, 700991)";"3917 ( -9275, 17108)";"45098 (-106902, 197098)";"29753 (-68825, 128331)";"5653 (-12629, 23935)";" 8851 (-16213, 33916)";"15933 (-29184, 61049)";"40%"
"2015-04-19";"158";"36318 (-53111, 125747)";"730 (-1681, 3142)";"190344 (-303234, 683922)";"3839 ( -9073, 16750)";"44201 (-104579, 192981)";"29150 (-67208, 125508)";"5537 (-12311, 23385)";" 8672 (-15828, 33171)";"15609 (-28490, 59708)";"40%"
"2015-04-18";"157";"35588 (-51436, 122611)";"716 (-1641, 3072)";"186505 (-294199, 667209)";"3762 ( -8872, 16396)";"43320 (-102280, 188919)";"28558 (-65613, 122728)";"5423 (-11998, 22843)";" 8495 (-15447, 32437)";"15291 (-27805, 58387)";"40%"
"2015-04-17";"156";"34872 (-49801, 119545)";"701 (-1602, 3004)";"182744 (-285362, 650849)";"3686 ( -8674, 16047)";"42453 (-100007, 184912)";"27976 (-64039, 119992)";"5311 (-11690, 22312)";" 8322 (-15071, 31715)";"14979 (-27129, 57087)";"40%"
"2015-04-16";"155";"34171 (-48205, 116547)";"687 (-1563, 2936)";"179057 (-276723, 634837)";"3612 ( -8478, 15702)";"41601 ( -97759, 180961)";"27405 (-62488, 117298)";"5201 (-11387, 21789)";" 8152 (-14701, 31004)";"14673 (-26462, 55808)";"40%"
"2015-04-15";"154";"33484 (-46649, 113617)";"673 (-1524, 2870)";"175445 (-268278, 619168)";"3540 ( -8284, 15363)";"40763 ( -95538, 177065)";"26844 (-60959, 114648)";"5094 (-11089, 21276)";" 7985 (-14336, 30305)";"14372 (-25805, 54549)";"40%"
"2015-04-14";"153";"32812 (-45130, 110754)";"659 (-1486, 2804)";"171905 (-260026, 603836)";"3468 ( -8093, 15029)";"39940 ( -93344, 173224)";"26294 (-59453, 112041)";"4988 (-10797, 20773)";" 7821 (-13976, 29617)";"14077 (-25157, 53311)";"40%"
"2015-04-13";"152";"32153 (-43650, 107956)";"645 (-1449, 2740)";"168437 (-251964, 588838)";"3398 ( -7904, 14699)";"39132 ( -91176, 169440)";"25754 (-57969, 109477)";"4885 (-10509, 20278)";" 7660 (-13622, 28941)";"13787 (-24519, 52094)";"40%"
"2015-04-12";"151";"31507 (-42207, 105222)";"632 (-1412, 2676)";"165040 (-244090, 574169)";"3329 ( -7717, 14375)";"38338 ( -89037, 165713)";"25224 (-56508, 106956)";"4783 (-10227, 19793)";" 7502 (-13273, 28277)";"13503 (-23891, 50898)";"40%"
"2015-04-11";"150";"30875 (-40800, 102551)";"619 (-1376, 2614)";"161711 (-236402, 559824)";"3261 ( -7533, 14055)";"37558 ( -86925, 162041)";"24704 (-55070, 104479)";"4684 ( -9950, 19317)";" 7347 (-12929, 27623)";"13224 (-23273, 49722)";"40%"
"2015-04-10";"149";"30256 (-39430,  99943)";"606 (-1341, 2553)";"158450 (-228898, 545798)";"3194 ( -7352, 13741)";"36792 ( -84842, 158426)";"24194 (-53656, 102044)";"4586 ( -9678, 18850)";" 7195 (-12591, 26982)";"12951 (-22665, 48567)";"40%"
"2015-04-09";"148";"29650 (-38095,  97396)";"594 (-1306, 2493)";"155256 (-221574, 532086)";"3129 ( -7173, 13431)";"36040 ( -82788, 154868)";"23693 (-52265,  99652)";"4491 ( -9411, 18393)";" 7046 (-12259, 26351)";"12683 (-22066, 47432)";"40%"
"2015-04-08";"147";"29057 (-36795,  94909)";"581 (-1272, 2434)";"152127 (-214430, 518683)";"3065 ( -6997, 13126)";"35302 ( -80763, 151367)";"23203 (-50898,  97303)";"4397 ( -9150, 17944)";" 6900 (-11932, 25732)";"12420 (-21478, 46318)";"40%"
"2015-04-07";"146";"28475 (-35530,  92481)";"569 (-1238, 2376)";"149062 (-207461, 505585)";"3002 ( -6823, 12827)";"34577 ( -78768, 147922)";"22721 (-49554,  94996)";"4305 ( -8894, 17504)";" 6757 (-11611, 25124)";"12162 (-20900, 45223)";"40%"
"2015-04-06";"145";"27906 (-34298,  90110)";"557 (-1205, 2320)";"146060 (-200666, 492786)";"2940 ( -6652, 12532)";"33866 ( -76802, 144534)";"22249 (-48233,  92732)";"4215 ( -8643, 17073)";" 6616 (-11295, 24528)";"11909 (-20332, 44150)";"40%"
"2015-04-05";"144";"27349 (-33100,  87797)";"546 (-1172, 2264)";"143120 (-194042, 480282)";"2879 ( -6483, 12242)";"33168 ( -74867, 141202)";"21786 (-46937,  90510)";"4127 ( -8397, 16651)";" 6478 (-10985, 23942)";"11661 (-19774, 43096)";"40%"
"2015-04-04";"143";"26803 (-31933,  85539)";"534 (-1140, 2209)";"140241 (-187586, 468068)";"2820 ( -6318, 11957)";"32483 ( -72961, 137928)";"21333 (-45664,  88330)";"4041 ( -8156, 16237)";" 6343 (-10681, 23368)";"11418 (-19226, 42062)";"40%"
"2015-04-03";"142";"26268 (-30799,  83336)";"523 (-1109, 2156)";"137421 (-181296, 456139)";"2761 ( -6155, 11678)";"31811 ( -71087, 134709)";"20888 (-44415,  86191)";"3956 ( -7920, 15832)";" 6211 (-10383, 22805)";"11180 (-18689, 41048)";"40%"
"2015-04-02";"141";"25745 (-29697,  81187)";"512 (-1078, 2103)";"134660 (-175170, 444489)";"2704 ( -5994, 11403)";"31152 ( -69243, 131548)";"20452 (-43190,  84094)";"3873 ( -7689, 15436)";" 6081 (-10090, 22252)";"10946 (-18162, 40054)";"40%"
"2015-04-01";"140";"25233 (-28625,  79090)";"502 (-1048, 2051)";"131955 (-169204, 433114)";"2648 ( -5837, 11133)";"30506 ( -67430, 128442)";"20025 (-41989,  82038)";"3792 ( -7464, 15048)";" 5954 ( -9803, 21711)";"10718 (-17645, 39080)";"40%"
"2015-03-31";"139";"24731 (-27583,  77045)";"491 (-1019, 2001)";"129307 (-163395, 422010)";"2593 ( -5682, 10868)";"29872 ( -65648, 125392)";"19606 (-40811,  80023)";"3713 ( -7243, 14668)";" 5830 ( -9521, 21180)";"10493 (-17138, 38125)";"40%"
"2015-03-30";"138";"24240 (-26570,  75050)";"481 ( -990, 1951)";"126714 (-157742, 411171)";"2539 ( -5529, 10607)";"29251 ( -63897, 122399)";"19196 (-39658,  78049)";"3635 ( -7028, 14297)";" 5708 ( -9245, 20660)";"10274 (-16641, 37189)";"40%"
"2015-03-29";"137";"23759 (-25587,  73105)";"471 ( -961, 1903)";"124175 (-152241, 400592)";"2486 ( -5380, 10352)";"28641 ( -62178, 119461)";"18794 (-38527,  76115)";"3558 ( -6817, 13934)";" 5588 ( -8975, 20151)";"10058 (-16155, 36272)";"40%"
"2015-03-28";"136";"23288 (-24632,  71208)";"461 ( -934, 1856)";"121689 (-146890, 390269)";"2434 ( -5233, 10102)";"28044 ( -60490, 116578)";"18400 (-37421,  74220)";"3484 ( -6611, 13579)";" 5471 ( -8711, 19652)";" 9848 (-15679, 35374)";"40%"
