"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-04-29";"168";"71620 (36560, 106681)";"686 (167, 1205)";"345467 (169094, 521839)";"3251 (743, 5760)";"37198 (8473, 65922)";"27201 (6599, 47803)";"5730 (1493, 9967)";"8233 (2974, 13491)";"14819 (5354, 24284)";"40%"
"2015-04-28";"167";"70934 (36392, 105477)";"681 (167, 1195)";"342216 (168347, 516084)";"3228 (742, 5714)";"36930 (8462, 65398)";"26999 (6598, 47399)";"5686 (1494, 9878)";"8171 (2965, 13378)";"14708 (5336, 24080)";"40%"
"2015-04-27";"166";"70253 (36224, 104283)";"676 (167, 1185)";"338988 (167600, 510375)";"3204 (741, 5668)";"36663 (8454, 64873)";"26797 (6599, 46996)";"5642 (1495, 9790)";"8110 (2955, 13265)";"14598 (5319, 23877)";"40%"
"2015-04-26";"165";"69577 (36056, 103099)";"671 (167, 1175)";"335783 (166854, 504712)";"3181 (741, 5622)";"36397 (8446, 64349)";"26596 (6600, 46593)";"5599 (1496, 9701)";"8049 (2946, 13152)";"14488 (5302, 23674)";"40%"
"2015-04-25";"164";"68907 (35888, 101926)";"666 (167, 1164)";"332602 (166109, 499096)";"3158 (740, 5576)";"36132 (8440, 63824)";"26396 (6602, 46191)";"5556 (1498, 9613)";"7988 (2936, 13040)";"14378 (5286, 23471)";"40%"
"2015-04-24";"163";"68241 (35719, 100762)";"661 (167, 1154)";"329444 (165364, 493525)";"3135 (740, 5530)";"35868 (8436, 63300)";"26197 (6604, 45790)";"5512 (1499, 9526)";"7927 (2927, 12927)";"14269 (5269, 23269)";"40%"
"2015-04-23";"162";"67580 (35551,  99609)";"656 (167, 1144)";"326310 (164619, 488000)";"3112 (740, 5484)";"35605 (8433, 62777)";"25999 (6608, 45390)";"5470 (1501, 9438)";"7867 (2919, 12815)";"14161 (5254, 23067)";"40%"
"2015-04-22";"161";"66924 (35383,  98466)";"651 (167, 1134)";"323198 (163875, 482521)";"3089 (739, 5438)";"35342 (8431, 62253)";"25801 (6612, 44990)";"5427 (1502, 9351)";"7807 (2910, 12704)";"14052 (5239, 22866)";"40%"
"2015-04-21";"160";"66274 (35214,  97333)";"646 (168, 1124)";"320109 (163131, 477088)";"3066 (739, 5392)";"35080 (8430, 61731)";"25604 (6616, 44592)";"5384 (1504, 9265)";"7747 (2902, 12592)";"13945 (5224, 22666)";"40%"
"2015-04-20";"159";"65628 (35045,  96211)";"641 (168, 1114)";"317043 (162387, 471700)";"3043 (740, 5346)";"34820 (8430, 61209)";"25408 (6621, 44195)";"5342 (1506, 9178)";"7687 (2894, 12481)";"13837 (5209, 22466)";"40%"
"2015-04-19";"158";"64987 (34876,  95098)";"636 (168, 1104)";"314000 (161642, 466359)";"3020 (740, 5301)";"34560 (8432, 60688)";"25213 (6627, 43798)";"5300 (1507, 9092)";"7628 (2886, 12370)";"13731 (5195, 22266)";"40%"
"2015-04-18";"157";"64351 (34707,  93995)";"631 (168, 1094)";"310980 (160898, 461063)";"2998 (740, 5255)";"34301 (8434, 60167)";"25018 (6633, 43403)";"5258 (1509, 9006)";"7569 (2878, 12260)";"13624 (5181, 22068)";"40%"
"2015-04-17";"156";"63720 (34538,  92902)";"626 (168, 1084)";"307983 (160153, 455813)";"2975 (740, 5210)";"34043 (8438, 59648)";"24825 (6640, 43009)";"5216 (1511, 8921)";"7510 (2871, 12150)";"13518 (5167, 21870)";"40%"
"2015-04-16";"155";"63094 (34369,  91820)";"621 (168, 1074)";"305008 (159408, 450608)";"2952 (741, 5164)";"33786 (8442, 59130)";"24632 (6647, 42617)";"5175 (1513, 8836)";"7452 (2863, 12040)";"13413 (5154, 21672)";"40%"
"2015-04-15";"154";"62473 (34199,  90747)";"616 (169, 1064)";"302055 (158662, 445449)";"2930 (741, 5119)";"33530 (8447, 58612)";"24440 (6655, 42226)";"5133 (1515, 8752)";"7393 (2856, 11931)";"13308 (5141, 21475)";"40%"
"2015-04-14";"153";"61857 (34030,  89684)";"612 (169, 1054)";"299125 (157916, 440335)";"2908 (742, 5074)";"33275 (8453, 58096)";"24249 (6662, 41836)";"5092 (1517, 8667)";"7335 (2849, 11822)";"13204 (5128, 21279)";"40%"
"2015-04-13";"152";"61245 (33860,  88631)";"607 (169, 1044)";"296218 (157169, 435267)";"2885 (742, 5028)";"33021 (8460, 57582)";"24059 (6671, 41447)";"5051 (1519, 8584)";"7278 (2842, 11713)";"13100 (5115, 21084)";"40%"
"2015-04-12";"151";"60639 (33689,  87588)";"602 (169, 1035)";"293332 (156421, 430243)";"2863 (743, 4984)";"32768 (8468, 57068)";"23870 (6679, 41060)";"5011 (1521, 8500)";"7220 (2835, 11605)";"12996 (5103, 20890)";"40%"
"2015-04-11";"150";"60037 (33519,  86554)";"597 (169, 1025)";"290469 (155673, 425265)";"2841 (744, 4939)";"32516 (8476, 56556)";"23681 (6688, 40675)";"4970 (1523, 8417)";"7163 (2828, 11498)";"12893 (5090, 20696)";"40%"
"2015-04-10";"149";"59439 (33348,  85530)";"592 (170, 1015)";"287628 (154924, 420331)";"2819 (745, 4894)";"32265 (8485, 56045)";"23494 (6697, 40291)";"4930 (1525, 8335)";"7106 (2821, 11391)";"12791 (5078, 20503)";"40%"
"2015-04-09";"148";"58847 (33178,  84516)";"588 (170, 1006)";"284808 (154174, 415442)";"2797 (746, 4849)";"32016 (8495, 55536)";"23308 (6706, 39909)";"4890 (1527, 8253)";"7049 (2815, 11284)";"12689 (5066, 20311)";"40%"
"2015-04-08";"147";"58259 (33006,  83512)";"583 (170,  996)";"282011 (153423, 410598)";"2776 (747, 4805)";"31767 (8505, 55029)";"23122 (6715, 39529)";"4850 (1529, 8171)";"6993 (2808, 11178)";"12587 (5055, 20120)";"40%"
"2015-04-07";"146";"57676 (32835,  82517)";"578 (170,  986)";"279235 (152671, 405799)";"2754 (747, 4761)";"31520 (8516, 54523)";"22937 (6725, 39150)";"4810 (1531, 8090)";"6937 (2802, 11072)";"12487 (5043, 19930)";"40%"
"2015-04-06";"145";"57098 (32663,  81532)";"574 (171,  977)";"276481 (151919, 401043)";"2733 (748, 4717)";"31273 (8527, 54020)";"22754 (6735, 38773)";"4771 (1533, 8009)";"6881 (2795, 10967)";"12386 (5032, 19740)";"40%"
"2015-04-05";"144";"56524 (32492,  80556)";"569 (171,  967)";"273748 (151165, 396332)";"2711 (750, 4673)";"31028 (8539, 53517)";"22571 (6744, 38397)";"4732 (1535, 7929)";"6826 (2789, 10862)";"12286 (5020, 19552)";"40%"
"2015-04-04";"143";"55955 (32319,  79590)";"565 (171,  958)";"271037 (150410, 391665)";"2690 (751, 4629)";"30784 (8551, 53017)";"22389 (6754, 38024)";"4693 (1537, 7849)";"6771 (2783, 10758)";"12187 (5009, 19365)";"40%"
"2015-04-03";"142";"55390 (32147,  78634)";"560 (171,  949)";"268348 (149654, 387041)";"2668 (752, 4585)";"30541 (8563, 52519)";"22208 (6764, 37652)";"4654 (1539, 7770)";"6716 (2777, 10654)";"12088 (4998, 19178)";"40%"
"2015-04-02";"141";"54830 (31974,  77686)";"555 (172,  939)";"265679 (148897, 382462)";"2647 (753, 4542)";"30299 (8576, 52023)";"22028 (6774, 37283)";"4616 (1541, 7691)";"6661 (2771, 10551)";"11990 (4987, 18992)";"40%"
"2015-04-01";"140";"54275 (31802,  76748)";"551 (172,  930)";"263032 (148139, 377925)";"2626 (754, 4499)";"30059 (8588, 51529)";"21849 (6784, 36915)";"4578 (1543, 7612)";"6607 (2765, 10449)";"11892 (4976, 18808)";"40%"
"2015-03-31";"139";"53724 (31628,  75820)";"546 (172,  921)";"260406 (147379, 373432)";"2605 (755, 4455)";"29819 (8601, 51037)";"21671 (6793, 36549)";"4540 (1545, 7534)";"6553 (2759, 10347)";"11795 (4966, 18624)";"40%"
"2015-03-30";"138";"53178 (31455,  74900)";"542 (172,  912)";"257800 (146619, 368982)";"2584 (756, 4413)";"29581 (8615, 50548)";"21495 (6803, 36186)";"4502 (1547, 7457)";"6499 (2753, 10245)";"11698 (4955, 18442)";"40%"
"2015-03-29";"137";"52636 (31281,  73990)";"538 (173,  902)";"255216 (145857, 364575)";"2564 (757, 4370)";"29344 (8628, 50060)";"21319 (6813, 35824)";"4464 (1548, 7380)";"6446 (2747, 10145)";"11602 (4944, 18260)";"40%"
"2015-03-28";"136";"52098 (31107,  73089)";"533 (173,  893)";"252652 (145094, 360211)";"2543 (759, 4328)";"29108 (8642, 49575)";"21144 (6823, 35465)";"4427 (1550, 7304)";"6393 (2741, 10044)";"11507 (4933, 18080)";"40%"
"2015-03-27";"135";"51565 (30933,  72197)";"529 (173,  884)";"250109 (144329, 355889)";"2523 (760, 4285)";"28874 (8655, 49093)";"20970 (6832, 35107)";"4390 (1552, 7228)";"6340 (2735,  9945)";"11412 (4923, 17901)";"40%"
"2015-03-26";"134";"51036 (30759,  71314)";"524 (173,  875)";"247587 (143564, 351610)";"2502 (761, 4243)";"28641 (8669, 48612)";"20797 (6841, 34752)";"4353 (1553, 7153)";"6287 (2729,  9846)";"11317 (4912, 17722)";"40%"
"2015-03-25";"133";"50512 (30584,  70440)";"520 (174,  866)";"245085 (142797, 347372)";"2482 (762, 4201)";"28409 (8683, 48135)";"20625 (6850, 34399)";"4316 (1555, 7078)";"6235 (2723,  9747)";"11223 (4902, 17545)";"40%"
"2015-03-24";"132";"49992 (30409,  69575)";"516 (174,  858)";"242603 (142029, 343176)";"2462 (763, 4160)";"28178 (8696, 47659)";"20454 (6859, 34048)";"4280 (1556, 7003)";"6183 (2717,  9649)";"11130 (4891, 17369)";"40%"
"2015-03-23";"131";"49476 (30234,  68718)";"511 (174,  849)";"240141 (141260, 339022)";"2442 (765, 4119)";"27948 (8710, 47187)";"20284 (6868, 33699)";"4244 (1557, 6930)";"6132 (2711,  9552)";"11037 (4881, 17194)";"40%"
"2015-03-22";"130";"48965 (30059,  67871)";"507 (174,  840)";"237699 (140489, 334909)";"2422 (766, 4077)";"27720 (8723, 46717)";"20115 (6877, 33352)";"4208 (1559, 6856)";"6081 (2706,  9456)";"10945 (4870, 17020)";"40%"
"2015-03-21";"129";"48458 (29883,  67032)";"503 (174,  831)";"235278 (139718, 330838)";"2402 (767, 4037)";"27493 (8737, 46249)";"19947 (6885, 33008)";"4172 (1560, 6784)";"6030 (2700,  9360)";"10853 (4859, 16847)";"40%"
"2015-03-20";"128";"47955 (29707,  66202)";"499 (175,  823)";"232876 (138945, 326807)";"2382 (768, 3996)";"27267 (8750, 45784)";"19780 (6893, 32666)";"4136 (1561, 6712)";"5979 (2694,  9264)";"10762 (4849, 16676)";"40%"
"2015-03-19";"127";"47456 (29531,  65381)";"494 (175,  814)";"230494 (138171, 322817)";"2362 (769, 3955)";"27043 (8763, 45322)";"19614 (6901, 32327)";"4101 (1562, 6640)";"5929 (2688,  9170)";"10672 (4838, 16505)";"40%"
"2015-03-18";"126";"46962 (29355,  64568)";"490 (175,  806)";"228132 (137396, 318868)";"2343 (770, 3915)";"26820 (8776, 44863)";"19449 (6909, 31989)";"4066 (1563, 6569)";"5879 (2682,  9076)";"10582 (4827, 16336)";"40%"
"2015-03-17";"125";"46471 (29179,  63764)";"486 (175,  797)";"225789 (136619, 314959)";"2323 (772, 3875)";"26598 (8789, 44407)";"19285 (6916, 31654)";"4031 (1564, 6498)";"5829 (2676,  8982)";"10492 (4817, 16168)";"40%"
"2015-03-16";"124";"45985 (29002,  62968)";"482 (175,  789)";"223465 (135842, 311089)";"2304 (773, 3836)";"26377 (8801, 43953)";"19122 (6923, 31322)";"3997 (1565, 6428)";"5780 (2670,  8890)";"10404 (4806, 16001)";"40%"
"2015-03-15";"123";"45503 (28826,  62181)";"478 (176,  780)";"221161 (135063, 307259)";"2285 (774, 3796)";"26158 (8814, 43502)";"18961 (6930, 30991)";"3962 (1566, 6359)";"5731 (2664,  8797)";"10315 (4795, 15835)";"40%"
"2015-03-14";"122";"45025 (28649,  61402)";"474 (176,  772)";"218876 (134283, 303469)";"2266 (775, 3757)";"25940 (8826, 43054)";"18800 (6936, 30663)";"3928 (1566, 6290)";"5682 (2658,  8706)";"10228 (4784, 15671)";"40%"
"2015-03-13";"121";"44551 (28471,  60631)";"470 (176,  764)";"216610 (133502, 299718)";"2247 (776, 3718)";"25723 (8837, 42610)";"18640 (6942, 30338)";"3894 (1567, 6222)";"5634 (2652,  8615)";"10140 (4773, 15508)";"40%"
"2015-03-12";"120";"44081 (28294,  59868)";"466 (176,  756)";"214363 (132721, 296006)";"2228 (777, 3680)";"25508 (8848, 42168)";"18481 (6948, 30015)";"3861 (1567, 6154)";"5585 (2646,  8525)";"10054 (4762, 15346)";"40%"
"2015-03-11";"119";"43615 (28117,  59114)";"462 (176,  748)";"212135 (131938, 292333)";"2209 (778, 3641)";"25294 (8859, 41729)";"18324 (6953, 29694)";"3827 (1568, 6087)";"5538 (2639,  8436)";" 9968 (4751, 15185)";"40%"
"2015-03-10";"118";"43153 (27939,  58368)";"458 (176,  740)";"209926 (131154, 288698)";"2191 (779, 3603)";"25081 (8870, 41293)";"18167 (6958, 29376)";"3794 (1568, 6020)";"5490 (2633,  8347)";" 9882 (4740, 15025)";"40%"
"2015-03-09";"117";"42695 (27762,  57629)";"454 (176,  732)";"207735 (130369, 285101)";"2172 (779, 3565)";"24870 (8880, 40860)";"18011 (6963, 29060)";"3761 (1568, 5954)";"5443 (2627,  8259)";" 9798 (4729, 14867)";"40%"
"2015-03-08";"116";"42241 (27584,  56899)";"450 (176,  724)";"205563 (129583, 281542)";"2154 (780, 3528)";"24660 (8890, 40430)";"17857 (6967, 28747)";"3728 (1568, 5888)";"5396 (2621,  8172)";" 9713 (4717, 14709)";"40%"
"2015-03-07";"115";"41791 (27406,  56177)";"446 (177,  716)";"203409 (128797, 278020)";"2136 (781, 3490)";"24451 (8899, 40003)";"17703 (6971, 28436)";"3696 (1568, 5823)";"5350 (2614,  8085)";" 9630 (4706, 14553)";"40%"
"2015-03-06";"114";"41345 (27228,  55462)";"442 (177,  708)";"201273 (128009, 274536)";"2118 (782, 3453)";"24244 (8908, 39579)";"17551 (6974, 28128)";"3663 (1568, 5759)";"5304 (2608,  7999)";" 9546 (4694, 14399)";"40%"
"2015-03-05";"113";"40903 (27050,  54755)";"439 (177,  701)";"199155 (127221, 271089)";"2100 (783, 3417)";"24038 (8917, 39159)";"17399 (6977, 27822)";"3631 (1568, 5695)";"5258 (2601,  7914)";" 9464 (4683, 14245)";"40%"
"2015-03-04";"112";"40464 (26872,  54056)";"435 (177,  693)";"197056 (126432, 267679)";"2082 (783, 3380)";"23833 (8925, 38741)";"17249 (6979, 27518)";"3600 (1567, 5632)";"5212 (2595,  7829)";" 9382 (4671, 14093)";"40%"
"2015-03-03";"111";"40029 (26694,  53365)";"431 (177,  685)";"194974 (125643, 264305)";"2064 (784, 3344)";"23630 (8933, 38327)";"17100 (6982, 27217)";"3568 (1567, 5569)";"5167 (2588,  7745)";" 9300 (4659, 13942)";"40%"
"2015-03-02";"110";"39598 (26515,  52681)";"427 (177,  678)";"192910 (124852, 260968)";"2046 (784, 3308)";"23428 (8940, 37916)";"16951 (6983, 26919)";"3537 (1566, 5507)";"5122 (2582,  7662)";" 9219 (4647, 13792)";"40%"
"2015-03-01";"109";"39171 (26337,  52005)";"424 (177,  670)";"190864 (124061, 257666)";"2029 (785, 3272)";"23227 (8946, 37508)";"16804 (6985, 26623)";"3505 (1566, 5445)";"5077 (2575,  7580)";" 9139 (4635, 13643)";"40%"
"2015-02-28";"108";"38747 (26159,  51336)";"420 (177,  663)";"188835 (123270, 254400)";"2011 (786, 3237)";"23028 (8952, 37103)";"16657 (6985, 26330)";"3475 (1565, 5384)";"5033 (2568,  7498)";" 9059 (4623, 13496)";"40%"
"2015-02-27";"107";"38327 (25980,  50674)";"416 (177,  656)";"186824 (122478, 251170)";"1994 (786, 3202)";"22829 (8958, 36701)";"16512 (6986, 26039)";"3444 (1564, 5323)";"4989 (2561,  7417)";" 8980 (4611, 13350)";"40%"
"2015-02-26";"106";"37911 (25802,  50020)";"413 (177,  648)";"184830 (121685, 247974)";"1977 (786, 3167)";"22633 (8963, 36303)";"16368 (6986, 25750)";"3413 (1563, 5263)";"4945 (2555,  7336)";" 8902 (4598, 13205)";"40%"
"2015-02-25";"105";"37499 (25624,  49373)";"409 (177,  641)";"182853 (120892, 244814)";"1960 (787, 3133)";"22437 (8967, 35907)";"16225 (6985, 25464)";"3383 (1562, 5204)";"4902 (2548,  7256)";" 8824 (4586, 13061)";"40%"
"2015-02-24";"104";"37090 (25445,  48734)";"405 (177,  634)";"180893 (120099, 241688)";"1943 (787, 3098)";"22243 (8971, 35515)";"16082 (6984, 25181)";"3353 (1561, 5145)";"4859 (2541,  7177)";" 8746 (4573, 12919)";"40%"
"2015-02-23";"103";"36684 (25267,  48101)";"402 (177,  627)";"178951 (119305, 238596)";"1926 (787, 3064)";"22051 (8975, 35127)";"15941 (6983, 24900)";"3323 (1560, 5087)";"4816 (2534,  7099)";" 8669 (4560, 12778)";"40%"
"2015-02-22";"102";"36282 (25089,  47476)";"398 (177,  620)";"177025 (118511, 235539)";"1909 (788, 3031)";"21859 (8977, 34741)";"15801 (6981, 24621)";"3294 (1559, 5029)";"4774 (2526,  7021)";" 8593 (4548, 12638)";"40%"
"2015-02-21";"101";"35884 (24910,  46858)";"395 (177,  613)";"175116 (117717, 232515)";"1893 (788, 2997)";"21669 (8980, 34359)";"15662 (6979, 24345)";"3264 (1557, 4972)";"4732 (2519,  6944)";" 8517 (4535, 12499)";"40%"
