"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-04-29";"168";"304757 (-78681, 688195)";"5087 ( -856, 11031)";"1555992 (-377315, 3489299)";"24069 (-2299, 50437)";"275057 (-24889, 575004)";"201674 (-32991, 436339)";"41884 ( -9567, 93335)";"60889 (  830, 120949)";"109601 (  1493, 217709)";"40%"
"2015-04-28";"167";"299670 (-77974, 677313)";"5050 ( -897, 10997)";"1531923 (-376142, 3439987)";"23948 (-2527, 50423)";"273712 (-27516, 574939)";"200213 (-34623, 435050)";"41487 ( -9820, 92793)";"60425 (  331, 120519)";"108765 (   596, 216934)";"40%"
"2015-04-27";"166";"294620 (-77218, 666457)";"5011 ( -936, 10958)";"1507974 (-374679, 3390627)";"23821 (-2752, 50393)";"272295 (-30098, 574688)";"198707 (-36202, 433616)";"41082 (-10059, 92223)";"59947 ( -156, 120050)";"107905 (  -280, 216090)";"40%"
"2015-04-26";"165";"289608 (-76413, 655630)";"4971 ( -974, 10917)";"1484154 (-372932, 3341239)";"23687 (-2972, 50346)";"270809 (-32632, 574249)";"197156 (-37726, 432038)";"40669 (-10285, 91624)";"59456 ( -630, 119543)";"107021 ( -1134, 215177)";"40%"
"2015-04-25";"164";"284637 (-75562, 644837)";"4931 (-1010, 10871)";"1460466 (-370909, 3291841)";"23548 (-3187, 50283)";"269253 (-35114, 573620)";"195562 (-39193, 430316)";"40250 (-10496, 90997)";"58953 (-1091, 118997)";"106115 ( -1964, 214195)";"40%"
"2015-04-24";"163";"279707 (-74667, 634080)";"4889 (-1045, 10822)";"1436918 (-368616, 3242452)";"23403 (-3397, 50202)";"267629 (-37541, 572800)";"193925 (-40602, 428452)";"39825 (-10693, 90342)";"58437 (-1539, 118414)";"105187 ( -2770, 213145)";"40%"
"2015-04-23";"162";"274818 (-73730, 623366)";"4846 (-1079, 10770)";"1413516 (-366060, 3193091)";"23251 (-3602, 50105)";"265938 (-39910, 571786)";"192247 (-41951, 426445)";"39392 (-10875, 89660)";"57910 (-1973, 117793)";"104238 ( -3552, 212027)";"40%"
"2015-04-22";"161";"269972 (-72752, 612696)";"4802 (-1110, 10713)";"1390264 (-363249, 3143777)";"23094 (-3802, 49991)";"264181 (-42216, 570579)";"190529 (-43239, 424298)";"38954 (-11044, 88953)";"57371 (-2393, 117135)";"103268 ( -4307, 210843)";"40%"
"2015-04-21";"160";"265171 (-71735, 602076)";"4757 (-1141, 10654)";"1367170 (-360191, 3094530)";"22932 (-3995, 49859)";"262359 (-44458, 569176)";"188773 (-44464, 422011)";"38511 (-11198, 88219)";"56821 (-2798, 116440)";"102278 ( -5036, 209592)";"40%"
"2015-04-20";"159";"260414 (-70681, 591510)";"4711 (-1169, 10591)";"1344238 (-356893, 3045369)";"22764 (-4183, 49710)";"260474 (-46631, 567579)";"186980 (-45626, 419586)";"38062 (-11337, 87461)";"56260 (-3188, 115709)";"101269 ( -5738, 208276)";"40%"
"2015-04-19";"158";"255703 (-69593, 581000)";"4664 (-1196, 10524)";"1321475 (-353363, 2996312)";"22590 (-4364, 49544)";"258527 (-48733, 565786)";"185151 (-46722, 417025)";"37608 (-11462, 86678)";"55690 (-3562, 114942)";"100242 ( -6412, 206896)";"40%"
"2015-04-18";"157";"251039 (-68472, 570551)";"4616 (-1221, 10454)";"1298884 (-349611, 2947380)";"22411 (-4539, 49362)";"256518 (-50761, 563798)";"183288 (-47754, 414330)";"37149 (-11573, 85872)";"55109 (-3921, 114140)";" 99197 ( -7059, 205452)";"40%"
"2015-04-17";"156";"246423 (-67320, 560166)";"4568 (-1245, 10381)";"1276473 (-345644, 2898590)";"22227 (-4707, 49162)";"254451 (-52713, 561615)";"181392 (-48719, 411504)";"36687 (-11670, 85043)";"54520 (-4265, 113304)";" 98136 ( -7676, 203947)";"40%"
"2015-04-16";"155";"241855 (-66139, 549849)";"4519 (-1267, 10305)";"1254246 (-341471, 2849962)";"22039 (-4867, 48945)";"252326 (-54587, 559239)";"179466 (-49617, 408548)";"36220 (-11752, 84192)";"53921 (-4592, 112434)";" 97058 ( -8265, 202382)";"40%"
"2015-04-15";"154";"237336 (-64932, 539604)";"4469 (-1287, 10225)";"1232207 (-337102, 2801515)";"21845 (-5021, 48711)";"250146 (-56379, 556671)";"177509 (-50448, 405466)";"35750 (-11821, 83320)";"53315 (-4902, 111532)";" 95966 ( -8824, 200757)";"40%"
"2015-04-14";"153";"232867 (-63700, 529433)";"4418 (-1305, 10142)";"1210362 (-332544, 2753268)";"21647 (-5167, 48461)";"247911 (-58089, 553911)";"175524 (-51211, 402260)";"35276 (-11875, 82428)";"52700 (-5196, 110597)";" 94860 ( -9354, 199074)";"40%"
"2015-04-13";"152";"228448 (-62445, 519341)";"4367 (-1322, 10057)";"1188715 (-327808, 2705238)";"21444 (-5306, 48194)";"245624 (-59714, 550962)";"173513 (-51907, 398934)";"34800 (-11916, 81517)";"52078 (-5474, 109631)";" 93741 ( -9854, 197336)";"40%"
"2015-04-12";"151";"224081 (-61169, 509331)";"4315 (-1337,  9968)";"1167271 (-322901, 2657444)";"21237 (-5437, 47910)";"243286 (-61253, 547826)";"171477 (-52535, 395490)";"34321 (-11944, 80587)";"51450 (-5735, 108635)";" 92609 (-10324, 195543)";"40%"
"2015-04-11";"150";"219766 (-59874, 499405)";"4263 (-1351,  9877)";"1146035 (-317835, 2609904)";"21025 (-5561, 47611)";"240900 (-62704, 544505)";"169418 (-53096, 391932)";"33841 (-11959, 79640)";"50815 (-5980, 107609)";" 91466 (-10764, 193697)";"40%"
"2015-04-10";"149";"215503 (-58562, 489568)";"4210 (-1362,  9782)";"1125010 (-312617, 2562636)";"20810 (-5676, 47296)";"238468 (-64066, 541002)";"167338 (-53589, 388264)";"33358 (-11961, 78676)";"50174 (-6208, 106556)";" 90313 (-11174, 191800)";"40%"
"2015-04-09";"148";"211293 (-57235, 479821)";"4157 (-1372,  9685)";"1104200 (-307258, 2515657)";"20591 (-5784, 46965)";"235991 (-65338, 537320)";"165237 (-54016, 384490)";"32874 (-11950, 77697)";"49528 (-6419, 105475)";" 89150 (-11555, 189854)";"40%"
"2015-04-08";"147";"207136 (-55896, 470168)";"4103 (-1381,  9586)";"1083609 (-301766, 2468984)";"20368 (-5883, 46619)";"233472 (-66519, 533463)";"163118 (-54376, 380612)";"32388 (-11926, 76703)";"48877 (-6614, 104367)";" 87978 (-11905, 187861)";"40%"
"2015-04-07";"146";"203033 (-54545, 460612)";"4049 (-1387,  9484)";"1063241 (-296152, 2422634)";"20142 (-5975, 46259)";"230913 (-67609, 529434)";"160983 (-54671, 376636)";"31902 (-11891, 75696)";"48221 (-6792, 103235)";" 86798 (-12226, 185823)";"40%"
