"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC 25% ETU target";"Beds for CDC 45% reduced transmission target";"Reporting (treatment) quotient"
"2015-04-30";"168";"322586 ( 36588, 608585)";"4144 (1916, 6372)";"1597445 (257473, 2937418)";"18849 (10024, 27674)";"214966 (115098, 314834)";"163887 ( 76569, 251206)";"35513 (13606, 57421)";"49850 (27344, 72356)";"89730 (49219, 130241)";"40%"
"2015-04-29";"167";"318443 ( 34189, 602696)";"4132 (1869, 6396)";"1578597 (244256, 2912937)";"18831 ( 9872, 27789)";"214781 (113418, 316144)";"163454 ( 74755, 252152)";"35356 (13150, 57563)";"49702 (26843, 72561)";"89464 (48318, 130611)";"40%"
"2015-04-28";"166";"314310 ( 31856, 596764)";"4120 (1822, 6419)";"1559766 (231315, 2888217)";"18809 ( 9712, 27905)";"214552 (111640, 317464)";"162987 ( 72897, 253077)";"35193 (12690, 57695)";"49545 (26331, 72759)";"89181 (47395, 130967)";"40%"
"2015-04-27";"165";"310190 ( 29589, 590791)";"4107 (1773, 6441)";"1540957 (218654, 2863260)";"18783 ( 9544, 28022)";"214280 (109770, 318790)";"162489 ( 70999, 253979)";"35022 (12228, 57816)";"49378 (25806, 72950)";"88880 (46451, 131309)";"40%"
"2015-04-26";"164";"306083 ( 27387, 584778)";"4093 (1724, 6463)";"1522174 (206276, 2838073)";"18753 ( 9368, 28138)";"213964 (107809, 320118)";"161958 ( 69062, 254854)";"34846 (11765, 57927)";"49201 (25271, 73131)";"88562 (45488, 131636)";"40%"
"2015-04-25";"163";"301990 ( 25252, 578727)";"4079 (1673, 6484)";"1503421 (194184, 2812658)";"18720 ( 9185, 28254)";"213604 (105764, 321444)";"161396 ( 67093, 255699)";"34663 (11300, 58026)";"49015 (24726, 73303)";"88226 (44507, 131946)";"40%"
"2015-04-24";"162";"297911 ( 23183, 572638)";"4063 (1622, 6504)";"1484701 (182382, 2787020)";"18683 ( 8995, 28370)";"213201 (103637, 322765)";"160802 ( 65092, 256511)";"34473 (10834, 58113)";"48819 (24172, 73465)";"87874 (43510, 132237)";"40%"
"2015-04-23";"161";"293848 ( 21181, 566514)";"4047 (1571, 6523)";"1466018 (170873, 2761164)";"18642 ( 8799, 28484)";"212755 (101434, 324076)";"160176 ( 63065, 257287)";"34278 (10369, 58187)";"48613 (23611, 73616)";"87504 (42499, 132509)";"40%"
"2015-04-22";"160";"289801 ( 19245, 560356)";"4030 (1519, 6541)";"1447377 (159658, 2735096)";"18597 ( 8596, 28597)";"212266 ( 99158, 325373)";"159519 ( 61014, 258025)";"34076 ( 9904, 58249)";"48399 (23042, 73756)";"87118 (41475, 132761)";"40%"
"2015-04-21";"159";"285771 ( 17375, 554166)";"4012 (1466, 6558)";"1428780 (148740, 2708820)";"18548 ( 8388, 28709)";"211733 ( 96815, 326652)";"158832 ( 58943, 258721)";"33869 ( 9440, 58297)";"48175 (22467, 73883)";"86715 (40440, 132990)";"40%"
"2015-04-20";"158";"281758 ( 15572, 547945)";"3994 (1413, 6574)";"1410232 (138122, 2682342)";"18496 ( 8174, 28818)";"211158 ( 94408, 327908)";"158114 ( 56855, 259374)";"33655 ( 8978, 58332)";"47942 (21887, 73998)";"86296 (39396, 133196)";"40%"
"2015-04-19";"157";"277765 ( 13835, 541694)";"3974 (1360, 6589)";"1391736 (127804, 2655668)";"18440 ( 7955, 28924)";"210541 ( 91944, 329137)";"157366 ( 54753, 259979)";"33436 ( 8519, 58352)";"47700 (21302, 74099)";"85861 (38343, 133378)";"40%"
"2015-04-18";"156";"273790 ( 12165, 535416)";"3954 (1306, 6603)";"1373296 (117789, 2628803)";"18380 ( 7732, 29028)";"209881 ( 89426, 330336)";"156588 ( 52640, 260536)";"33210 ( 8063, 58358)";"47450 (20713, 74186)";"85409 (37283, 133535)";"40%"
"2015-04-17";"155";"269836 ( 10560, 529112)";"3933 (1252, 6615)";"1354916 (108078, 2601755)";"18317 ( 7505, 29128)";"209179 ( 86859, 331499)";"155781 ( 50521, 261041)";"32980 ( 7610, 58350)";"47190 (20122, 74259)";"84942 (36219, 133666)";"40%"
"2015-04-16";"154";"265903 (  9021, 522785)";"3912 (1198, 6625)";"1336599 ( 98670, 2574528)";"18250 ( 7274, 29225)";"208435 ( 84248, 332622)";"154944 ( 48397, 261492)";"32744 ( 7161, 58327)";"46922 (19528, 74316)";"84460 (35151, 133769)";"40%"
"2015-04-15";"153";"261991 (  7547, 516435)";"3890 (1145, 6635)";"1318350 ( 89568, 2547131)";"18179 ( 7040, 29317)";"207649 ( 81597, 333702)";"154079 ( 46272, 261887)";"32502 ( 6717, 58288)";"46645 (18933, 74357)";"83962 (34080, 133843)";"40%"
"2015-04-14";"152";"258101 (  6137, 510065)";"3867 (1091, 6642)";"1300171 ( 80772, 2519570)";"18105 ( 6803, 29406)";"206823 ( 78912, 334734)";"153186 ( 44149, 262223)";"32256 ( 6277, 58234)";"46360 (18338, 74383)";"83449 (33009, 133889)";"40%"
"2015-04-13";"151";"254234 (  4793, 503676)";"3843 (1037, 6649)";"1282066 ( 72281, 2491851)";"18027 ( 6564, 29489)";"205956 ( 76197, 335714)";"152265 ( 42031, 262500)";"32004 ( 5844, 58164)";"46067 (17743, 74391)";"82921 (31938, 133904)";"40%"
"2015-04-12";"150";"250391 (  3512, 497271)";"3819 ( 984, 6653)";"1264040 ( 64096, 2463983)";"17945 ( 6323, 29568)";"205048 ( 73457, 336639)";"151317 ( 39920, 262714)";"31747 ( 5416, 58079)";"45766 (17149, 74383)";"82379 (30869, 133889)";"40%"
"2015-04-11";"149";"246573 (  2294, 490851)";"3794 ( 931, 6656)";"1246094 ( 56216, 2435973)";"17860 ( 6080, 29641)";"204100 ( 70696, 337504)";"150342 ( 37819, 262865)";"31486 ( 4995, 57977)";"45457 (16557, 74357)";"81823 (29803, 133842)";"40%"
"2015-04-10";"148";"242779 (  1139, 484419)";"3768 ( 878, 6658)";"1228234 ( 48640, 2407828)";"17772 ( 5836, 29709)";"203113 ( 67918, 338307)";"149340 ( 35731, 262950)";"31220 ( 4580, 57860)";"45140 (15967, 74313)";"81252 (28741, 133763)";"40%"
"2015-04-09";"147";"239011 (    46, 477976)";"3742 ( 826, 6657)";"1210462 ( 41367, 2379556)";"17680 ( 5591, 29770)";"202086 ( 65129, 339043)";"148313 ( 33659, 262967)";"30949 ( 4172, 57726)";"44816 (15381, 74250)";"80668 (27685, 133651)";"40%"
"2015-04-08";"146";"235269 (  -986, 471525)";"3715 ( 774, 6655)";"1192781 ( 34396, 2351166)";"17585 ( 5345, 29826)";"201021 ( 62332, 339710)";"147261 ( 31605, 262917)";"30674 ( 3773, 57576)";"44484 (14798, 74170)";"80071 (26636, 133505)";"40%"
"2015-04-07";"145";"231555 ( -1958, 465067)";"3687 ( 723, 6651)";"1175196 ( 27725, 2322666)";"17487 ( 5099, 29874)";"199918 ( 59532, 340304)";"146183 ( 29571, 262796)";"30395 ( 3381, 57410)";"44145 (14219, 74070)";"79460 (25595, 133326)";"40%"
"2015-04-06";"144";"227867 ( -2870, 458605)";"3659 ( 673, 6645)";"1157709 ( 21354, 2294064)";"17385 ( 4854, 29916)";"198777 ( 56732, 340822)";"145082 ( 27560, 262604)";"30112 ( 2997, 57227)";"43799 (13646, 73951)";"78837 (24563, 133112)";"40%"
"2015-04-05";"143";"224209 ( -3723, 452140)";"3630 ( 623, 6638)";"1140324 ( 15278, 2265369)";"17280 ( 4609, 29951)";"197599 ( 53937, 341261)";"143957 ( 25574, 262341)";"29825 ( 2622, 57028)";"43446 (13078, 73813)";"78202 (23541, 132863)";"40%"
"2015-04-04";"142";"220578 ( -4519, 445675)";"3601 ( 573, 6628)";"1123043 (  9497, 2236590)";"17172 ( 4365, 29979)";"196385 ( 51151, 341619)";"142809 ( 23614, 262004)";"29534 ( 2255, 56813)";"43086 (12517, 73655)";"77555 (22530, 132579)";"40%"
"2015-04-03";"141";"216978 ( -5257, 439212)";"3571 ( 525, 6617)";"1105871 (  4008, 2207735)";"17061 ( 4123, 29999)";"195135 ( 48377, 341892)";"141639 ( 21685, 261594)";"29240 ( 1898, 56581)";"42720 (11962, 73478)";"76895 (21531, 132260)";"40%"
"2015-04-02";"140";"213407 ( -5940, 432753)";"3540 ( 477, 6604)";"1088810 ( -1193, 2178813)";"16947 ( 3882, 30012)";"193849 ( 45620, 342079)";"140447 ( 19786, 261109)";"28942 ( 1550, 56333)";"42347 (11414, 73280)";"76225 (20546, 131904)";"40%"
"2015-04-01";"139";"209866 ( -6568, 426300)";"3510 ( 430, 6589)";"1071864 ( -6108, 2149835)";"16829 ( 3642, 30016)";"192530 ( 42882, 342177)";"139235 ( 17920, 260549)";"28641 ( 1212, 56069)";"41969 (10875, 73063)";"75544 (19574, 131513)";"40%"
"2015-03-31";"138";"206357 ( -7142, 419856)";"3478 ( 385, 6572)";"1055034 (-10741, 2120809)";"16709 ( 3405, 30013)";"191176 ( 40167, 342185)";"138001 ( 16089, 259914)";"28337 (  884, 55789)";"41584 (10343, 72826)";"74852 (18618, 131087)";"40%"
