"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC 25% ETU target";"Beds for CDC 45% reduced transmission target";"Reporting (treatment) quotient"
"2015-04-30";"168";"65928 (-9973, 141829)";"898 (-505, 2301)";"328657 (-64447, 721761)";"4433 (-2610, 11476)";"50844 (-29998, 131687)";"35698 (-20128, 91524)";"7215 (-3841, 18272)";"10728 (-3499, 24956)";"19311 (-6298, 44921)";"40%"
"2015-04-29";"167";"65030 (-9469, 139528)";"887 (-496, 2270)";"324224 (-61841, 710288)";"4380 (-2567, 11327)";"50234 (-29508, 129976)";"35257 (-19762, 90275)";"7124 (-3764, 18012)";"10595 (-3426, 24616)";"19071 (-6167, 44310)";"40%"
"2015-04-28";"166";"64143 (-8974, 137259)";"876 (-487, 2239)";"319844 (-59277, 698965)";"4327 (-2524, 11178)";"49628 (-29020, 128276)";"34819 (-19398, 89035)";"7033 (-3688, 17754)";"10463 (-3354, 24280)";"18833 (-6037, 43703)";"40%"
"2015-04-27";"165";"63267 (-8488, 135022)";"865 (-477, 2208)";"315517 (-56757, 687791)";"4274 (-2482, 11030)";"49027 (-28532, 126586)";"34385 (-19036, 87806)";"6943 (-3612, 17499)";"10332 (-3281, 23945)";"18598 (-5906, 43102)";"40%"
"2015-04-26";"164";"62401 (-8012, 132815)";"854 (-468, 2177)";"311243 (-54279, 676764)";"4222 (-2439, 10884)";"48431 (-28046, 124908)";"33955 (-18676, 86586)";"6855 (-3537, 17246)";"10202 (-3209, 23614)";"18364 (-5777, 42505)";"40%"
"2015-04-25";"163";"61547 (-7545, 130639)";"844 (-459, 2146)";"307020 (-51844, 665884)";"4171 (-2396, 10738)";"47839 (-27562, 123241)";"33529 (-18318, 85376)";"6767 (-3462, 16995)";"10074 (-3138, 23285)";"18133 (-5648, 41914)";"40%"
"2015-04-24";"162";"60704 (-7086, 128494)";"833 (-450, 2116)";"302850 (-49451, 655150)";"4119 (-2354, 10593)";"47253 (-27079, 121585)";"33107 (-17963, 84176)";"6680 (-3388, 16747)";" 9947 (-3067, 22960)";"17904 (-5520, 41327)";"40%"
"2015-04-23";"161";"59871 (-6637, 126379)";"822 (-441, 2086)";"298730 (-47101, 644561)";"4069 (-2312, 10449)";"46672 (-26597, 119941)";"32689 (-17610, 82987)";"6593 (-3315, 16502)";" 9820 (-2996, 22637)";"17677 (-5392, 40746)";"40%"
"2015-04-22";"160";"59048 (-6197, 124294)";"812 (-433, 2056)";"294661 (-44793, 634116)";"4018 (-2270, 10307)";"46095 (-26118, 118309)";"32274 (-17259, 81808)";"6508 (-3242, 16258)";" 9696 (-2925, 22317)";"17452 (-5266, 40170)";"40%"
"2015-04-21";"159";"58237 (-5765, 122238)";"802 (-424, 2027)";"290643 (-42527, 623813)";"3968 (-2228, 10165)";"45524 (-25642, 116689)";"31864 (-16911, 80640)";"6424 (-3171, 16018)";" 9572 (-2856, 22000)";"17229 (-5140, 39599)";"40%"
