"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC 25% ETU target";"Beds for CDC 45% reduced transmission target";"Reporting (treatment) quotient"
"2015-04-30";"168";"398432 (102287, 694576)";"5137 (2496, 7778)";"1973689 (575893, 3371486)";"23743 (12407, 35078)";"271087 (142081, 400094)";"203355 (99413, 307297)";"43506 (18917, 68096)";"61715 (35013, 88418)";"111088 (63023, 159152)";"40%"
"2015-04-29";"167";"393295 ( 99202, 687388)";"5113 (2454, 7773)";"1949947 (559563, 3340331)";"23666 (12287, 35046)";"270237 (140765, 399709)";"202441 (97773, 307109)";"43250 (18469, 68030)";"61423 (34532, 88313)";"110561 (62158, 158964)";"40%"
"2015-04-28";"166";"388181 ( 96184, 680179)";"5089 (2410, 7768)";"1926281 (543510, 3309051)";"23587 (12157, 35017)";"269348 (139341, 399356)";"201499 (96072, 306926)";"42988 (18016, 67960)";"61122 (34036, 88208)";"110019 (61264, 158774)";"40%"
"2015-04-27";"165";"383092 ( 93234, 672950)";"5064 (2365, 7764)";"1902694 (527740, 3277648)";"23504 (12018, 34990)";"268422 (137809, 399035)";"200529 (94314, 306744)";"42720 (17556, 67884)";"60812 (33523, 88101)";"109462 (60342, 158582)";"40%"
"2015-04-26";"164";"378028 ( 90353, 665703)";"5039 (2319, 7759)";"1879190 (512256, 3246125)";"23417 (11870, 34965)";"267457 (136172, 398742)";"199531 (92502, 306560)";"42447 (17092, 67802)";"60494 (32997, 87992)";"108890 (59394, 158386)";"40%"
"2015-04-25";"163";"372989 ( 87541, 658437)";"5012 (2271, 7754)";"1855773 (497063, 3214482)";"23328 (11713, 34943)";"266454 (134433, 398475)";"198505 (90639, 306372)";"42169 (16623, 67714)";"60168 (32456, 87881)";"108303 (58421, 158186)";"40%"
"2015-04-24";"162";"367977 ( 84798, 651155)";"4985 (2222, 7749)";"1832445 (482165, 3182724)";"23235 (11547, 34922)";"265414 (132595, 398232)";"197453 (88730, 306176)";"41885 (16151, 67618)";"59834 (31903, 87766)";"107702 (57425, 157979)";"40%"
"2015-04-23";"161";"362991 ( 82125, 643858)";"4958 (2172, 7744)";"1809210 (467567, 3150853)";"23139 (11374, 34904)";"264335 (130661, 398009)";"196373 (86777, 305969)";"41595 (15676, 67515)";"59492 (31337, 87647)";"107086 (56407, 157764)";"40%"
"2015-04-22";"160";"358034 ( 79521, 636546)";"4929 (2121, 7738)";"1786071 (453271, 3118872)";"23039 (11192, 34886)";"263219 (128635, 397803)";"195267 (84785, 305748)";"41301 (15199, 67403)";"59142 (30761, 87523)";"106456 (55370, 157541)";"40%"
"2015-04-21";"159";"353104 ( 76988, 629221)";"4900 (2069, 7731)";"1763032 (439281, 3086783)";"22936 (11003, 34870)";"262066 (126521, 397610)";"194134 (82758, 305510)";"41002 (14721, 67282)";"58784 (30175, 87393)";"105811 (54315, 157307)";"40%"
"2015-04-20";"158";"348204 ( 74524, 621884)";"4871 (2017, 7725)";"1740096 (425600, 3054592)";"22830 (10807, 34854)";"260875 (124323, 397427)";"192975 (80698, 305252)";"40698 (14243, 67152)";"58418 (29580, 87256)";"105153 (53244, 157061)";"40%"
"2015-04-19";"157";"343333 ( 72131, 614536)";"4840 (1964, 7717)";"1717266 (412230, 3022301)";"22721 (10603, 34838)";"259647 (122046, 397249)";"191790 (78610, 304970)";"40388 (13764, 67012)";"58045 (28977, 87112)";"104480 (52159, 156802)";"40%"
"2015-04-18";"156";"338493 ( 69807, 607179)";"4809 (1910, 7709)";"1694545 (399174, 2989916)";"22608 (10394, 34823)";"258383 (119693, 397073)";"190580 (76497, 304663)";"40075 (13287, 66862)";"57664 (28367, 86960)";"103795 (51061, 156528)";"40%"
"2015-04-17";"155";"333683 ( 67553, 599814)";"4778 (1856, 7700)";"1671937 (386434, 2957439)";"22493 (10178, 34807)";"257082 (117270, 396895)";"189345 (74364, 304325)";"39756 (12811, 66701)";"57275 (27751, 86799)";"103095 (49952, 156238)";"40%"
"2015-04-16";"154";"328905 ( 65369, 592442)";"4746 (1801, 7690)";"1649444 (374011, 2924876)";"22374 ( 9958, 34790)";"255746 (114782, 396709)";"188085 (72213, 303956)";"39433 (12337, 66529)";"56879 (27130, 86629)";"102383 (48834, 155932)";"40%"
"2015-04-15";"153";"324160 ( 63254, 585066)";"4713 (1746, 7680)";"1627070 (361907, 2892233)";"22252 ( 9732, 34772)";"254373 (112233, 396512)";"186800 (70049, 303552)";"39106 (11866, 66345)";"56477 (26505, 86448)";"101658 (47709, 155607)";"40%"
"2015-04-14";"152";"319447 ( 61208, 577686)";"4679 (1691, 7668)";"1604818 (350123, 2859513)";"22127 ( 9501, 34753)";"252965 (109629, 396300)";"185492 (67874, 303111)";"38774 (11399, 66150)";"56067 (25876, 86257)";"100920 (46577, 155263)";"40%"
"2015-04-13";"151";"314768 ( 59231, 570304)";"4645 (1636, 7655)";"1582691 (338660, 2826722)";"21999 ( 9266, 34731)";"251521 (106975, 396067)";"184161 (65693, 302629)";"38438 (10935, 65942)";"55650 (25245, 86054)";"100170 (45441, 154898)";"40%"
"2015-04-12";"150";"310122 ( 57322, 562922)";"4611 (1580, 7641)";"1560693 (327518, 2793867)";"21868 ( 9027, 34708)";"250043 (104276, 395810)";"182806 (63508, 302104)";"38099 (10476, 65722)";"55226 (24613, 85840)";" 99407 (44303, 154512)";"40%"
"2015-04-11";"149";"305511 ( 55481, 555541)";"4576 (1525, 7626)";"1538825 (316698, 2760952)";"21733 ( 8786, 34681)";"248531 (101537, 395525)";"181429 (61324, 301535)";"37755 (10022, 65489)";"54796 (23980, 85613)";" 98633 (43163, 154103)";"40%"
"2015-04-10";"148";"300936 ( 53708, 548164)";"4540 (1470, 7610)";"1517092 (306198, 2727985)";"21596 ( 8541, 34652)";"246984 ( 98762, 395207)";"180030 (59142, 300918)";"37408 ( 9573, 65243)";"54360 (23347, 85372)";" 97847 (42024, 153670)";"40%"
"2015-04-09";"147";"296396 ( 52000, 540791)";"4504 (1415, 7593)";"1495495 (296020, 2694971)";"21456 ( 8294, 34619)";"245405 ( 95958, 394851)";"178610 (56968, 300252)";"37057 ( 9130, 64984)";"53917 (22715, 85118)";" 97050 (40887, 153213)";"40%"
"2015-04-08";"146";"291892 ( 50359, 533425)";"4467 (1360, 7574)";"1474039 (286161, 2661917)";"21313 ( 8045, 34582)";"243792 ( 93129, 394454)";"177168 (54802, 299534)";"36703 ( 8694, 64711)";"53468 (22085, 84850)";" 96242 (39753, 152731)";"40%"
"2015-04-07";"145";"287425 ( 48783, 526067)";"4430 (1306, 7554)";"1452726 (276621, 2628830)";"21168 ( 7794, 34541)";"242147 ( 90280, 394013)";"175706 (52649, 298764)";"36345 ( 8265, 64425)";"53013 (21458, 84568)";" 95423 (38624, 152222)";"40%"
"2015-04-06";"144";"282995 ( 47272, 518719)";"4392 (1252, 7532)";"1431558 (267399, 2595717)";"21019 ( 7542, 34496)";"240469 ( 87416, 393522)";"174224 (50511, 297938)";"35984 ( 7843, 64125)";"52552 (20834, 84271)";" 94594 (37501, 151687)";"40%"
"2015-04-05";"143";"278603 ( 45824, 511382)";"4354 (1199, 7509)";"1410539 (258493, 2562585)";"20868 ( 7290, 34446)";"238761 ( 84542, 392979)";"172723 (48390, 297056)";"35621 ( 7429, 63812)";"52086 (20214, 83958)";" 93755 (36385, 151125)";"40%"
"2015-04-04";"142";"274250 ( 44439, 504060)";"4315 (1146, 7484)";"1389671 (249901, 2529441)";"20714 ( 7037, 34391)";"237021 ( 81662, 392380)";"171203 (46291, 296116)";"35254 ( 7023, 63485)";"51614 (19599, 83630)";" 92906 (35277, 150534)";"40%"
"2015-04-03";"141";"269935 ( 43116, 496753)";"4276 (1093, 7458)";"1368957 (241621, 2496294)";"20557 ( 6785, 34330)";"235252 ( 78781, 391722)";"169665 (44214, 295117)";"34885 ( 6626, 63144)";"51137 (18989, 83286)";" 92047 (34180, 149915)";"40%"
