"Date";"Days from today";"PPE (m3)";"PPE (tons)";"Body bags (m3)";"Body bags (tons)";"Chlorine (m3)";"Chlorine (tons)";"Medical supplies (m3)";"Medical supplies (tons)";"Lab supplies (m3)";"Lab supplies (tons)";"Total (m3)";"Total (tons)"
"2015-05-01";"168";"78.7 (-24.7, 182.1)";"16.4 (-5.1, 37.8)";"0.2 (-0.1, 0.5)";"0.0 (0.0, 0.0)";"0.1 (0.0, 0.2)";"0.1 (0.0, 0.2)";"1.2 (-0.4, 2.8)";"0.6 (-0.2, 1.4)";"0.1 (0.0, 0.3)";"0.1 (0.0, 0.1)";"80.3 (-25.2, 185.9)";"17.1 (-5.4, 39.6)"
"2015-04-30";"167";"77.9 (-24.0, 179.7)";"16.2 (-5.0, 37.3)";"0.2 (-0.1, 0.5)";"0.0 (0.0, 0.0)";"0.1 (0.0, 0.2)";"0.1 (0.0, 0.2)";"1.2 (-0.4, 2.8)";"0.6 (-0.2, 1.4)";"0.1 (0.0, 0.3)";"0.1 (0.0, 0.1)";"79.5 (-24.5, 183.5)";"17.0 (-5.2, 39.1)"
"2015-04-29";"166";"77.1 (-23.2, 177.3)";"16.0 (-4.8, 36.9)";"0.2 (-0.1, 0.5)";"0.0 (0.0, 0.0)";"0.1 (0.0, 0.2)";"0.1 (0.0, 0.2)";"1.2 (-0.4, 2.7)";"0.6 (-0.2, 1.4)";"0.1 (0.0, 0.3)";"0.1 (0.0, 0.1)";"78.7 (-23.7, 181.0)";"16.8 (-5.1, 38.6)"
"2015-04-28";"165";"76.3 (-22.5, 175.0)";"15.9 (-4.7, 36.4)";"0.2 (-0.1, 0.5)";"0.0 (0.0, 0.0)";"0.1 (0.0, 0.2)";"0.1 (0.0, 0.2)";"1.2 (-0.3, 2.7)";"0.6 (-0.2, 1.4)";"0.1 (0.0, 0.3)";"0.1 (0.0, 0.1)";"77.9 (-22.9, 178.7)";"16.6 (-4.9, 38.1)"
"2015-04-27";"164";"75.5 (-21.7, 172.8)";"15.7 (-4.5, 35.9)";"0.2 (-0.1, 0.5)";"0.0 (0.0, 0.0)";"0.1 (0.0, 0.2)";"0.1 (0.0, 0.2)";"1.2 (-0.3, 2.7)";"0.6 (-0.2, 1.3)";"0.1 (0.0, 0.3)";"0.1 (0.0, 0.1)";"77.1 (-22.2, 176.4)";"16.4 (-4.7, 37.6)"
"2015-04-26";"163";"74.7 (-21.0, 170.5)";"15.5 (-4.4, 35.4)";"0.2 (-0.1, 0.5)";"0.0 (0.0, 0.0)";"0.1 (0.0, 0.2)";"0.1 (0.0, 0.2)";"1.2 (-0.3, 2.6)";"0.6 (-0.2, 1.3)";"0.1 (0.0, 0.3)";"0.1 (0.0, 0.1)";"76.3 (-21.5, 174.1)";"16.3 (-4.6, 37.1)"
"2015-04-25";"162";"74.0 (-20.3, 168.3)";"15.4 (-4.2, 35.0)";"0.2 (-0.1, 0.5)";"0.0 (0.0, 0.0)";"0.1 (0.0, 0.2)";"0.1 (0.0, 0.2)";"1.1 (-0.3, 2.6)";"0.6 (-0.2, 1.3)";"0.1 (0.0, 0.3)";"0.1 (0.0, 0.1)";"75.5 (-20.8, 171.8)";"16.1 (-4.4, 36.6)"
"2015-04-24";"161";"73.2 (-19.7, 166.1)";"15.2 (-4.1, 34.5)";"0.2 (-0.1, 0.4)";"0.0 (0.0, 0.0)";"0.1 (0.0, 0.2)";"0.1 (0.0, 0.2)";"1.1 (-0.3, 2.6)";"0.6 (-0.2, 1.3)";"0.1 (0.0, 0.3)";"0.1 (0.0, 0.1)";"74.8 (-20.1, 169.6)";"15.9 (-4.3, 36.2)"
"2015-04-23";"160";"72.5 (-19.0, 164.0)";"15.1 (-3.9, 34.1)";"0.2 (-0.1, 0.4)";"0.0 (0.0, 0.0)";"0.1 (0.0, 0.2)";"0.1 (0.0, 0.2)";"1.1 (-0.3, 2.5)";"0.6 (-0.1, 1.3)";"0.1 (0.0, 0.3)";"0.1 (0.0, 0.1)";"74.0 (-19.4, 167.4)";"15.8 (-4.1, 35.7)"
"2015-04-22";"159";"71.8 (-18.3, 161.8)";"14.9 (-3.8, 33.6)";"0.2 ( 0.0, 0.4)";"0.0 (0.0, 0.0)";"0.1 (0.0, 0.2)";"0.1 (0.0, 0.2)";"1.1 (-0.3, 2.5)";"0.6 (-0.1, 1.2)";"0.1 (0.0, 0.3)";"0.1 (0.0, 0.1)";"73.3 (-18.7, 165.2)";"15.6 (-4.0, 35.2)"
