"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-05-08";"168";"26017 (15991, 36043)";"13008 (7995, 18021)";"13008 (7995, 18021)";"2602 (1599, 3605)";"26017 (15991, 36043)";"54635 (42315, 66955)"
"2015-05-07";"167";"25662 (15761, 35563)";"12831 (7880, 17782)";"12831 (7880, 17782)";"2566 (1576, 3556)";"25662 (15761, 35563)";"53890 (41723, 66057)"
"2015-05-06";"166";"25309 (15533, 35085)";"12654 (7766, 17542)";"12654 (7766, 17542)";"2531 (1553, 3509)";"25309 (15533, 35085)";"53148 (41135, 65161)"
"2015-05-05";"165";"24960 (15310, 34610)";"12480 (7655, 17305)";"12480 (7655, 17305)";"2496 (1531, 3461)";"24960 (15310, 34610)";"52416 (40558, 64274)"
"2015-05-04";"164";"24613 (15090, 34136)";"12306 (7545, 17067)";"12306 (7545, 17067)";"2461 (1509, 3413)";"24613 (15090, 34136)";"51686 (39984, 63388)"
"2015-05-03";"163";"24270 (14875, 33665)";"12135 (7437, 16833)";"12135 (7437, 16833)";"2427 (1487, 3367)";"24270 (14875, 33665)";"50967 (39422, 62512)"
"2015-05-02";"162";"23929 (14662, 33196)";"11964 (7330, 16598)";"11964 (7330, 16598)";"2393 (1466, 3320)";"23929 (14662, 33196)";"50250 (38862, 61638)"
"2015-05-01";"161";"23592 (14453, 32731)";"11796 (7227, 16365)";"11796 (7227, 16365)";"2359 (1445, 3273)";"23592 (14453, 32731)";"49543 (38313, 60773)"
"2015-04-30";"160";"23257 (14247, 32267)";"11628 (7123, 16133)";"11628 (7123, 16133)";"2326 (1425, 3227)";"23257 (14247, 32267)";"48839 (37767, 59911)"
"2015-04-29";"159";"22926 (14045, 31807)";"11463 (7022, 15904)";"11463 (7022, 15904)";"2293 (1405, 3181)";"22926 (14045, 31807)";"48145 (37231, 59059)"
"2015-04-28";"158";"22598 (13846, 31350)";"11299 (6923, 15675)";"11299 (6923, 15675)";"2260 (1385, 3135)";"22598 (13846, 31350)";"47456 (36701, 58211)"
"2015-04-27";"157";"22273 (13650, 30896)";"11136 (6824, 15448)";"11136 (6824, 15448)";"2227 (1365, 3089)";"22273 (13650, 30896)";"46772 (36175, 57369)"
"2015-04-26";"156";"21951 (13457, 30445)";"10976 (6729, 15223)";"10976 (6729, 15223)";"2195 (1346, 3044)";"21951 (13457, 30445)";"46098 (35660, 56536)"
"2015-04-25";"155";"21633 (13267, 29999)";"10816 (6633, 14999)";"10816 (6633, 14999)";"2163 (1326, 3000)";"21633 (13267, 29999)";"45428 (35148, 55708)"
"2015-04-24";"154";"21317 (13080, 29554)";"10658 (6539, 14777)";"10658 (6539, 14777)";"2132 (1308, 2956)";"21317 (13080, 29554)";"44765 (34643, 54887)"
