"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC target of 25% cases in ETC";"Beds for CDC target of 45% cases in reduced transmission";"Reporting (treatment) quotient"
"2015-05-18";"168";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-17";"167";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-16";"166";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-15";"165";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-14";"164";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-13";"163";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-12";"162";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-11";"161";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-10";"160";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-09";"159";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-08";"158";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-07";"157";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-06";"156";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-05";"155";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-04";"154";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-03";"153";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-02";"152";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-01";"151";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-30";"150";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-29";"149";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-28";"148";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-27";"147";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-26";"146";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-25";"145";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-24";"144";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-23";"143";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-22";"142";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-21";"141";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-20";"140";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-19";"139";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-18";"138";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-17";"137";"238 (238, 238)";"0 (0, 0)";"488 (488, 488)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-16";"136";"238 (238, 238)";"0 (0, 0)";"487 (487, 487)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-15";"135";"238 (238, 238)";"0 (0, 0)";"487 (487, 487)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-14";"134";"238 (238, 238)";"0 (0, 0)";"487 (487, 487)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-13";"133";"238 (238, 238)";"0 (0, 0)";"487 (487, 487)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-12";"132";"238 (238, 238)";"0 (0, 0)";"487 (487, 487)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-11";"131";"238 (238, 238)";"0 (0, 0)";"487 (487, 487)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-10";"130";"238 (238, 238)";"0 (0, 0)";"487 (487, 487)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-09";"129";"238 (238, 238)";"0 (0, 0)";"487 (487, 487)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-08";"128";"238 (238, 238)";"0 (0, 0)";"487 (487, 487)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-07";"127";"238 (238, 238)";"0 (0, 0)";"487 (487, 487)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-06";"126";"238 (238, 238)";"0 (0, 0)";"487 (487, 487)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-05";"125";"238 (238, 238)";"0 (0, 0)";"487 (487, 487)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-04";"124";"238 (238, 238)";"0 (0, 0)";"487 (487, 487)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
