"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC target of 25% cases in ETC";"Beds for CDC target of 45% cases in reduced transmission";"Reporting (treatment) quotient"
"2015-05-18";"168";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-17";"167";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-16";"166";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-15";"165";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-14";"164";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-13";"163";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-12";"162";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-11";"161";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-10";"160";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-09";"159";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-08";"158";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-07";"157";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-06";"156";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-05";"155";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-04";"154";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-03";"153";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-02";"152";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-05-01";"151";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-30";"150";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-29";"149";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-28";"148";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-27";"147";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-26";"146";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-25";"145";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-24";"144";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-23";"143";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-22";"142";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-21";"141";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-20";"140";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-19";"139";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-18";"138";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-17";"137";"14 (14, 14)";"0 (0, 0)";"40 (40, 40)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-16";"136";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-15";"135";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-14";"134";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-13";"133";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-12";"132";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-11";"131";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-10";"130";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-09";"129";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-08";"128";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-07";"127";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-06";"126";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-05";"125";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-04";"124";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-03";"123";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-02";"122";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-04-01";"121";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-03-31";"120";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-03-30";"119";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
"2015-03-29";"118";"14 (14, 14)";"0 (0, 0)";"39 (39, 39)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"0 (0, 0)";"40%"
