"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC target of 25% cases in ETC";"Beds for CDC target of 45% cases in reduced transmission";"Reporting (treatment) quotient"
"2015-05-18";"168";"42990 (24822, 61157)";"  372 (  108,   637)";"205190 (113977, 296403)";"  1764 (   475,   3053)";"20186 (5415, 34956)";"14763 (4267, 25259)";"3115 (967, 5262)";"4470 (1791, 7148)";"8045 (3224, 12866)";"40%"
"2015-05-17";"167";"42617 (24714, 60521)";"  370 (  108,   631)";"203426 (113501, 293351)";"  1751 (   476,   3026)";"20037 (5424, 34651)";"14654 (4272, 25036)";"3092 (968, 5215)";"4436 (1787, 7086)";"7986 (3217, 12754)";"40%"
"2015-05-16";"166";"42248 (24606, 59890)";"  367 (  108,   625)";"201675 (113024, 290325)";"  1738 (   477,   3000)";"19890 (5432, 34349)";"14546 (4277, 24814)";"3069 (969, 5168)";"4404 (1783, 7024)";"7926 (3210, 12643)";"40%"
"2015-05-15";"165";"41881 (24497, 59265)";"  364 (  108,   620)";"199937 (112547, 287326)";"  1726 (   478,   2974)";"19744 (5440, 34048)";"14438 (4282, 24593)";"3046 (970, 5122)";"4371 (1779, 6962)";"7868 (3203, 12532)";"40%"
"2015-05-14";"164";"41517 (24388, 58645)";"  361 (  109,   614)";"198211 (112068, 284353)";"  1713 (   478,   2947)";"19599 (5448, 33750)";"14330 (4286, 24375)";"3023 (970, 5075)";"4338 (1775, 6901)";"7809 (3196, 12422)";"40%"
"2015-05-13";"163";"41155 (24280, 58031)";"  359 (  109,   609)";"196498 (111590, 281407)";"  1700 (   479,   2922)";"19454 (5455, 33453)";"14224 (4291, 24157)";"3000 (971, 5030)";"4306 (1771, 6841)";"7751 (3189, 12313)";"40%"
"2015-05-12";"162";"40796 (24171, 57422)";"  356 (  109,   603)";"194798 (111110, 278486)";"  1688 (   479,   2896)";"19311 (5462, 33159)";"14118 (4295, 23942)";"2978 (972, 4984)";"4274 (1767, 6781)";"7693 (3181, 12205)";"40%"
"2015-05-11";"161";"40440 (24062, 56819)";"  353 (  109,   598)";"193110 (110630, 275591)";"  1675 (   480,   2870)";"19168 (5469, 32867)";"14013 (4299, 23727)";"2955 (972, 4939)";"4242 (1763, 6721)";"7636 (3174, 12097)";"40%"
"2015-05-10";"160";"40087 (23953, 56221)";"  351 (  109,   593)";"191435 (110149, 272721)";"  1663 (   481,   2845)";"19026 (5476, 32576)";"13909 (4303, 23515)";"2933 (973, 4894)";"4210 (1759, 6662)";"7579 (3167, 11991)";"40%"
"2015-05-09";"159";"39736 (23844, 55628)";"  348 (  109,   587)";"189772 (109668, 269877)";"  1650 (   481,   2820)";"18885 (5483, 32288)";"13805 (4306, 23304)";"2911 (973, 4849)";"4179 (1755, 6603)";"7522 (3160, 11885)";"40%"
"2015-05-08";"158";"39388 (23735, 55041)";"  346 (  109,   582)";"188122 (109186, 267058)";"  1638 (   482,   2795)";"18745 (5489, 32002)";"13702 (4310, 23094)";"2889 (974, 4805)";"4148 (1751, 6544)";"7466 (3153, 11780)";"40%"
"2015-05-07";"157";"39042 (23625, 54459)";"  343 (  109,   577)";"186484 (108703, 264264)";"  1626 (   482,   2770)";"18606 (5495, 31718)";"13599 (4313, 22886)";"2868 (974, 4761)";"4117 (1747, 6486)";"7410 (3145, 11675)";"40%"
"2015-05-06";"156";"38699 (23516, 53883)";"  340 (  109,   572)";"184858 (108220, 261495)";"  1614 (   483,   2745)";"18468 (5501, 31435)";"13498 (4316, 22680)";"2846 (974, 4718)";"4086 (1743, 6429)";"7355 (3138, 11571)";"40%"
"2015-05-05";"155";"38359 (23406, 53311)";"  338 (  109,   566)";"183244 (107737, 258750)";"  1602 (   483,   2721)";"18331 (5507, 31155)";"13397 (4319, 22474)";"2825 (975, 4674)";"4055 (1739, 6371)";"7300 (3131, 11469)";"40%"
"2015-05-04";"154";"38021 (23297, 52745)";"  335 (  109,   561)";"181642 (107253, 256030)";"  1590 (   484,   2696)";"18195 (5512, 30877)";"13296 (4322, 22271)";"2803 (975, 4632)";"4025 (1735, 6315)";"7245 (3123, 11366)";"40%"
"2015-05-03";"153";"37686 (23187, 52184)";"  333 (  110,   556)";"180051 (106768, 253335)";"  1578 (   484,   2672)";"18059 (5518, 30601)";"13197 (4324, 22069)";"2782 (975, 4589)";"3995 (1731, 6258)";"7190 (3116, 11265)";"40%"
"2015-05-02";"152";"37353 (23078, 51628)";"  330 (  110,   551)";"178473 (106283, 250663)";"  1566 (   485,   2648)";"17925 (5523, 30327)";"13098 (4327, 21868)";"2761 (976, 4547)";"3965 (1727, 6202)";"7136 (3109, 11164)";"40%"
"2015-05-01";"151";"37022 (22968, 51077)";"  328 (  110,   546)";"176907 (105798, 248015)";"  1555 (   485,   2624)";"17791 (5527, 30054)";"12999 (4329, 21669)";"2740 (976, 4505)";"3935 (1723, 6147)";"7083 (3101, 11064)";"40%"
"2015-04-30";"150";"36694 (22858, 50531)";"  325 (  110,   541)";"175352 (105312, 245392)";"  1543 (   485,   2601)";"17658 (5532, 29784)";"12901 (4331, 21472)";"2720 (976, 4463)";"3905 (1719, 6092)";"7029 (3094, 10965)";"40%"
"2015-04-29";"149";"36369 (22748, 49990)";"  323 (  110,   536)";"173809 (104826, 242791)";"  1532 (   486,   2577)";"17526 (5536, 29516)";"12804 (4333, 21276)";"2699 (976, 4422)";"3876 (1715, 6037)";"6977 (3086, 10867)";"40%"
"2015-04-28";"148";"36046 (22638, 49454)";"  321 (  110,   531)";"172277 (104340, 240215)";"  1520 (   486,   2554)";"17395 (5540, 29250)";"12708 (4335, 21081)";"2679 (976, 4381)";"3847 (1711, 5983)";"6924 (3079, 10769)";"40%"
"2015-04-27";"147";"35726 (22529, 48923)";"  318 (  110,   526)";"170757 (103853, 237661)";"  1509 (   486,   2531)";"17265 (5544, 28985)";"12612 (4336, 20888)";"2658 (976, 4340)";"3818 (1706, 5929)";"6872 (3072, 10672)";"40%"
"2015-04-26";"146";"35407 (22419, 48396)";"  316 (  110,   522)";"169248 (103366, 235131)";"  1497 (   487,   2508)";"17135 (5548, 28723)";"12517 (4338, 20696)";"2638 (976, 4300)";"3789 (1702, 5875)";"6820 (3064, 10576)";"40%"
"2015-04-25";"145";"35092 (22309, 47875)";"  313 (  110,   517)";"167751 (102878, 232623)";"  1486 (   487,   2485)";"17007 (5551, 28462)";"12423 (4339, 20506)";"2618 (976, 4260)";"3760 (1698, 5822)";"6768 (3057, 10480)";"40%"
"2015-04-24";"144";"34778 (22199, 47358)";"  311 (  110,   512)";"166265 (102390, 230139)";"  1475 (   487,   2463)";"16879 (5555, 28204)";"12329 (4340, 20317)";"2598 (976, 4220)";"3732 (1694, 5770)";"6717 (3049, 10385)";"40%"
