"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC target of 25% cases in ETC";"Beds for CDC target of 45% cases in reduced transmission";"Reporting (treatment) quotient"
"2015-05-21";"168";"33452 ( 5898, 61006)";"241 (-172, 655)";"158203 (19418, 296987)";"1130 (-901, 3161)";"12917 (-10368, 36202)";"9555 (-6879, 25989)";"2040 (-1299, 5379)";"2899 (-1294, 7091)";"5218 (-2328, 12764)";"40%"
"2015-05-20";"167";"33211 ( 6068, 60354)";"240 (-169, 648)";"157073 (20305, 293841)";"1123 (-885, 3131)";"12839 (-10181, 35859)";"9497 (-6744, 25739)";"2028 (-1271, 5327)";"2881 (-1262, 7025)";"5186 (-2271, 12644)";"40%"
"2015-05-19";"166";"32971 ( 6234, 59708)";"238 (-166, 642)";"155950 (21177, 290724)";"1116 (-869, 3101)";"12761 ( -9995, 35518)";"9440 (-6610, 25490)";"2016 (-1243, 5275)";"2864 (-1231, 6958)";"5155 (-2215, 12525)";"40%"
"2015-05-18";"165";"32733 ( 6397, 59069)";"237 (-162, 636)";"154834 (22032, 287637)";"1109 (-853, 3071)";"12684 ( -9811, 35179)";"9383 (-6478, 25244)";"2004 (-1216, 5223)";"2847 (-1200, 6893)";"5124 (-2159, 12407)";"40%"
"2015-05-17";"164";"32496 ( 6556, 58436)";"235 (-159, 630)";"153725 (22871, 284580)";"1103 (-837, 3042)";"12607 ( -9629, 34843)";"9326 (-6347, 24999)";"1991 (-1189, 5172)";"2829 (-1169, 6828)";"5093 (-2104, 12290)";"40%"
"2015-05-16";"163";"32261 ( 6713, 57808)";"234 (-156, 624)";"152623 (23694, 281551)";"1096 (-821, 3013)";"12531 ( -9448, 34510)";"9270 (-6218, 24757)";"1979 (-1162, 5121)";"2812 (-1138, 6763)";"5062 (-2049, 12173)";"40%"
"2015-05-15";"162";"32027 ( 6866, 57187)";"233 (-153, 618)";"151527 (24501, 278552)";"1089 (-805, 2984)";"12455 ( -9269, 34179)";"9214 (-6089, 24516)";"1967 (-1136, 5071)";"2795 (-1108, 6699)";"5031 (-1995, 12058)";"40%"
"2015-05-14";"161";"31794 ( 7016, 56572)";"231 (-149, 612)";"150437 (25293, 275582)";"1083 (-790, 2955)";"12379 ( -9092, 33851)";"9158 (-5962, 24278)";"1956 (-1110, 5021)";"2778 (-1078, 6635)";"5001 (-1941, 11943)";"40%"
"2015-05-13";"160";"31563 ( 7162, 55963)";"230 (-146, 606)";"149355 (26070, 272640)";"1076 (-774, 2927)";"12304 ( -8916, 33525)";"9102 (-5836, 24041)";"1944 (-1084, 4972)";"2762 (-1049, 6572)";"4971 (-1888, 11830)";"40%"
"2015-05-12";"159";"31333 ( 7306, 55360)";"228 (-143, 600)";"148279 (26832, 269726)";"1070 (-759, 2898)";"12230 ( -8742, 33201)";"9047 (-5711, 23806)";"1932 (-1058, 4923)";"2745 (-1020, 6510)";"4941 (-1836, 11717)";"40%"
"2015-05-11";"158";"31105 ( 7446, 54763)";"227 (-140, 594)";"147209 (27578, 266840)";"1063 (-744, 2870)";"12156 ( -8569, 32881)";"8993 (-5588, 23573)";"1920 (-1033, 4874)";"2728 ( -991, 6447)";"4911 (-1784, 11605)";"40%"
"2015-05-10";"157";"30878 ( 7584, 54172)";"226 (-137, 588)";"146146 (28309, 263983)";"1057 (-729, 2842)";"12082 ( -8398, 32563)";"8938 (-5466, 23343)";"1909 (-1008, 4826)";"2712 ( -962, 6386)";"4881 (-1732, 11495)";"40%"
"2015-05-09";"156";"30652 ( 7718, 53586)";"224 (-134, 582)";"145090 (29026, 261153)";"1050 (-714, 2815)";"12009 ( -8229, 32247)";"8884 (-5345, 23114)";"1897 ( -983, 4778)";"2695 ( -934, 6325)";"4852 (-1681, 11385)";"40%"
"2015-05-08";"155";"30428 ( 7849, 53007)";"223 (-131, 577)";"144039 (29728, 258350)";"1044 (-700, 2788)";"11936 ( -8061, 31934)";"8831 (-5225, 22887)";"1886 ( -959, 4731)";"2679 ( -906, 6264)";"4823 (-1631, 11276)";"40%"
"2015-05-07";"154";"30205 ( 7978, 52432)";"222 (-128, 571)";"142995 (30416, 255575)";"1038 (-685, 2760)";"11864 ( -7895, 31623)";"8777 (-5107, 22662)";"1875 ( -934, 4684)";"2663 ( -878, 6204)";"4793 (-1581, 11168)";"40%"
"2015-05-06";"153";"29983 ( 8103, 51864)";"220 (-125, 565)";"141958 (31089, 252827)";"1031 (-671, 2734)";"11792 ( -7731, 31315)";"8724 (-4990, 22439)";"1863 ( -910, 4637)";"2647 ( -851, 6145)";"4765 (-1532, 11061)";"40%"
"2015-05-05";"152";"29763 ( 8225, 51301)";"219 (-122, 560)";"140927 (31748, 250105)";"1025 (-657, 2707)";"11721 ( -7568, 31010)";"8672 (-4874, 22217)";"1852 ( -887, 4591)";"2631 ( -824, 6086)";"4736 (-1483, 10955)";"40%"
"2015-05-04";"151";"29544 ( 8345, 50744)";"218 (-119, 554)";"139902 (32393, 247410)";"1019 (-643, 2680)";"11650 ( -7407, 30707)";"8619 (-4759, 21998)";"1841 ( -863, 4545)";"2615 ( -797, 6027)";"4707 (-1435, 10849)";"40%"
"2015-05-03";"150";"29327 ( 8462, 50192)";"216 (-116, 549)";"138883 (33024, 244742)";"1013 (-629, 2654)";"11579 ( -7247, 30406)";"8567 (-4646, 21781)";"1830 ( -840, 4500)";"2599 ( -771, 5969)";"4679 (-1387, 10745)";"40%"
"2015-05-02";"149";"29111 ( 8576, 49646)";"215 (-113, 543)";"137870 (33641, 242099)";"1007 (-615, 2628)";"11509 ( -7090, 30108)";"8516 (-4533, 21565)";"1819 ( -817, 4455)";"2584 ( -744, 5912)";"4651 (-1340, 10642)";"40%"
"2015-05-01";"148";"28896 ( 8687, 49105)";"214 (-111, 538)";"136864 (34245, 239482)";"1000 (-601, 2602)";"11440 ( -6933, 29813)";"8465 (-4422, 21352)";"1808 ( -794, 4411)";"2568 ( -719, 5855)";"4623 (-1293, 10539)";"40%"
"2015-04-30";"147";"28682 ( 8795, 48569)";"212 (-108, 533)";"135863 (34835, 236892)";" 994 (-588, 2577)";"11370 ( -6779, 29520)";"8414 (-4313, 21140)";"1797 ( -772, 4367)";"2553 ( -693, 5799)";"4595 (-1247, 10437)";"40%"
